0.00000000000000e+00    	0.00000000000000e+00 	 2.85316954890000e+00  	9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.79381597668840e-13 	 2.85316954889913e+00   9.27050983120000e-01 	3.03536279059607e-11	 -1.25291954500004e-10	1.12460123222679e-21		1.00000000000000e+00
6.00000000000000e-02    	6.12764240286454e-12 	 2.85316954889073e+00   9.27050983120000e-01 	5.21824286068043e-10	 -1.54278669764782e-10	4.88997998295022e-20		1.00000000000000e+00
9.00000000000000e-02    	4.86726088114455e-11 	 2.85316954897016e+00   9.27050983120000e-01 	2.76160200409805e-09	 8.55936991939367e-09	-4.51749667945968e-19		1.00000000000000e+00
1.20000000000000e-01    	2.10601513821421e-10 	 2.85316954977836e+00   9.27050983120000e-01 	8.89840401784858e-09	 5.57401809299496e-08	2.38793279940794e-17		1.00000000000000e+00
1.50000000000000e-01    	6.48476300057072e-10 	 2.85316955329632e+00   9.27050983120000e-01 	2.16241758077814e-08	 2.02334369860260e-07	5.62661889820136e-16		1.00000000000002e+00
1.80000000000000e-01    	1.60058037183113e-09 	 2.85316956387380e+00   9.27050983120000e-01 	4.35738424673662e-08	 5.45659208638785e-07	5.11484302287202e-15		1.00000000000015e+00
2.10000000000000e-01    	3.37325794124998e-09 	 2.85316958931601e+00   9.27050983120000e-01 	7.64968838570186e-08	 1.21788494516448e-06	2.89017149034906e-14		1.00000000000074e+00
2.40000000000000e-01    	6.30001920126421e-09 	 2.85316964181093e+00   9.27050983120002e-01 	1.20286903860856e-07	 2.37682781476043e-06	1.19889081589945e-13		1.00000000000283e+00
2.70000000000000e-01    	1.06707768035006e-08 	 2.85316973846126e+00   9.27050983120009e-01 	1.71981186658295e-07	 4.18882251176610e-06	3.97340943480877e-13		1.00000000000879e+00
3.00000000000000e-01    	1.66322155943116e-08 	 2.85316990119043e+00   9.27050983120030e-01 	2.24858991800743e-07	 6.80430955026256e-06	1.10635667549487e-12		1.00000000002317e+00
3.30000000000000e-01    	2.40642768443848e-08 	 2.85317015582491e+00   9.27050983120084e-01 	2.67773191338736e-07	 1.03276487649080e-05	2.67326429695446e-12		1.00000000005337e+00
3.60000000000000e-01    	3.24417154804827e-08 	 2.85317053021236e+00   9.27050983120205e-01 	2.84843770690321e-07	 1.47834831200249e-05	5.72928377088171e-12		1.00000000010932e+00
3.90000000000000e-01    	4.06933021303216e-08 	 2.85317105131584e+00   9.27050983120450e-01 	2.55623591971188e-07	 2.00826569962862e-05	1.10562093349879e-11		1.00000000020169e+00
4.20000000000000e-01    	4.70741398669078e-08 	 2.85317174132202e+00   9.27050983120899e-01 	1.55817469102371e-07	 2.59911767110831e-05	1.94092010667996e-11		1.00000000033778e+00
4.50000000000000e-01    	4.90684344260900e-08 	 2.85317261291037e+00   9.27050983121649e-01 	-4.14033225799471e-08	 3.21059357835483e-05	3.11992967614603e-11		1.00000000051540e+00
4.80000000000000e-01    	4.33406423952253e-08 	 2.85317366394165e+00   9.27050983122802e-01 	-3.63495165871063e-07	 3.78408760352412e-05	4.60777366561816e-11		1.00000000071603e+00
5.10000000000000e-01    	2.57520474357675e-08 	 2.85317487193006e+00   9.27050983124431e-01 	-8.36099580968832e-07	 4.24268989141270e-05	6.25504368005988e-11		1.00000000090037e+00
5.40000000000000e-01    	-8.54260922293925e-09 	 2.85317618875302e+00   9.27050983126544e-01 	-1.48017090104424e-06	 4.49281806818104e-05	7.78441297717429e-11		1.00000000101037e+00
5.70000000000000e-01    	-6.49077870147298e-08 	 2.85317753611942e+00   9.27050983129053e-01 	-2.30883137211740e-06	 4.42766028081388e-05	8.83118654354168e-11		1.00000000098287e+00
6.00000000000000e-01    	-1.48943851389033e-07 	 2.85317880235063e+00   9.27050983131760e-01 	-3.32415639126373e-06	 3.93248284420376e-05	9.06627328409707e-11		1.00000000077875e+00
