0.00000000000000e+00    	0.00000000000000e+00 	 -6.84703320510000e+00  	-1.45538183570000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.22714625095327e-12 	 -6.84703320509909e+00   -1.45538183570000e+00 	3.69890126440250e-10	 1.81399931791175e-10	-6.32600009203972e-21		1.00000000000000e+00
6.00000000000000e-02    	6.94199400727478e-11 	 -6.84703320504247e+00   -1.45538183570000e+00 	5.70371799349916e-09	 5.72702042987115e-09	-3.06097989567203e-18		1.00000000000000e+00
9.00000000000000e-02    	5.04302401427973e-10 	 -6.84703320445552e+00   -1.45538183570000e+00 	2.71130136206991e-08	 4.25389178293965e-08	-1.06866852364138e-16		1.00000000000000e+00
1.20000000000000e-01    	1.99372651332507e-09 	 -6.84703320156165e+00   -1.45538183570000e+00 	7.81358020779847e-08	 1.73802148264300e-07	-1.23533738031541e-15		1.00000000000002e+00
1.50000000000000e-01    	5.58467579728474e-09 	 -6.84703319199810e+00   -1.45538183570000e+00 	1.67964462983043e-07	 5.09600201872787e-07	-7.55926490534648e-15		1.00000000000014e+00
1.80000000000000e-01    	1.24332588015264e-08 	 -6.84703316738377e+00   -1.45538183570000e+00 	2.93255187682397e-07	 1.20681211410052e-06	-2.97492011928597e-14		1.00000000000077e+00
2.10000000000000e-01    	2.33006159097456e-08 	 -6.84703311405698e+00   -1.45538183570000e+00 	4.29649226026110e-07	 2.45771853412071e-06	-8.10618791898226e-14		1.00000000000311e+00
2.40000000000000e-01    	3.78058993627232e-08 	 -6.84703301233051e+00   -1.45538183570001e+00 	5.24273198808307e-07	 4.46696224064864e-06	-1.46443104767854e-13		1.00000000001011e+00
2.70000000000000e-01    	5.34851248467271e-08 	 -6.84703283660202e+00   -1.45538183570001e+00 	4.90506958862266e-07	 7.41783286239092e-06	-9.47832590285500e-14		1.00000000002763e+00
3.00000000000000e-01    	6.47421354059432e-08 	 -6.84703255660909e+00   -1.45538183570001e+00 	2.06206187581035e-07	 1.14301687699700e-05	4.92263675908138e-13		1.00000000006535e+00
3.30000000000000e-01    	6.18105045685318e-08 	 -6.84703214003035e+00   -1.45538183569997e+00 	-4.83654339101286e-07	 1.65133808320614e-05	2.57301477048006e-12		1.00000000013646e+00
3.60000000000000e-01    	2.98694908457298e-08 	 -6.84703155651401e+00   -1.45538183569982e+00 	-1.75928030808412e-06	 2.25190968389325e-05	7.91995926255296e-12		1.00000000025510e+00
3.90000000000000e-01    	-5.15298192625513e-08 	 -6.84703078306843e+00   -1.45538183569943e+00 	-3.81308094096482e-06	 2.90986075425000e-05	1.92778690674762e-11		1.00000000043063e+00
4.20000000000000e-01    	-2.08572511083719e-07 	 -6.84702981058894e+00   -1.45538183569857e+00 	-6.83167348555683e-06	 3.56705897642009e-05	4.02007841065040e-11		1.00000000065953e+00
4.50000000000000e-01    	-4.72681589945666e-07 	 -6.84702865113156e+00   -1.45538183569689e+00 	-1.09736309696044e-05	 4.14044377040410e-05	7.43498499986954e-11		1.00000000091737e+00
4.80000000000000e-01    	-8.79303420847058e-07 	 -6.84702734539255e+00   -1.45538183569395e+00 	-1.63442290895155e-05	 4.52239281613230e-05	1.24122814055430e-10		1.00000000115617e+00
5.10000000000000e-01    	-1.46591134205935e-06 	 -6.84702596972541e+00   -1.45538183568929e+00 	-2.29688946362621e-05	 4.58348881033134e-05	1.88707111380912e-10		1.00000000131420e+00
5.40000000000000e-01    	-2.26921870159048e-06 	 -6.84702464193822e+00   -1.45538183568254e+00 	-3.07674206761364e-05	 4.17790654059507e-05	2.61993614886673e-10		1.00000000134606e+00
5.70000000000000e-01    	-3.32165854616182e-06 	 -6.84702352507435e+00   -1.45538183567361e+00 	-3.95312601215036e-05	 3.15145981494495e-05	3.31193699749827e-10		1.00000000127795e+00
6.00000000000000e-01    	-4.64725847031740e-06 	 -6.84702282839813e+00   -1.45538183566289e+00 	-4.89063120452527e-05	 1.35214348945220e-05	3.77346527567525e-10		1.00000000128733e+00
6.30000000000000e-01    	-6.25711107299730e-06 	 -6.84702280488838e+00   -1.45538183565141e+00 	-5.83835537449134e-05	 -1.35720989427532e-05	3.79023527119437e-10		1.00000000179642e+00
6.60000000000000e-01    	-8.14470794439868e-06 	 -6.84702374468949e+00   -1.45538183564076e+00 	-6.72996340163835e-05	 -5.08475256031793e-05	3.20267577627586e-10		1.00000000355736e+00
6.90000000000000e-01    	-1.02814627652622e-05 	 -6.84702596417753e+00   -1.45538183563279e+00 	-7.48491265993414e-05	 -9.89471259877797e-05	2.03032661064228e-10		1.00000000769646e+00
