0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.17091575554715e-12 	 -9.27050983165405e-01   2.85316954890000e+00 	-3.66165958586128e-10	 -7.60125995151065e-09	-6.55418443267157e-19		1.00000000000000e+00
6.00000000000000e-02    	-7.30305415197176e-11 	 -9.27050984592878e-01   2.85316954890000e+00 	-6.18398748479730e-09	 -1.22987866982965e-07	-1.17211537284056e-16		1.00000000000001e+00
9.00000000000000e-02    	-5.72112540452916e-10 	 -9.27050994266442e-01   2.85316954890000e+00 	-3.22065998800561e-08	 -6.14825192234222e-07	-1.56273497201184e-15		1.00000000000019e+00
1.20000000000000e-01    	-2.44356815978806e-09 	 -9.27051029139417e-01   2.85316954890000e+00 	-1.02212207151952e-07	 -1.87280084932088e-06	-1.01738687111118e-15		1.00000000000176e+00
1.50000000000000e-01    	-7.43019249033224e-09 	 -9.27051118316277e-01   2.85316954890000e+00 	-2.44672034446605e-07	 -4.29396056949082e-06	7.45877230712499e-14		1.00000000000925e+00
1.80000000000000e-01    	-1.81102386574595e-08 	 -9.27051300960645e-01   2.85316954890001e+00 	-4.85357805147565e-07	 -8.12210444010443e-06	6.11212235721723e-13		1.00000000003310e+00
2.10000000000000e-01    	-3.76752372618163e-08 	 -9.27051618911732e-01   2.85316954890005e+00 	-8.37621360117192e-07	 -1.32592721148301e-05	2.82242373758070e-12		1.00000000008825e+00
2.40000000000000e-01    	-6.93944309067050e-08 	 -9.27052103523291e-01   2.85316954890022e+00 	-1.29142767152832e-06	 -1.90734326796959e-05	9.38150317809515e-12		1.00000000018273e+00
2.70000000000000e-01    	-1.15748002083914e-07 	 -9.27052757013729e-01   2.85316954890070e+00 	-1.80247993549527e-06	 -2.42295261302016e-05	2.45147519742751e-11		1.00000000029516e+00
3.00000000000000e-01    	-1.77253812842239e-07 	 -9.27053529446230e-01   2.85316954890182e+00 	-2.28291202636883e-06	 -2.65716384039644e-05	5.23243444350586e-11		1.00000000035563e+00
3.30000000000000e-01    	-2.51056963737925e-07 	 -9.27054293268727e-01   2.85316954890396e+00 	-2.59502198765345e-06	 -2.30821598537199e-05	9.18765820534120e-11		1.00000000026976e+00
3.60000000000000e-01    	-3.29393915319357e-07 	 -9.27054818057976e-01   2.85316954890731e+00 	-2.54937966796718e-06	 -9.93929266239359e-06	1.28243270013620e-10		1.00000000005264e+00
