0.00000000000000e+00    	0.00000000000000e+00 	 2.85316954890000e+00  	9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.79381597942127e-12 	 2.85316954889134e+00   9.27050983120000e-01 	3.03536279739019e-10	 -1.25291954479615e-09	1.12460123200494e-19		1.00000000000000e+00
6.00000000000000e-02    	6.12764240937253e-11 	 2.85316954880734e+00   9.27050983120000e-01 	5.21824285390244e-09	 -1.54278672671699e-09	4.88997998651597e-18		1.00000000000000e+00
9.00000000000000e-02    	4.86726103933373e-10 	 2.85316954960162e+00   9.27050983120000e-01 	2.76160231341493e-08	 8.55936961792500e-08	-4.51749667822013e-17		1.00000000000000e+00
1.20000000000000e-01    	2.10601635712441e-09 	 2.85316955768359e+00   9.27050983120000e-01 	8.89841781258915e-08	 5.57401756344939e-07	2.38793230382107e-15		1.00000000000016e+00
1.50000000000000e-01    	6.48478504094600e-09 	 2.85316959286314e+00   9.27050983120000e-01 	2.16243591057501e-07	 2.02334325599283e-06	5.62661675619749e-14		1.00000000000207e+00
1.80000000000000e-01    	1.60060062476003e-08 	 2.85316969863796e+00   9.27050983120007e-01 	4.35751792799770e-07	 5.45658971665799e-06	5.11483934103951e-13		1.00000000001498e+00
2.10000000000000e-01    	3.37338021504753e-08 	 2.85316995305988e+00   9.27050983120049e-01 	7.65035511160226e-07	 1.21788401003152e-05	2.89016784132893e-12		1.00000000007445e+00
2.40000000000000e-01    	6.30056960487497e-08 	 2.85317047800861e+00   9.27050983120245e-01 	1.20312310511663e-06	 2.37682487223330e-05	1.19888835534826e-11		1.00000000028319e+00
2.70000000000000e-01    	1.06727646255841e-07 	 2.85317144451034e+00   9.27050983120951e-01 	1.72060108921780e-06	 4.18881476139694e-05	3.97339704850498e-11		1.00000000087879e+00
3.00000000000000e-01    	1.66382505486768e-07 	 2.85317307179838e+00   9.27050983123055e-01 	2.25067223322804e-06	 6.80429191116350e-05	1.10635174411118e-10		1.00000000231745e+00
3.30000000000000e-01    	2.40801706579263e-07 	 2.85317561813543e+00   9.27050983128440e-01 	2.68252772826067e-06	 1.03276133195809e-04	2.67324817115737e-10		1.00000000533658e+00
3.60000000000000e-01    	3.24788354302368e-07 	 2.85317936199531e+00   9.27050983140577e-01 	2.85826003558987e-06	 1.47834192767912e-04	5.72923936136142e-10		1.00000001093156e+00
3.90000000000000e-01    	4.07714044063658e-07 	 2.85318457300512e+00   9.27050983165086e-01 	2.57434989198673e-06	 2.00825527919071e-04	1.10561046837704e-09		1.00000002016876e+00
4.20000000000000e-01    	4.72238784407755e-07 	 2.85319147302809e+00   9.27050983209951e-01 	1.58848682539445e-06	 2.59910212197993e-04	1.94089882795579e-09		1.00000003377792e+00
4.50000000000000e-01    	4.93321406608798e-07 	 2.85320018885585e+00   9.27050983285003e-01 	-3.67841669960033e-07	 3.21057216444065e-04	3.11989232085606e-09		1.00000005153893e+00
