0.00000000000000e+00    	0.00000000000000e+00 	 -9.51056516300000e-01  	3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
2.52000000000000e+00    	-8.20181270534147e-04 	 -9.58097897091173e-01   3.08898668010879e-01 	3.33936445103160e-03	 -4.94886326079246e-02	-3.96990582812034e-04		1.00122946106967e+00
2.55000000000000e+00    	-7.00506092300168e-04 	 -9.59495173752336e-01   3.08887086478484e-01 	4.63773722300406e-03	 -4.34119621439177e-02	-3.73729395754465e-04		1.00095266957903e+00
2.58000000000000e+00    	-5.42828077051433e-04 	 -9.60679445002895e-01   3.08876369588040e-01 	5.87085364711266e-03	 -3.52697471374134e-02	-3.40150112345971e-04		1.00063906464208e+00
2.61000000000000e+00    	-3.49181961807405e-04 	 -9.61590932910382e-01   3.08866717943102e-01 	7.03327166775466e-03	 -2.52279414586413e-02	-3.03914153667580e-04		1.00034294534645e+00
2.64000000000000e+00    	-1.21679886996925e-04 	 -9.62176014151093e-01   3.08858073740951e-01 	8.12525741530003e-03	 -1.35370242919290e-02	-2.74467140438016e-04		1.00012466531276e+00
2.67000000000000e+00    	1.37558757894549e-04 	 -9.62389790629117e-01   3.08850083991355e-01 	9.14634666694746e-03	 -5.27713632164771e-04	-2.61835445412254e-04		1.00004200046640e+00
2.70000000000000e+00    	4.26272729013675e-04 	 -9.62198502518311e-01   3.08842104349491e-01 	1.00880927305026e-02	 1.33970174737679e-02	-2.75165696428670e-04		1.00014065281254e+00
2.73000000000000e+00    	7.41716837826367e-04 	 -9.61581634541057e-01   3.08833248767709e-01 	1.09273686555388e-02	 2.77735830272973e-02	-3.21205245953027e-04		1.00044534207158e+00
2.76000000000000e+00    	1.08015285688055e-03 	 -9.60533567327394e-01   3.08822483247161e-01 	1.16217035853139e-02	 4.20927396410711e-02	-4.02958673156660e-04		1.00095305839006e+00
2.79000000000000e+00    	1.43625590773782e-03 	 -9.59064651315285e-01   3.08808754336279e-01 	1.21079730193047e-02	 5.58171922221946e-02	-5.18755834409330e-04		1.00162988726666e+00
2.82000000000000e+00    	1.80255049985422e-03 	 -9.57201629194266e-01   3.08791136158619e-01 	1.23053254293738e-02	 6.84009397420516e-02	-6.61925881121463e-04		1.00241236411838e+00
2.85000000000000e+00    	2.16900415522594e-03 	 -9.54987394359397e-01   3.08768975126998e-01 	1.21225787010852e-02	 7.93093528576582e-02	-8.21193659339081e-04		1.00321363862544e+00
2.88000000000000e+00    	2.52289888176300e-03 	 -9.52480131413287e-01   3.08742010100539e-01 	1.14695810617074e-02	 8.80390620453610e-02	-9.81813526356077e-04		1.00393395783456e+00
