0.00000000000000e+00    	0.00000000000000e+00 	 -9.18485099360000e-16  	-5.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	3.00668210462239e-13 	 -9.44668876712336e-12   -5.00000000000000e+00 	4.99357433557884e-11	 -1.56877760608289e-09	1.98709171569463e-20		1.00000000000000e+00
6.00000000000000e-02    	9.37180181581359e-12 	 -2.94424693375949e-10   -5.00000000000000e+00 	7.70011087955942e-10	 -2.41906025690028e-08	9.72068306456885e-18		1.00000000000000e+00
9.00000000000000e-02    	6.80816764172316e-11 	 -2.13884769429835e-09   -5.00000000000000e+00 	3.66030550407293e-09	 -1.14991680860573e-07	3.46254350807001e-16		1.00000000000001e+00
1.20000000000000e-01    	2.69156951614454e-10 	 -8.45579100326654e-09   -5.00000000000000e+00 	1.05485078168011e-08	 -3.31389419269188e-07	4.13445140920188e-15		1.00000000000006e+00
1.50000000000000e-01    	7.53944524271665e-10 	 -2.36857144061506e-08   -5.00000000000000e+00 	2.26757006341511e-08	 -7.12370160990742e-07	2.66273928731822e-14		1.00000000000025e+00
1.80000000000000e-01    	1.67852688947959e-09 	 -5.27318723028119e-08   -5.00000000000000e+00 	3.95905833699219e-08	 -1.24375050915011e-06	1.13864612431280e-13		1.00000000000077e+00
2.10000000000000e-01    	3.14566623121286e-09 	 -9.88222856369434e-08   -4.99999999999999e+00 	5.80045682550419e-08	 -1.82221494312031e-06	3.59024630239324e-13		1.00000000000166e+00
2.40000000000000e-01    	5.10394137508229e-09 	 -1.60341317798125e-07   -4.99999999999998e+00 	7.07788183034961e-08	 -2.22350410927402e-06	8.79703314299639e-13		1.00000000000247e+00
2.70000000000000e-01    	7.22066357333098e-09 	 -2.26837772873974e-07   -4.99999999999994e+00 	6.62176247616875e-08	 -2.08021922864438e-06	1.69903612626717e-12		1.00000000000217e+00
3.00000000000000e-01    	8.74023669804323e-09 	 -2.74575284661511e-07   -4.99999999999987e+00 	2.78296412722361e-08	 -8.74280376761999e-07	2.48659357501030e-12		1.00000000000038e+00
3.30000000000000e-01    	8.34407702889430e-09 	 -2.62129080695222e-07   -4.99999999999980e+00 	-6.53105383034120e-08	 2.05185994705007e-06	2.19063347237665e-12		1.00000000000211e+00
3.60000000000000e-01    	4.03155580000749e-09 	 -1.26636361878182e-07   -4.99999999999977e+00 	-2.37512130487281e-07	 7.46254294985049e-06	-1.25745185007356e-12		1.00000000002787e+00
3.90000000000000e-01    	-6.95675178500374e-09 	 2.18637080320347e-07   -4.99999999999993e+00 	-5.14698148833869e-07	 1.61738360044970e-05	-1.07893642094976e-11		1.00000000013093e+00
4.20000000000000e-01    	-2.81522814036366e-08 	 8.84753362405945e-07   -5.00000000000051e+00 	-9.21951630416150e-07	 2.89771684891194e-05	-2.90498940748176e-11		1.00000000042026e+00
4.50000000000000e-01    	-6.37890887883354e-08 	 2.00498650452683e-06   -5.00000000000176e+00 	-1.48048655167007e-06	 4.65449159713744e-05	-5.56721134641163e-11		1.00000000108431e+00
4.80000000000000e-01    	-1.18637126183217e-07 	 3.72966757595336e-06   -5.00000000000385e+00 	-2.20422385747063e-06	 6.93232855643243e-05	-8.26242444735955e-11		1.00000000240529e+00
5.10000000000000e-01    	-1.97729868473688e-07 	 6.21771450012092e-06   -5.00000000000651e+00 	-3.09621763408592e-06	 9.74197591696753e-05	-8.78326783668184e-11		1.00000000475010e+00
5.40000000000000e-01    	-3.05986116094953e-07 	 9.62481193342637e-06   -5.00000000000848e+00 	-4.14522630793309e-06	 1.30493891559754e-04	-2.81555998568215e-11		1.00000000852292e+00
5.70000000000000e-01    	-4.47735132616930e-07 	 1.40884874531596e-05   -5.00000000000686e+00 	-5.32275191605410e-06	 1.67661292128951e-04	1.66195947181487e-10		1.00000001406932e+00
6.00000000000000e-01    	-6.26164056367357e-07 	 1.97106329095747e-05   -4.99999999999620e+00 	-6.58087170250801e-06	 2.07421023157998e-04	5.92823242009034e-10		1.00000002153339e+00
6.30000000000000e-01    	-8.42715904734449e-07 	 2.65383240045114e-05   -4.99999999996778e+00 	-7.85115817834753e-06	 2.47616338339217e-04	1.37061660475460e-09		1.00000003068775e+00
6.60000000000000e-01    	-1.09647459886448e-06 	 3.45440747946680e-05   -4.99999999990921e+00 	-9.04492781457605e-06	 2.85437619506494e-04	2.62293584120045e-09		1.00000004077822e+00
6.90000000000000e-01    	-1.38357951403077e-06 	 4.36069041062701e-05   -4.99999999980464e+00 	-1.00549803417732e-05	 3.17474550217461e-04	4.44981106044149e-09		1.00000005044560e+00
