0.1	0.00250302
0.2	0.0100538
0.3	0.0227586
0.4	0.0407776
0.5	0.0643213
0.6	0.0937237
0.7	0.129154
0.8	0.171091
0.9	0.219433
1	0.274871
1.1	0.33777
1.2	0.407715
1.3	0.484964
1.4	0.570287
1.5	0.663334
1.6	0.765112
1.7	0.873505
1.8	0.990788
1.9	1.11734
2	1.25066
2.1	1.39236
2.2	1.54144
2.3	1.69941
2.4	1.86554
2.5	2.04045
2.6	2.22278
2.7	2.4089
2.8	2.60808
2.9	2.81285
3	3.02798
3.1	3.24911
3.2	3.48312
3.3	3.71768
3.4	3.96011
3.5	4.22151
3.6	4.47984
3.7	4.74608
3.8	5.02497
3.9	5.31489
4	5.59251
4.1	5.90652
4.2	6.20085
4.3	6.51429
4.4	6.84502
4.5	7.17563
4.6	7.50426
4.7	7.84922
4.8	8.21994
4.9	8.58217
5	8.93649
5.1	9.33226
5.2	9.70623
5.3	10.0758
5.4	10.5133
5.5	10.92
5.6	11.3175
5.7	11.7253
5.8	12.1467
5.9	12.5806
6	13.0262
6.1	13.4858
6.2	13.9623
6.3	14.4542
6.4	14.9449
6.5	15.3727
6.6	15.8356
6.7	16.3846
6.8	16.9292
6.9	17.3396
7	17.9191
7.1	18.4886
7.2	18.9234
7.3	19.5784
7.4	20.0004
7.5	20.6712
7.6	21.1254
7.7	21.8093
7.8	22.2668
7.9	23.0009
8	23.4373
8.1	24.2302
8.2	24.6832
8.3	25.4001
8.4	26.0278
8.5	26.5025
8.6	27.3819
8.7	27.8948
8.8	28.4404
8.9	29.3679
9	29.8839
9.1	30.4266
9.2	31.4106
9.3	32.0115
9.4	32.5053
9.5	33.3438
9.6	34.2561
9.7	34.7856
9.8	35.3357
9.9	36.3212
10	37.2251
