0.00000000000000e+00    	0.00000000000000e+00 	 -3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	5.34699933468873e-13 	 -3.09016994370751e-01   -9.51056516300000e-01 	8.69331368049462e-11	 -1.19455693923736e-10	5.20307553656458e-21		1.00000000000000e+00
6.00000000000000e-02    	1.48791385349978e-11 	 -3.09016994388330e-01   -9.51056516300000e-01 	1.16131491219704e-09	 -1.33179153961936e-09	1.13566920405012e-18		1.00000000000000e+00
9.00000000000000e-02    	9.42318678313225e-11 	 -3.09016994463700e-01   -9.51056516300000e-01 	4.58367061467123e-09	 -3.66368463120858e-09	2.02892557497323e-17		1.00000000000000e+00
1.20000000000000e-01    	3.11960375626155e-10 	 -3.09016994567954e-01   -9.51056516300000e-01 	1.00772517748895e-08	 -1.63996930787830e-09	8.71114399395667e-17		1.00000000000000e+00
1.50000000000000e-01    	6.78696424875995e-10 	 -3.09016994368870e-01   -9.51056516300000e-01 	1.33451599773454e-08	 2.01563144655092e-08	-2.56352500931747e-16		1.00000000000000e+00
1.80000000000000e-01    	9.88215914122581e-10 	 -3.09016992879007e-01   -9.51056516300000e-01 	3.90592497909049e-09	 9.04107444070462e-08	-4.44743022238357e-15		1.00000000000000e+00
2.10000000000000e-01    	6.06638858784976e-10 	 -3.09016988030030e-01   -9.51056516300000e-01 	-3.64567814736613e-08	 2.52555875475480e-07	-2.55532743446266e-14		1.00000000000003e+00
2.40000000000000e-01    	-1.77112012898500e-09 	 -3.09016976237915e-01   -9.51056516300002e-01 	-1.34272766837788e-07	 5.63821935207733e-07	-9.76799312224485e-14		1.00000000000017e+00
2.70000000000000e-01    	-8.36403593993695e-09 	 -3.09016952037829e-01   -9.51056516300007e-01 	-3.23710044170980e-07	 1.09150249508389e-06	-2.87185353908956e-13		1.00000000000065e+00
3.00000000000000e-01    	-2.25062520031128e-08 	 -3.09016907874255e-01   -9.51056516300021e-01 	-6.44471098532377e-07	 1.90634936731800e-06	-6.89266504280583e-13		1.00000000000202e+00
3.30000000000000e-01    	-4.87631160490236e-08 	 -3.09016834130030e-01   -9.51056516300052e-01 	-1.13821878310623e-06	 3.07331216105982e-06	-1.38532100267194e-12		1.00000000000537e+00
3.60000000000000e-01    	-9.29190735119737e-08 	 -3.09016719466861e-01   -9.51056516300107e-01 	-1.84363805441336e-06	 4.64014553835256e-06	-2.33212476251772e-12		1.00000000001246e+00
3.90000000000000e-01    	-1.61799997004196e-07 	 -3.09016551529788e-01   -9.51056516300191e-01 	-2.79039225480186e-06	 6.62469663716329e-06	-3.16340396724278e-12		1.00000000002584e+00
4.20000000000000e-01    	-2.62902499708747e-07 	 -3.09016318039837e-01   -9.51056516300286e-01 	-3.99237759134597e-06	 9.00193196856965e-06	-2.91403082981409e-12		1.00000000004849e+00
4.50000000000000e-01    	-4.03816834218135e-07 	 -3.09016008264433e-01   -9.51056516300336e-01 	-5.44080484103410e-06	 1.16919448026391e-05	2.73120688143791e-13		1.00000000008315e+00
4.80000000000000e-01    	-5.91447357841106e-07 	 -3.09015614816193e-01   -9.51056516300211e-01 	-7.09773188311644e-06	 1.45502815463006e-05	9.33739868877414e-12		1.00000000013104e+00
5.10000000000000e-01    	-8.31054176115477e-07 	 -3.09015135690342e-01   -9.51056516299678e-01 	-8.89072472274281e-06	 1.73619246833628e-05	2.82173558582506e-11		1.00000000019024e+00
5.40000000000000e-01    	-1.12516012516456e-06 	 -3.09014576412194e-01   -9.51056516298376e-01 	-1.07093308068003e-05	 1.98401623354823e-05	6.13127509568726e-11		1.00000000025416e+00
5.70000000000000e-01    	-1.47238720697592e-06 	 -3.09013952132215e-01   -9.51056516295819e-01 	-1.24040021099462e-05	 2.16313591322787e-05	1.12366002041737e-10		1.00000000031089e+00
6.00000000000000e-01    	-1.86630434905883e-06 	 -3.09013289480246e-01   -9.51056516291439e-01 	-1.37880054798222e-05	 2.23263258791675e-05	1.82779825607836e-10		1.00000000034429e+00
6.30000000000000e-01    	-2.29438233765879e-06 	 -3.09012627975441e-01   -9.51056516284686e-01 	-1.46427064384561e-05	 2.14785798319612e-05	2.69612585051654e-10		1.00000000033787e+00
6.60000000000000e-01    	-2.73716051320035e-06 	 -3.09012020786685e-01   -9.51056516275186e-01 	-1.47264159986969e-05	 1.86293134607309e-05	3.63765430481126e-10		1.00000000028196e+00
6.90000000000000e-01    	-3.16773208971421e-06 	 -3.09011534651384e-01   -9.51056516262945e-01 	-1.37867574214680e-05	 1.33383736590411e-05	4.49127851008829e-10		1.00000000018399e+00
7.20000000000000e-01    	-3.55164986506477e-06 	 -3.09011248789384e-01   -9.51056516248546e-01 	-1.15762535459214e-05	 5.22002641695518e-06	5.03587963049085e-10		1.00000000008063e+00
7.50000000000000e-01    	-3.84734113169828e-06 	 -3.09011252693189e-01   -9.51056516233284e-01 	-7.87057008807296e-06	 -6.01822186736026e-06	5.02741946847867e-10		1.00000000004908e+00
7.80000000000000e-01    	-4.00709975229711e-06 	 -3.09011642734378e-01   -9.51056516219138e-01 	-2.48859247367939e-06	 -2.05359206921255e-05	4.26776817229788e-10		1.00000000021396e+00
8.10000000000000e-01    	-3.97869510933412e-06 	 -3.09012517596907e-01   -9.51056516208491e-01 	4.68671953418126e-06	 -3.83216161975440e-05	2.70329185454207e-10		1.00000000074526e+00
8.40000000000000e-01    	-3.70760296372071e-06 	 -3.09013972627575e-01   -9.51056516203527e-01 	1.36879469784081e-05	 -5.91591914856741e-05	5.41977604335891e-11		1.00000000184358e+00
8.70000000000000e-01    	-3.13982365139978e-06 	 -3.09016093278129e-01   -9.51056516205268e-01 	2.44446787008227e-05	 -8.26014394581655e-05	-1.63238540112664e-10		1.00000000371027e+00
9.00000000000000e-01    	-2.22521044003892e-06 	 -3.09018947897572e-01   -9.51056516212311e-01 	3.67682756982585e-05	 -1.07953609314439e-04	-2.77933076674213e-10		1.00000000650294e+00
9.30000000000000e-01    	-9.21187563733755e-07 	 -3.09022580211816e-01   -9.51056516219420e-01 	5.03413599149745e-05	 -1.34269396103957e-04	-1.38910261996408e-10		1.00000001028126e+00
9.60000000000000e-01    	8.03303976372424e-07 	 -3.09027001895591e-01   -9.51056516216224e-01 	6.47133472236130e-05	 -1.60361390705297e-04	4.42926361326179e-10		1.00000001495180e+00
9.90000000000000e-01    	2.96383159731713e-06 	 -3.09032185693103e-01   -9.51056516186349e-01 	7.93031456384557e-05	 -1.84827385712026e-04	1.67383878829871e-09		1.00000002022508e+00
1.02000000000000e+00    	5.55669558981817e-06 	 -3.09038059574593e-01   -9.51056516107380e-01 	9.34098522536975e-05	 -2.06093162177805e-04	3.74419023488003e-09		1.00000002559990e+00
1.05000000000000e+00    	8.55560079426863e-06 	 -3.09044502421594e-01   -9.51056515951947e-01 	1.06231913953723e-04	 -2.22471494556295e-04	6.78619370503012e-09		1.00000003038939e+00
1.08000000000000e+00    	1.19090310076550e-05 	 -3.09051341711532e-01   -9.51056515690156e-01 	1.16894781048837e-04	 -2.32236147153352e-04	1.08286159168029e-08		1.00000003379901e+00
1.11000000000000e+00    	1.55385753314240e-05 	 -3.09058353620577e-01   -9.51056515293309e-01 	1.24486598381568e-04	 -2.33708643059904e-04	1.57574887348057e-08		1.00000003505832e+00
1.14000000000000e+00    	1.93384343890276e-05 	 -3.09065265882470e-01   -9.51056514738578e-01 	1.28100968576242e-04	 -2.25354619042522e-04	2.12937027201807e-08		1.00000003359728e+00
1.17000000000000e+00    	2.31762977222807e-05 	 -3.09071763631887e-01   -9.51056514013962e-01 	1.26885314185071e-04	 -2.05885692896718e-04	2.69983322468485e-08		1.00000002924440e+00
1.20000000000000e+00    	2.68957322171175e-05 	 -3.09077498326993e-01   -9.51056513122553e-01 	1.20092889169918e-04	 -1.74362018573826e-04	3.23141038653651e-08		1.00000002241221e+00
1.23000000000000e+00    	3.03201565166167e-05 	 -3.09082099692142e-01   -9.51056512084976e-01 	1.07136075872303e-04	 -1.30290140884286e-04	3.66463822828250e-08		1.00000001422683e+00
1.26000000000000e+00    	3.32584003573818e-05 	 -3.09085190454451e-01   -9.51056510938832e-01 	8.76382806471727e-05	 -7.37104314556737e-05	3.94797474643730e-08		1.00000000655685e+00
1.29000000000000e+00    	3.55117637555738e-05 	 -3.09086403474788e-01   -9.51056509734268e-01 	6.14815357945663e-05	 -5.26832773805330e-06	4.05175964012691e-08		1.00000000190387e+00
1.32000000000000e+00    	3.68824028239094e-05 	 -3.09085400703186e-01   -9.51056508525255e-01 	2.88468483359974e-05	 7.37361670717578e-05	3.98236895174041e-08		1.00000000313458e+00
1.35000000000000e+00    	3.71827811060488e-05 	 -3.09081893229778e-01   -9.51056507356946e-01 	-9.75557823764425e-06	 1.61325720528599e-04	3.79380043039658e-08		1.00000001306058e+00
1.38000000000000e+00    	3.62458423636277e-05 	 -3.09075661564481e-01   -9.51056506250308e-01 	-5.34688787271235e-05	 2.54853789307762e-04	3.59365537495243e-08		1.00000003390469e+00
1.41000000000000e+00    	3.39354874920358e-05 	 -3.09066575170713e-01   -9.51056505186162e-01 	-1.01087046374174e-04	 3.51046622662661e-04	3.54075536414381e-08		1.00000006672616e+00
1.44000000000000e+00    	3.01568792123615e-05 	 -3.09054610208728e-01   -9.51056504091442e-01 	-1.51069121839630e-04	 4.46080753832739e-04	3.83253359965005e-08		1.00000011090495e+00
1.47000000000000e+00    	2.48660574621488e-05 	 -3.09039864419818e-01   -9.51056502830834e-01 	-2.01571063658388e-04	 5.35695971094069e-04	4.68184861522824e-08		1.00000016380052e+00
1.50000000000000e+00    	1.80783293684222e-05 	 -3.09022568108965e-01   -9.51056501206786e-01 	-2.50495543031728e-04	 6.15341999637243e-04	6.28483250655703e-08		1.00000022069687e+00
1.53000000000000e+00    	9.87490283988170e-06 	 -3.09003090264100e-01   -9.51056498970059e-01 	-2.95559068608993e-04	 6.80355289621963e-04	8.78352856541667e-08		1.00000027511921e+00
1.56000000000000e+00    	4.07263664406571e-07 	 -3.08981938985795e-01   -9.51056495841584e-01 	-3.34374977214293e-04	 7.26160478821144e-04	1.22290152607599e-07		1.00000031955779e+00
1.59000000000000e+00    	-1.01011470309562e-05 	 -3.08959755590449e-01   -9.51056491544441e-01 	-3.64549960775600e-04	 7.48489371612792e-04	1.65520279462653e-07		1.00000034656646e+00
1.62000000000000e+00    	-2.13563156805636e-05 	 -3.08937301988362e-01   -9.51056485842599e-01 	-3.83790974521269e-04	 7.43608744460437e-04	2.15483756605156e-07		1.00000035012470e+00
1.65000000000000e+00    	-3.29983541495188e-05 	 -3.08915441218241e-01   -9.51056478581017e-01 	-3.90018622254612e-04	 7.08547045115124e-04	2.68854179122251e-07		1.00000032707670e+00
1.68000000000000e+00    	-4.46096401601352e-05 	 -3.08895111331660e-01   -9.51056469720113e-01 	-3.81482474944704e-04	 6.41309186170476e-04	3.21334168226207e-07		1.00000027840319e+00
1.71000000000000e+00    	-5.57263837094945e-05 	 -3.08877293152394e-01   -9.51056459357042e-01 	-3.56873280836855e-04	 5.41068219510568e-04	3.68218659550055e-07		1.00000021005672e+00
1.74000000000000e+00    	-6.58534463173193e-05 	 -3.08862972771735e-01   -9.51056447726810e-01 	-3.15426698768566e-04	 4.08322776079302e-04	4.05163450312149e-07		1.00000013311082e+00
1.77000000000000e+00    	-7.44820764705544e-05 	 -3.08853099966090e-01   -9.51056435178357e-01 	-2.57013059411039e-04	 2.45009803024414e-04	4.29067340115344e-07		1.00000006304285e+00
1.80000000000000e+00    	-8.11100606494731e-05 	 -3.08848544020447e-01   -9.51056422124071e-01 	-1.82207757352743e-04	 5.45633394670416e-05	4.38935843802547e-07		1.00000001808851e+00
1.83000000000000e+00    	-8.52636319212853e-05 	 -3.08850048694174e-01   -9.51056408965621e-01 	-9.23372222986410e-05	 -1.58088174137304e-04	4.36569761289680e-07		1.00000001675911e+00
1.86000000000000e+00    	-8.65203349510447e-05 	 -3.08858188258232e-01   -9.51056396003753e-01 	1.05039735047827e-05	 -3.86591307153769e-04	4.26920556717419e-07		1.00000007478167e+00
1.89000000000000e+00    	-8.45319254632901e-05 	 -3.08873326651470e-01   -9.51056383344109e-01 	1.23468434492013e-04	 -6.23306353390286e-04	4.17981397126337e-07		1.00000020187770e+00
1.92000000000000e+00    	-7.90462918130268e-05 	 -3.08895581837054e-01   -9.51056370814333e-01 	2.43006103799262e-04	 -8.59514944763375e-04	4.20138434575137e-07		1.00000039890896e+00
1.95000000000000e+00    	-6.99273341512647e-05 	 -3.08924797380556e-01   -9.51056357908772e-01 	3.64950291146198e-04	 -1.08569298235518e-03	4.44986932968517e-07		1.00000065595887e+00
1.98000000000000e+00    	-5.71717295633756e-05 	 -3.08960523115209e-01   -9.51056343775618e-01 	4.84638989545822e-04	 -1.29184207841122e-03	5.03711341830923e-07		1.00000095186513e+00
2.01000000000000e+00    	-4.09215548781268e-05 	 -3.09002006508213e-01   -9.51056327256865e-01 	5.97069156924226e-04	 -1.46786958097218e-03	6.05223220159630e-07		1.00000125556574e+00
2.04000000000000e+00    	-2.14718358136349e-05 	 -3.09048196000026e-01   -9.51056306984440e-01 	6.97079825940517e-04	 -1.60400438436281e-03	7.54329260026973e-07		1.00000152937429e+00
2.07000000000000e+00    	7.27757755714779e-07 	 -3.09097757166301e-01   -9.51056281526890e-01 	7.79558125382259e-04	 -1.69123325591784e-03	9.50246805772428e-07		1.00000173398935e+00
2.10000000000000e+00    	2.50776480328769e-05 	 -3.09149102063284e-01   -9.51056249571403e-01 	8.39660660601232e-04	 -1.72174045892458e-03	1.18578246580583e-06		1.00000183470914e+00
2.13000000000000e+00    	5.08398466688120e-05 	 -3.09200431579556e-01   -9.51056210117168e-01 	8.73041323890821e-04	 -1.68933212947814e-03	1.44743285698838e-06		1.00000180802151e+00
2.16000000000000e+00    	7.71562589944079e-05 	 -3.09249790049972e-01   -9.51056162649858e-01 	8.76075598000159e-04	 -1.58982625147770e-03	1.71655565904247e-06		1.00000164752810e+00
2.19000000000000e+00    	1.03073533489386e-04 	 -3.09295130813716e-01   -9.51056107264788e-01 	8.46070869911933e-04	 -1.42138922316673e-03	1.97160394766396e-06		1.00000136809263e+00
2.22000000000000e+00    	1.27573878936825e-04 	 -3.09334390840647e-01   -9.51056044709212e-01 	7.81452253235073e-04	 -1.18480094713137e-03	2.19123645769839e-06		1.00000100721235e+00
2.25000000000000e+00    	1.49610963495581e-04 	 -3.09365572032206e-01   -9.51055976322548e-01 	6.81913956167491e-04	 -8.83632103955592e-04	2.35793765152959e-06		1.00000062290876e+00
2.28000000000000e+00    	1.68149726009102e-04 	 -3.09386826348398e-01   -9.51055903866615e-01 	5.48527317344054e-04	 -5.24319763237779e-04	2.46163487480069e-06		1.00000028789970e+00
2.31000000000000e+00    	1.82208685936619e-04 	 -3.09396541542859e-01   -9.51055829254829e-01 	3.83798211832506e-04	 -1.16130695896904e-04	2.50271549256508e-06		1.00000008039683e+00
2.34000000000000e+00    	1.90903147932867e-04 	 -3.09393424024556e-01   -9.51055754207394e-01 	1.91668514332511e-04	 3.28994393553761e-04	2.49384891217902e-06		1.00000007249017e+00
2.37000000000000e+00    	1.93487570819591e-04 	 -3.09376575225208e-01   -9.51055679876136e-01 	-2.25414224304954e-05	 7.96718093328238e-04	2.46012019041404e-06		1.00000031763689e+00
2.40000000000000e+00    	1.89395315198118e-04 	 -3.09345557851177e-01   -9.51055606494640e-01 	-2.52249894294693e-04	 1.27070251927490e-03	2.43718211559321e-06		1.00000083916007e+00
2.43000000000000e+00    	1.78274001849800e-04 	 -3.09300448548114e-01   -9.51055533114093e-01 	-4.89788761799693e-04	 1.73311700328987e-03	2.46741308719084e-06		1.00000162179552e+00
2.46000000000000e+00    	1.60014802971792e-04 	 -3.09241873812034e-01   -9.51055457480819e-01 	-7.26632015054269e-04	 2.16524447570044e-03	2.59439432154191e-06		1.00000260813883e+00
2.49000000000000e+00    	1.34774145365680e-04 	 -3.09171026441484e-01   -9.51055376097103e-01 	-9.53671729305172e-04	 2.54816868203710e-03	2.85634445052496e-06		1.00000370132393e+00
