0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.07141819706179e-12 	 3.09016994376194e-01   9.51056516300000e-01 	1.77943865673875e-10	 1.23732140141725e-09	-3.00562175022077e-19		1.00000000000000e+00
6.00000000000000e-02    	3.33960089645180e-11 	 3.09016994762387e-01   9.51056516300000e-01 	2.74390104577234e-09	 3.90637686255245e-08	-1.45433886269923e-16		1.00000000000000e+00
9.00000000000000e-02    	2.42606222845294e-10 	 3.09016998765948e-01   9.51056516300000e-01 	1.30433594799675e-08	 2.90156196103242e-07	-5.07747922811023e-15		1.00000000000004e+00
1.20000000000000e-01    	9.59134216224065e-10 	 3.09017018504938e-01   9.51056516299999e-01 	3.75896608063499e-08	 1.18549728685273e-06	-5.86935978794464e-14		1.00000000000070e+00
1.50000000000000e-01    	2.68671695278053e-09 	 3.09017083737516e-01   9.51056516299994e-01 	8.08090259101002e-08	 3.47596215471132e-06	-3.59157329184935e-13		1.00000000000604e+00
1.80000000000000e-01    	5.98187354637239e-09 	 3.09017251630865e-01   9.51056516299970e-01 	1.41110496719735e-07	 8.23161683088736e-06	-1.41345015663080e-12		1.00000000003389e+00
2.10000000000000e-01    	1.12121318400470e-08 	 3.09017615370768e-01   9.51056516299895e-01 	2.06831496380254e-07	 1.67640011286423e-05	-3.85142868549367e-12		1.00000000014054e+00
2.40000000000000e-01    	1.81983999183898e-08 	 3.09018309243083e-01   9.51056516299731e-01 	2.52672882738569e-07	 3.04689775009615e-05	-6.95783362976178e-12		1.00000000046421e+00
2.70000000000000e-01    	2.57654447990226e-08 	 3.09019507880387e-01   9.51056516299529e-01 	2.37236090934094e-07	 5.05967600485708e-05	-4.50335104300967e-12		1.00000000128004e+00
3.00000000000000e-01    	3.12419515084261e-08 	 3.09021417701839e-01   9.51056516299707e-01 	1.02206245600319e-07	 7.79647634490517e-05	2.33885767077690e-11		1.00000000303926e+00
3.30000000000000e-01    	2.99661621896011e-08 	 3.09024259170323e-01   9.51056516301629e-01 	-2.26402735255458e-07	 1.12637177347385e-04	1.22249707670317e-10		1.00000000634359e+00
3.60000000000000e-01    	1.48631335774760e-08 	 3.09028239314355e-01   9.51056516308578e-01 	-8.34692237496900e-07	 1.53601953900932e-04	3.76294777907642e-10		1.00000001179713e+00
3.90000000000000e-01    	-2.38355802697431e-08 	 3.09033514958788e-01   9.51056516327049e-01 	-1.81494279136060e-06	 1.98480550957028e-04	9.15933363126987e-10		1.00000001969891e+00
4.20000000000000e-01    	-9.86594665987737e-08 	 3.09040148205858e-01   9.51056516368075e-01 	-3.25739315292975e-06	 2.43307783891327e-04	1.91002417929819e-09		1.00000002960464e+00
4.50000000000000e-01    	-2.24688429957782e-07 	 3.09048056821761e-01   9.51056516447953e-01 	-5.23996504416442e-06	 2.82418155308364e-04	3.53251345220761e-09		1.00000003989373e+00
4.80000000000000e-01    	-4.19007209118786e-07 	 3.09056963220920e-01   9.51056516587500e-01 	-7.81627284895931e-06	 3.08470900411277e-04	5.89732004095372e-09		1.00000004760769e+00
5.10000000000000e-01    	-6.99779811207011e-07 	 3.09066346606452e-01   9.51056516808915e-01 	-1.10023672842390e-05	 3.12638769192248e-04	8.96583667827250e-09		1.00000004893202e+00
5.40000000000000e-01    	-1.08491455746883e-06 	 3.09075403432153e-01   9.51056517129694e-01 	-1.47628168931736e-05	 2.84975547968564e-04	1.24478145958221e-08		1.00000004071450e+00
5.70000000000000e-01    	-1.59031186809318e-06 	 3.09083021621500e-01   9.51056517553946e-01 	-1.89969775282320e-05	 2.14964998235127e-04	1.57356658400439e-08		1.00000002328542e+00
6.00000000000000e-01    	-2.22771757532629e-06 	 3.09087773853460e-01   9.51056518062932e-01 	-2.35266635319340e-05	 9.22399473337565e-05	1.79285682898909e-08		1.00000000453086e+00
6.30000000000000e-01    	-3.00224770979165e-06 	 3.09087934667058e-01   9.51056518608453e-01 	-2.80868955180713e-05	 -9.25544533315738e-05	1.80084563990583e-08		1.00000000467760e+00
6.60000000000000e-01    	-3.90970821039720e-06 	 3.09081525137529e-01   9.51056519114451e-01 	-3.23218753500189e-05	 -3.46793825799698e-04	1.52171739716480e-08		1.00000006065533e+00
6.90000000000000e-01    	-4.93390320645063e-06 	 3.09066387456995e-01   9.51056519493165e-01 	-3.57886791534312e-05	 -6.74857888167271e-04	9.64740491485656e-09		1.00000022835697e+00
7.20000000000000e-01    	-6.04420145546732e-06 	 3.09040289962728e-01   9.51056519681706e-01 	-3.79711658386482e-05	 -1.07712901265602e-03	2.99947164481111e-09		1.00000058082419e+00
7.50000000000000e-01    	-7.19369906676094e-06 	 3.09001061076695e-01   9.51056519702379e-01 	-3.83060676804798e-05	 -1.54907901492814e-03	-6.20746415614098e-10		1.00000120055585e+00
7.80000000000000e-01    	-8.31835921477808e-06 	 3.08946748358424e-01   9.51056519745108e-01 	-3.62220126920855e-05	 -2.08052117280744e-03	5.93518757313529e-09		1.00000216493785e+00
