0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	6.68034920781565e-13 	 3.09016994376758e-01   -9.51056516300000e-01 	1.10948942990064e-10	 1.35001860695103e-09	2.04470990456248e-19		1.00000000000000e+00
6.00000000000000e-02    	2.08225908151563e-11 	 3.09016994798126e-01   -9.51056516300000e-01 	1.71083726561249e-09	 4.26217589815267e-08	9.89379678306287e-17		1.00000000000000e+00
9.00000000000000e-02    	1.51266462504918e-10 	 3.09016999166338e-01   -9.51056516300000e-01 	8.13262758882634e-09	 3.16584086546153e-07	3.45418452046399e-15		1.00000000000005e+00
1.20000000000000e-01    	5.98029707532555e-10 	 3.09017020703187e-01   -9.51056516300000e-01 	2.34377511229403e-08	 1.29347428897753e-06	3.99289707021628e-14		1.00000000000084e+00
1.50000000000000e-01    	1.67523061561289e-09 	 3.09017091877254e-01   -9.51056516299996e-01 	5.03882815024011e-08	 3.79255845825559e-06	2.44332997989679e-13		1.00000000000719e+00
1.80000000000000e-01    	3.73006060499473e-09 	 3.09017275062606e-01   -9.51056516299980e-01 	8.80023534426670e-08	 8.98136619121079e-06	9.61563343753509e-13		1.00000000004034e+00
2.10000000000000e-01    	6.99245625501221e-09 	 3.09017671932554e-01   -9.51056516299929e-01 	1.29040207490300e-07	 1.82908950056004e-05	2.62010845390122e-12		1.00000000016729e+00
2.40000000000000e-01    	1.13531142316678e-08 	 3.09018429003966e-01   -9.51056516299817e-01 	1.57806060368268e-07	 3.32441457063224e-05	4.73338061018481e-12		1.00000000055260e+00
2.70000000000000e-01    	1.60850702061220e-08 	 3.09019736815306e-01   -9.51056516299680e-01 	1.48643657954596e-07	 5.52052050908323e-05	3.06360542112209e-12		1.00000000152382e+00
3.00000000000000e-01    	1.95346959992108e-08 	 3.09021820586828e-01   -9.51056516299800e-01 	6.54491095413476e-08	 8.50659400846721e-05	-1.59111514522836e-11		1.00000000361811e+00
3.30000000000000e-01    	1.88163708191236e-08 	 3.09024920861636e-01   -9.51056516301108e-01 	-1.37567378669693e-07	 1.22896386268911e-04	-8.31659448968059e-11		1.00000000755177e+00
3.60000000000000e-01    	9.55040221702153e-09 	 3.09029263524798e-01   -9.51056516305835e-01 	-5.13748566326380e-07	 1.67592314161110e-04	-2.55991684688988e-10		1.00000001404372e+00
3.90000000000000e-01    	-1.43141124288272e-08 	 3.09035019684975e-01   -9.51056516318401e-01 	-1.12046346452954e-06	 2.16558536080502e-04	-6.23105399876888e-10		1.00000002344943e+00
4.20000000000000e-01    	-6.05502123079826e-08 	 3.09042257100629e-01   -9.51056516346311e-01 	-2.01423033262216e-06	 2.65468710772763e-04	-1.29938083395369e-09		1.00000003523885e+00
4.50000000000000e-01    	-1.38538265109773e-07 	 3.09050886047939e-01   -9.51056516400652e-01 	-3.24455567990739e-06	 3.08141329756195e-04	-2.40315266286395e-09		1.00000004748080e+00
4.80000000000000e-01    	-2.58947836207755e-07 	 3.09060603659110e-01   -9.51056516495585e-01 	-4.84654988233514e-06	 3.36567060986518e-04	-4.01191928383994e-09		1.00000005665044e+00
5.10000000000000e-01    	-4.33180480987840e-07 	 3.09070841704956e-01   -9.51056516646212e-01 	-6.83238821649812e-06	 3.41114749586768e-04	-6.09941685419699e-09		1.00000005820298e+00
5.40000000000000e-01    	-6.72540765524250e-07 	 3.09080723457731e-01   -9.51056516864437e-01 	-9.18177095416625e-06	 3.10932441164553e-04	-8.46819261544944e-09		1.00000004838164e+00
5.70000000000000e-01    	-9.87110398036768e-07 	 3.09089035564745e-01   -9.51056517153054e-01 	-1.18317620420186e-05	 2.34546342379220e-04	-1.07049123849366e-08		1.00000002757599e+00
6.00000000000000e-01    	-1.38431735826842e-06 	 3.09094220725947e-01   -9.51056517499315e-01 	-1.46667911337770e-05	 1.00645416538901e-04	-1.21967594490010e-08		1.00000000517231e+00
6.30000000000000e-01    	-1.86722363529061e-06 	 3.09094396359614e-01   -9.51056517870432e-01 	-1.75101707620575e-05	 -1.00976749076432e-04	-1.22511570584906e-08		1.00000000525146e+00
6.60000000000000e-01    	-2.43260525644297e-06 	 3.09087403349908e-01   -9.51056518214664e-01 	-2.01191135238125e-05	 -3.78367029336210e-04	-1.03523332287631e-08		1.00000007178319e+00
6.90000000000000e-01    	-3.06896621649074e-06 	 3.09070887420583e-01   -9.51056518472307e-01 	-2.21857552851950e-05	 -7.36303582388768e-04	-6.56330686294603e-09		1.00000027131755e+00
7.20000000000000e-01    	-3.75470686311197e-06 	 3.09042413726253e-01   -9.51056518600577e-01 	-2.33468611099362e-05	 -1.17520333376147e-03	-2.04070128673960e-09		1.00000069082374e+00
7.50000000000000e-01    	-4.45674296006232e-06 	 3.08999612984053e-01   -9.51056518614642e-01 	-2.32044622029872e-05	 -1.69012575194838e-03	4.22474661081872e-10		1.00000142853073e+00
7.80000000000000e-01    	-5.12992300656879e-06 	 3.08940355001388e-01   -9.51056518643692e-01 	-2.13584588606777e-05	 -2.26995689775168e-03	-4.03649015995894e-09		1.00000257657693e+00
8.10000000000000e-01    	-5.71759380669340e-06 	 3.08862942931169e-01   -9.51056518996206e-01 	-1.74501851529695e-05	 -2.89685703342582e-03	-2.24989751883712e-08		1.00000419603379e+00
8.40000000000000e-01    	-6.15359496215285e-06 	 3.08766319164072e-01   -9.51056520223150e-01 	-1.12132389301698e-05	 -3.54604888345168e-03	-6.39497550918058e-08		1.00000628727445e+00
8.70000000000000e-01    	-6.36580800670215e-06 	 3.08650271616923e-01   -9.51056523162927e-01 	-2.52495625557325e-06	 -4.18601180263935e-03	-1.38360081065733e-07		1.00000876131222e+00
9.00000000000000e-01    	-6.28114754129966e-06 	 3.08515627466014e-01   -9.51056528949140e-01 	8.55060349190037e-06	 -4.77912982620774e-03	-2.55129395806513e-07		1.00001142001233e+00
9.30000000000000e-01    	-5.83158382513005e-06 	 3.08364420261084e-01   -9.51056538963135e-01 	2.17386218419349e-05	 -5.28281940727543e-03	-4.20994595018591e-07		1.00001395422946e+00
9.60000000000000e-01    	-4.96047601373490e-06 	 3.08200015973444e-01   -9.51056554719214e-01 	3.65582856499326e-05	 -5.65113650092491e-03	-6.37696123564599e-07		1.00001596821284e+00
9.90000000000000e-01    	-3.62823937139834e-06 	 3.08027183979547e-01   -9.51056577681844e-01 	5.23631354275823e-05	 -5.83683376108535e-03	-8.99868164170395e-07		1.00001703554043e+00
1.02000000000000e+00    	-1.81624473032091e-06 	 3.07852100315280e-01   -9.51056609030314e-01 	6.84181629953023e-05	 -5.79380846097978e-03	-1.19375049852172e-06		1.00001678630859e+00
1.05000000000000e+00    	4.72075146503878e-07 	 3.07682272764009e-01   -9.51056649405023e-01 	8.40071472508816e-05	 -5.47985197703807e-03	-1.49735374057933e-06		1.00001501780580e+00
1.08000000000000e+00    	3.21361368954527e-06 	 3.07526380421795e-01   -9.51056698687373e-01 	9.85551191041115e-05	 -4.85958399845321e-03	-1.78260655751850e-06		1.00001181256670e+00
1.11000000000000e+00    	6.37159979515383e-06 	 3.07394024228544e-01   -9.51056755877576e-01 	1.11743029256829e-04	 -3.90743071412351e-03	-2.01975188022195e-06		1.00000764022350e+00
1.14000000000000e+00    	9.90458280357546e-06 	 3.07295389435440e-01   -9.51056819136852e-01 	1.23586686274488e-04	 -2.61048765253100e-03	-2.18384816167198e-06		1.00000341495628e+00
1.17000000000000e+00    	1.37768928168555e-05 	 3.07240825930616e-01   -9.51056886048695e-01 	1.34451821937451e-04	 -9.71096024044141e-04	-2.26271791628325e-06		1.00000048055483e+00
1.20000000000000e+00    	1.79683058422588e-05 	 3.07240357564041e-01   -9.51056954126053e-01 	1.44983198503288e-04	 9.91042420037010e-04	-2.26515278952951e-06		1.00000050159504e+00
1.23000000000000e+00    	2.24801561348242e-05 	 3.07303136857910e-01   -9.51057021548591e-01 	1.55938482422783e-04	 3.23738180530459e-03	-2.22774485606230e-06		1.00000525246757e+00
1.26000000000000e+00    	2.73351273938479e-05 	 3.07436866477612e-01   -9.51057088061189e-01 	1.67936285295388e-04	 5.70983463805397e-03	-2.21849200560340e-06		1.00001631507646e+00
1.29000000000000e+00    	3.25685640778543e-05 	 3.07647213248470e-01   -9.51057155909918e-01 	1.81149881867540e-04	 8.33099006066383e-03	-2.33543265751974e-06		1.00003471850538e+00
1.32000000000000e+00    	3.82104226399685e-05 	 3.07937243987386e-01   -9.51057230645886e-01 	1.94999798105613e-04	 1.10053424369012e-02	-2.69907218551247e-06		1.00006057596246e+00
1.35000000000000e+00    	4.42588460647565e-05 	 3.08306914634401e-01   -9.51057321602987e-01 	2.07914912704920e-04	 1.36215808066497e-02	-3.43827341176603e-06		1.00009279104696e+00
1.38000000000000e+00    	5.06485600733857e-05 	 3.08752644827478e-01   -9.51057441863765e-01 	2.17237991275306e-04	 1.60559386526083e-02	-4.67051381253056e-06		1.00012891188095e+00
1.41000000000000e+00    	5.72194843431364e-05 	 3.09267008981444e-01   -9.51057607575508e-01 	2.19343644371182e-04	 1.81765480231775e-02	-6.47879112484096e-06		1.00016520387966e+00
1.44000000000000e+00    	6.36926634307635e-05 	 3.09838572076136e-01   -9.51057836567175e-01 	2.10012538066445e-04	 1.98486857113804e-02	-8.88874198309550e-06		1.00019698785227e+00
1.47000000000000e+00    	6.96613698631930e-05 	 3.10451893861864e-01   -9.51058146339445e-01 	1.85066139717252e-04	 2.09407453734586e-02	-1.18504419707327e-05		1.00021925056795e+00
