0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-1.63723226745945e-13 	 -9.27050983123899e-01   2.85316954890000e+00 	-2.81603203793868e-11	 -6.52758198156643e-10	-7.78764148519914e-21		1.00000000000000e+00
6.00000000000000e-02    	-6.02861105273049e-12 	 -9.27050983246483e-01   2.85316954890000e+00 	-5.27006527655764e-10	 -1.05615830303071e-08	-7.54284108854420e-19		1.00000000000000e+00
9.00000000000000e-02    	-5.09694281455650e-11 	 -9.27050984077201e-01   2.85316954890000e+00 	-2.99011689435539e-09	 -5.27981121838837e-08	1.34309525697546e-17		1.00000000000000e+00
1.20000000000000e-01    	-2.32867071290643e-10 	 -9.27050987071917e-01   2.85316954890000e+00 	-1.02386861114803e-08	 -1.60826761515014e-07	4.43127407909580e-16		1.00000000000001e+00
1.50000000000000e-01    	-7.53317914943273e-10 	 -9.27050994729979e-01   2.85316954890000e+00 	-2.63155718839447e-08	 -3.68743802201211e-07	4.21788270540462e-15		1.00000000000007e+00
1.80000000000000e-01    	-1.94777154268552e-09 	 -9.27051010414560e-01   2.85316954890000e+00 	-5.59856399201564e-08	 -6.97485491641124e-07	2.32257272111966e-14		1.00000000000024e+00
2.10000000000000e-01    	-4.29494782524303e-09 	 -9.27051037718598e-01   2.85316954890000e+00 	-1.03861121165662e-07	 -1.13863937001628e-06	9.00927554596786e-14		1.00000000000065e+00
2.40000000000000e-01    	-8.39515342892972e-09 	 -9.27051079334587e-01   2.85316954890001e+00 	-1.73217591505623e-07	 -1.63792971129383e-06	2.70081336300647e-13		1.00000000000136e+00
2.70000000000000e-01    	-1.49097482635771e-08 	 -9.27051135453026e-01   2.85316954890002e+00 	-2.64609380082266e-07	 -2.08070842067180e-06	6.57323325684617e-13		1.00000000000220e+00
3.00000000000000e-01    	-2.44578349483396e-08 	 -9.27051201785597e-01   2.85316954890005e+00 	-3.74428886881768e-07	 -2.28183712868393e-06	1.33013593394929e-12		1.00000000000267e+00
3.30000000000000e-01    	-3.74709817375426e-08 	 -9.27051267378807e-01   2.85316954890010e+00 	-4.93579099088343e-07	 -1.98218016804075e-06	2.24142729251761e-12		1.00000000000209e+00
3.60000000000000e-01    	-5.40120743492610e-08 	 -9.27051312445156e-01   2.85316954890018e+00 	-6.06439935846017e-07	 -8.53542826587575e-07	3.04273814338148e-12		1.00000000000055e+00
3.90000000000000e-01    	-7.35697932956063e-08 	 -9.27051306485611e-01   2.85316954890027e+00 	-6.90305264999201e-07	 1.48669761437556e-06	2.88995242591890e-12		1.00000000000134e+00
4.20000000000000e-01    	-9.48452652362380e-08 	 -9.27051207003597e-01   2.85316954890033e+00 	-7.15447932677258e-07	 5.45077571357799e-06	3.49630904835262e-13		1.00000000001511e+00
4.50000000000000e-01    	-1.15551672952420e-07 	 -9.27050959112620e-01   2.85316954890025e+00 	-6.45935433489713e-07	 1.14459203926617e-05	-6.40343069964116e-12		1.00000000006571e+00
