0.00000000000000e+00    	0.00000000000000e+00 	 -1.76335575690000e+00  	-2.42705098310000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.60000000000000e-01    	2.70677793542492e-07 	 -1.76337045515269e+00   -2.42705098316302e+00 	-4.37372864197813e-06	 -7.99048126521214e-05	-8.90962863155858e-10		1.00000000320195e+00
6.90000000000000e-01    	1.00802672074720e-07 	 -1.76337279735692e+00   -2.42705098319355e+00 	-7.03711211721704e-06	 -7.52227537255599e-05	-1.14407379050536e-09		1.00000000285399e+00
7.20000000000000e-01    	-1.56538359168889e-07 	 -1.76337490076404e+00   -2.42705098323146e+00 	-1.01981273368335e-05	 -6.37692420663434e-05	-1.37657922329473e-09		1.00000000208526e+00
7.50000000000000e-01    	-5.15470783483634e-07 	 -1.76337654356158e+00   -2.42705098327557e+00 	-1.37962653222941e-05	 -4.43282838628604e-05	-1.55198003176676e-09		1.00000000107767e+00
7.80000000000000e-01    	-9.87660663571781e-07 	 -1.76337747058088e+00   -2.42705098332370e+00 	-1.77275063436659e-05	 -1.59106044444070e-05	-1.64102272449835e-09		1.00000000028371e+00
8.10000000000000e-01    	-1.58096973207425e-06 	 -1.76337740177470e+00   -2.42705098337310e+00 	-2.18420800376789e-05	 2.21344043402844e-05	-1.63830655976533e-09		1.00000000048350e+00
8.40000000000000e-01    	-2.29808158722217e-06 	 -1.76337604403775e+00   -2.42705098342145e+00 	-2.59448545162709e-05	 7.00089464205039e-05	-1.58233592008029e-09		1.00000000278719e+00
8.70000000000000e-01    	-3.13518406910449e-06 	 -1.76337310619451e+00   -2.42705098346850e+00 	-2.97987469947970e-05	 1.27366687056860e-04	-1.57547977226148e-09		1.00000000855512e+00
9.00000000000000e-01    	-4.08080255212054e-06 	 -1.76336831675025e+00   -2.42705098351825e+00 	-3.31314005715317e-05	 1.93229965168539e-04	-1.79873208480163e-09		1.00000001921775e+00
9.30000000000000e-01    	-5.11488352604222e-06 	 -1.76336144376942e+00   -2.42705098358134e+00 	-3.56451859032680e-05	 2.65932006318964e-04	-2.51528914649665e-09		1.00000003599521e+00
9.60000000000000e-01    	-6.20822643229145e-06 	 -1.76335231602288e+00   -2.42705098367741e+00 	-3.70303713918536e-05	 3.43091224837804e-04	-4.05726466323455e-09		1.00000005954142e+00
9.90000000000000e-01    	-7.32235358111320e-06 	 -1.76334084434756e+00   -2.42705098383670e+00 	-3.69810741404669e-05	 4.21623651139242e-04	-6.79171365945927e-09		1.00000008956705e+00
1.02000000000000e+00    	-8.40989285514549e-06 	 -1.76332704200278e+00   -2.42705098410034e+00 	-3.52133730660858e-05	 4.97797997048582e-04	-1.10656284982506e-08		1.00000012452141e+00
1.05000000000000e+00    	-9.41552610279833e-06 	 -1.76331104270021e+00   -2.42705098451865e+00 	-3.14847542710782e-05	 5.67335922574889e-04	-1.71344273044267e-08		1.00000016143066e+00
1.08000000000000e+00    	-1.02775285235477e-05 	 -1.76329311494142e+00   -2.42705098514729e+00 	-2.56138866130374e-05	 6.25557764878356e-04	-2.50839763756708e-08		1.00000019598928e+00
1.11000000000000e+00    	-1.09298923917432e-05 	 -1.76327367132702e+00   -2.42705098604106e+00 	-1.74996098860326e-05	 6.67571433080301e-04	-3.47612909572679e-08		1.00000022297890e+00
1.14000000000000e+00    	-1.13049940640805e-05 	 -1.76325327161036e+00   -2.42705098724600e+00 	-7.13797208876127e-06	 6.88499482413680e-04	-4.57324213124780e-08		1.00000023704122e+00
1.17000000000000e+00    	-1.13367285681065e-05 	 -1.76323261845909e+00   -2.42705098879091e+00 	5.36381792466475e-06	 6.83736696676152e-04	-5.72863327088762e-08		1.00000023376229e+00
1.20000000000000e+00    	-1.09640034388903e-05 	 -1.76321254515616e+00   -2.42705099067980e+00 	1.97775525335830e-05	 6.49227978492498e-04	-6.84998143243405e-08		1.00000021094404e+00
1.23000000000000e+00    	-1.01344549356879e-05 	 -1.76319399481245e+00   -2.42705099288743e+00 	3.57491652637791e-05	 5.81754125241854e-04	-7.83702111686732e-08		1.00000016985792e+00
1.26000000000000e+00    	-8.80822698792418e-06 	 -1.76317799106345e+00   -2.42705099535960e+00 	5.27994983990586e-05	 4.79211302423954e-04	-8.60105533598130e-08		1.00000011621563e+00
1.29000000000000e+00    	-6.96163725776307e-06 	 -1.76316560066731e+00   -2.42705099802022e+00 	7.03311102678700e-05	 3.40868850099225e-04	-9.08869546006896e-08		1.00000006056902e+00
1.32000000000000e+00    	-4.59054597305678e-06 	 -1.76315788889161e+00   -2.42705100078554e+00 	8.76412934019705e-05	 1.67589584638990e-04	-9.30634069529713e-08		1.00000001788364e+00
1.35000000000000e+00    	-1.71324148399614e-06 	 -1.76315586904845e+00   -2.42705100358539e+00 	1.03941248892188e-04	 -3.80029288526653e-05	-9.34074118502911e-08		1.00000000612401e+00
1.38000000000000e+00    	1.62733878767758e-06 	 -1.76316044798841e+00   -2.42705100638922e+00 	1.18381161131883e-04	 -2.71424509929930e-04	-9.37045207506378e-08		1.00000004384269e+00
1.41000000000000e+00    	5.36222296264329e-06 	 -1.76317236976738e+00   -2.42705100923374e+00 	1.30080739999166e-04	 -5.26310286782715e-04	-9.66335900720218e-08		1.00000014696175e+00
1.44000000000000e+00    	9.39601036733831e-06 	 -1.76319216003192e+00   -2.42705101224718e+00 	1.38164632601914e-04	 -7.94483994584536e-04	-1.05568977291768e-07		1.00000032514709e+00
1.47000000000000e+00    	1.36076032403997e-05 	 -1.76322007390508e+00   -2.42705101566491e+00 	1.41801933358072e-04	 -1.06612269956122e-03	-1.24200816222488e-07		1.00000057836254e+00
1.50000000000000e+00    	1.78521733400943e-05 	 -1.76325605027538e+00   -2.42705101983116e+00 	1.40248814781530e-04	 -1.33001885619703e-03	-1.55997533631749e-07		1.00000089430956e+00
1.53000000000000e+00    	2.19644392014149e-05 	 -1.76329967538070e+00   -2.42705102518302e+00 	1.32893040274898e-04	 -1.57393700796996e-03	-2.03571338973369e-07		1.00000124746838e+00
1.56000000000000e+00    	2.57632878794111e-05 	 -1.76335015842527e+00   -2.42705103221507e+00 	1.19298793903348e-04	 -1.78505758304348e-03	-2.68041196933131e-07		1.00000160033014e+00
1.59000000000000e+00    	2.90577224160678e-05 	 -1.76340632166768e+00   -2.42705104142625e+00 	9.92498784424780e-05	 -1.95049533177701e-03	-3.48511540259786e-07		1.00000190713953e+00
1.62000000000000e+00    	3.16540516798598e-05 	 -1.76346660697213e+00   -2.42705105325458e+00 	7.27889235210518e-05	 -2.05787523527440e-03	-4.41791789491025e-07		1.00000212007221e+00
1.65000000000000e+00    	3.33641626663835e-05 	 -1.76352910023455e+00   -2.42705106800824e+00 	4.02498668542017e-05	 -2.09594442218554e-03	-5.42466461758137e-07		1.00000219729927e+00
1.68000000000000e+00    	3.40146288477582e-05 	 -1.76359157439467e+00   -2.42705108580523e+00 	2.28070080472918e-06	 -2.05519499907910e-03	-6.43386245058928e-07		1.00000211191382e+00
1.71000000000000e+00    	3.34563162677853e-05 	 -1.76365155094955e+00   -2.42705110653402e+00 	-4.01465971362689e-05	 -1.92846994771882e-03	-7.36589032281712e-07		1.00000186030259e+00
1.74000000000000e+00    	3.15740590156943e-05 	 -1.76370637902089e+00   -2.42705112984775e+00 	-8.57418213855941e-05	 -1.71152256563402e-03	-8.14583320134247e-07		1.00000146832983e+00
1.77000000000000e+00    	2.82958970336353e-05 	 -1.76375333013391e+00   -2.42705115520047e+00 	-1.32920293918199e-04	 -1.40349948556076e-03	-8.71845630917391e-07		1.00000099373919e+00
1.80000000000000e+00    	2.36013129748507e-05 	 -1.76378970597700e+00   -2.42705118192890e+00 	-1.79845989543472e-04	 -1.00731822297465e-03	-9.06312811105904e-07		1.00000052351756e+00
1.83000000000000e+00    	1.75278822322810e-05 	 -1.76381295557129e+00   -2.42705120937563e+00 	-2.24494104693429e-04	 -5.29912536573132e-04	-9.20604308948554e-07		1.00000016560286e+00
1.86000000000000e+00    	1.01757709467937e-05 	 -1.76382079752969e+00   -2.42705123704142e+00 	-2.64731572703289e-04	 1.76773464447135e-05	-9.22702320601513e-07		1.00000003519807e+00
1.89000000000000e+00    	1.70958703256138e-06 	 -1.76381134246907e+00   -2.42705126474688e+00 	-2.98412327090835e-04	 6.20387445373441e-04	-9.25858056719806e-07		1.00000023696565e+00
1.92000000000000e+00    	-7.64278978607171e-06 	 -1.76378321019615e+00   -2.42705129277777e+00 	-3.23482474098668e-04	 1.25939709199022e-03	-9.47582372956213e-07		1.00000084536106e+00
1.95000000000000e+00    	-1.75946062918731e-05 	 -1.76373563605385e+00   -2.42705132198593e+00 	-3.38089175040859e-04	 1.91258430940457e-03	-1.00771199881457e-06		1.00000188614024e+00
1.98000000000000e+00    	-2.78078691386800e-05 	 -1.76366856081743e+00   -2.42705135382016e+00 	-3.40686171727000e-04	 2.55516522967584e-03	-1.12570287829190e-06		1.00000332246332e+00
2.01000000000000e+00    	-3.79040028552918e-05 	 -1.76358269878922e+00   -2.42705139026785e+00 	-3.30128688418656e-04	 3.16050458470503e-03	-1.31746612705109e-06		1.00000504887521e+00
2.04000000000000e+00    	-4.74771103853578e-05 	 -1.76347957926421e+00   -2.42705143370059e+00 	-3.05751010727091e-04	 3.70107554191455e-03	-1.59220126820950e-06		1.00000689569942e+00
2.07000000000000e+00    	-5.61092311091687e-05 	 -1.76336155732149e+00   -2.42705148663125e+00 	-2.67421372750956e-04	 4.14953873982170e-03	-1.94976653450293e-06		1.00000864505750e+00
2.10000000000000e+00    	-6.33868585964414e-05 	 -1.76323179092158e+00   -2.42705155140727e+00 	-2.15570759490568e-04	 4.47990273878053e-03	-2.37913244824671e-06		1.00001005795190e+00
2.13000000000000e+00    	-6.89179140468512e-05 	 -1.76309418252456e+00   -2.42705162987965e+00 	-1.51194620755173e-04	 4.66872165560560e-03	-2.85837768458101e-06		1.00001090985543e+00
2.16000000000000e+00    	-7.23483792013199e-05 	 -1.76295328484716e+00   -2.42705172309876e+00 	-7.58289756630175e-05	 4.69628087593938e-03	-3.35650449609896e-06		1.00001103034685e+00
2.19000000000000e+00    	-7.33778716847952e-05 	 -1.76281417189591e+00   -2.42705183109244e+00 	8.49540195816539e-06	 4.54771875321621e-03	-3.83709031348947e-06		1.00001034086291e+00
2.22000000000000e+00    	-7.17735825139258e-05 	 -1.76268227798775e+00   -2.42705195277796e+00 	9.93154419869536e-05	 4.21403134870256e-03	-4.26348447156041e-06		1.00000888393151e+00
2.25000000000000e+00    	-6.73821664414859e-05 	 -1.76256320903578e+00   -2.42705208604590e+00 	1.93808927777842e-04	 3.69290869564891e-03	-4.60494957993744e-06		1.00000683755549e+00
2.28000000000000e+00    	-6.01393509555431e-05 	 -1.76246253186771e+00   -2.42705222803193e+00 	2.88872766276005e-04	 2.98935484008792e-03	-4.84288856633911e-06		1.00000450984647e+00
2.31000000000000e+00    	-5.00771772718810e-05 	 -1.76238554869151e+00   -2.42705237556403e+00 	3.81202225054827e-04	 2.11604998301176e-03	-4.97614304492157e-06		1.00000231150104e+00
2.34000000000000e+00    	-3.73288783894589e-05 	 -1.76233706496028e+00   -2.42705252574197e+00 	4.67369222734964e-04	 1.09342128898414e-03	-5.02433899118633e-06		1.00000070701442e+00
2.37000000000000e+00    	-2.21314163123792e-05 	 -1.76232115975391e+00   -2.42705267657661e+00 	5.43900429386076e-04	 -5.06008956317606e-05	-5.02841601410678e-06		1.00000014920670e+00
2.40000000000000e+00    	-4.82563788114538e-06 	 -1.76234096833268e+00   -2.42705282759574e+00 	6.07358510055323e-04	 -1.28115288040745e-03	-5.04780592240340e-06		1.00000100513077e+00
2.43000000000000e+00    	1.41461220001202e-05 	 -1.76239848668056e+00   -2.42705298031346e+00 	6.54431748065367e-04	 -2.55733200087788e-03	-5.15419520736762e-06		1.00000348412115e+00
2.46000000000000e+00    	3.42453310494290e-05 	 -1.76249440761074e+00   -2.42705313846664e+00 	6.82037977195398e-04	 -3.83340030605382e-03	-5.42235708289116e-06		1.00000758005283e+00
2.49000000000000e+00    	5.48459524985644e-05 	 -1.76262799733586e+00   -2.42705330794456e+00 	6.87447840510080e-04	 -5.06026851491006e-03	-5.91909226323853e-06		1.00001303938349e+00
2.52000000000000e+00    	7.52471616166119e-05 	 -1.76279702031565e+00   -2.42705349637688e+00 	6.68429723815394e-04	 -6.18721781231745e-03	-6.69178226699315e-06		1.00001936406618e+00
2.55000000000000e+00    	9.46907157857114e-05 	 -1.76299771871052e+00   -2.42705371239454e+00 	6.23414431259254e-04	 -7.16380472226622e-03	-7.75834505879231e-06		1.00002585406771e+00
2.58000000000000e+00    	1.12383470429465e-04 	 -1.76322485093820e+00   -2.42705396463348e+00 	5.51672249741893e-04	 -7.94188356973527e-03	-9.10041764214657e-06		1.00003168846778e+00
2.61000000000000e+00    	1.27525226315147e-04 	 -1.76347179171550e+00   -2.42705426060239e+00 	4.53489247169664e-04	 -8.47767240756065e-03	-1.06613325316237e-05		1.00003603769845e+00
2.64000000000000e+00    	1.39341620483657e-04 	 -1.76373069364535e+00   -2.42705460557549e+00 	3.30324428768586e-04	 -8.73378213164674e-03	-1.23499059512714e-05		1.00003819337917e+00
2.67000000000000e+00    	1.47121165709122e-04 	 -1.76399270796231e+00   -2.42705500168992e+00 	1.84925766243425e-04	 -8.68112512706996e-03	-1.40502639864659e-05		1.00003769745366e+00
2.70000000000000e+00    	1.50254863790635e-04 	 -1.76424825956150e+00   -2.42705544742072e+00 	2.13820543640749e-05	 -8.30061938101168e-03	-1.56369937294841e-05		1.00003444989851e+00
2.73000000000000e+00    	1.48276152329270e-04 	 -1.76448736898839e+00   -2.42705593757027e+00 	-1.54910283814637e-04	 -7.58460670327016e-03	-1.69939515434320e-05		1.00002877485842e+00
2.76000000000000e+00    	1.40898393844051e-04 	 -1.76470001174115e+00   -2.42705646384634e+00 	-3.37380658762743e-04	 -6.53790960764822e-03	-1.80342423532174e-05		1.00002142897689e+00
2.79000000000000e+00    	1.28046782341874e-04 	 -1.76487650311661e+00   -2.42705701601965e+00 	-5.18524340538798e-04	 -5.17846059346036e-03	-1.87183536811464e-05		1.00001354274429e+00
2.82000000000000e+00    	1.09881513632218e-04 	 -1.76500789500487e+00   -2.42705758355841e+00 	-6.90243961683501e-04	 -3.53745004602241e-03	-1.90673116504783e-05		1.00000649515547e+00
2.85000000000000e+00    	8.68093993030887e-05 	 -1.76508636960361e+00   -2.42705815754782e+00 	-8.44274851948301e-04	 -1.65895467884900e-03	-1.91680993328484e-05		1.00000173264753e+00
2.88000000000000e+00    	5.94818137138262e-05 	 -1.76510561408653e+00   -2.42705873263115e+00 	-9.72664496634406e-04	 4.00972858542191e-04	-1.91694471263876e-05		1.00000055361131e+00
2.91000000000000e+00    	2.87779086619046e-05 	 -1.76506115992515e+00   -2.42705930867101e+00 	-1.06826667206301e-03	 2.57575134328825e-03	-1.92673960379664e-05		1.00000388802239e+00
2.94000000000000e+00    	-4.22668370792693e-06 	 -1.76495067091900e+00   -2.42705989183406e+00 	-1.12520512186279e-03	 4.79023041451352e-03	-1.96815932464633e-05		1.00001210631740e+00
2.97000000000000e+00    	-3.83040562965449e-05 	 -1.76477416509622e+00   -2.42706049485553e+00 	-1.13926131772203e-03	 6.96311339739815e-03	-2.06248848612526e-05		1.00002489133517e+00
3.00000000000000e+00    	-7.21282331724404e-05 	 -1.76453415751509e+00   -2.42706113633890e+00 	-1.10814654633621e-03	 9.00977157825404e-03	-2.22701658331660e-05		1.00004120138553e+00
3.03000000000000e+00    	-1.04335427115727e-04 	 -1.76423571358225e+00   -2.42706183908031e+00 	-1.03163006231736e-03	 1.08453566806777e-02	-2.47193761413800e-05		1.00005934155587e+00
3.06000000000000e+00    	-1.33585782505024e-04 	 -1.76388640569651e+00   -2.42706262756013e+00 	-9.11511192040290e-04	 1.23881002907775e-02	-2.79797868122349e-05		1.00007714535646e+00
3.09000000000000e+00    	-1.58621958499567e-04 	 -1.76349616967525e+00   -2.42706352489188e+00 	-7.51442064903494e-04	 1.35626754397785e-02	-3.19521781202575e-05		1.00009225167042e+00
3.12000000000000e+00    	-1.78320406340323e-04 	 -1.76307706133607e+00   -2.42706454963846e+00 	-5.56626479356657e-04	 1.43034872696583e-02	-3.64341726988266e-05		1.00010244520677e+00
3.15000000000000e+00    	-1.91732225865846e-04 	 -1.76264291760482e+00   -2.42706571297457e+00 	-3.33436435515284e-04	 1.45577570509358e-02	-4.11399758597374e-05		1.00010601496177e+00
3.18000000000000e+00    	-1.98111919768290e-04 	 -1.76220893043260e+00   -2.42706701667511e+00 	-8.89984356903904e-05	 1.42882667589350e-02	-4.57353431804249e-05		1.00010207707984e+00
3.21000000000000e+00    	-1.96933999162118e-04 	 -1.76179114549811e+00   -2.42706845233649e+00 	1.69195247326288e-04	 1.34756396189857e-02	-4.98840821015290e-05		1.00009080786626e+00
3.24000000000000e+00    	-1.87898986295893e-04 	 -1.76140590105037e+00   -2.42707000209278e+00 	4.33600524448449e-04	 1.21200450332590e-02	-5.33001863452550e-05		1.00007354046687e+00
3.27000000000000e+00    	-1.70931656101708e-04 	 -1.76106922523573e+00   -2.42707164088736e+00 	6.96824514480720e-04	 1.02422336347918e-02	-5.57981758013208e-05		1.00005269462547e+00
3.30000000000000e+00    	-1.46175133222188e-04 	 -1.76079621277876e+00   -2.42707334012782e+00 	9.51701873315172e-04	 7.88382949173306e-03	-5.73336784085171e-05		1.00003153139842e+00
3.33000000000000e+00    	-1.13984556696573e-04 	 -1.76060040385286e+00   -2.42707507231967e+00 	1.19125303549426e-03	 5.10683138490188e-03	-5.80269318538131e-05		1.00001375099431e+00
3.36000000000000e+00    	-7.49233789083163e-05 	 -1.76049318925328e+00   -2.42707681607930e+00 	1.40855767480799e-03	 1.99230323103247e-03	-5.81637275513612e-05		1.00000297834052e+00
3.39000000000000e+00    	-2.97640334110177e-05 	 -1.76048326641502e+00   -2.42707856080218e+00 	1.59659761610208e-03	 -1.36173547640087e-03	-5.81712101997843e-05		1.00000220341324e+00
3.42000000000000e+00    	2.05071368856120e-05 	 -1.76057617023972e+00   -2.42708031023689e+00 	1.74813664290760e-03	 -4.84317587585555e-03	-5.85695460756397e-05		1.00001325779445e+00
3.45000000000000e+00    	7.46828729709885e-05 	 -1.76077390098940e+00   -2.42708208430267e+00 	1.85570703410196e-03	 -8.32936659410491e-03	-5.99042966115550e-05		1.00003641212957e+00
3.48000000000000e+00    	1.31330047526741e-04 	 -1.76107466863674e+00   -2.42708391868777e+00 	1.91176256908227e-03	 -1.16912342168958e-02	-6.26678073068100e-05		1.00007016939857e+00
3.51000000000000e+00    	1.88792357891612e-04 	 -1.76147276911711e+00   -2.42708586205730e+00 	1.90903541275348e-03	 -1.47978429460523e-02	-6.72204675994446e-05		1.00011130635078e+00
3.54000000000000e+00    	2.45206888244789e-04 	 -1.76195860312139e+00   -2.42708797104728e+00 	1.84110205030350e-03	 -1.75212370605701e-02	-7.37238264416603e-05		1.00015518237926e+00
3.57000000000000e+00    	2.98540345133812e-04 	 -1.76251884271300e+00   -2.42709030357709e+00 	1.70312549126526e-03	 -1.97413945211498e-02	-8.20969498442409e-05		1.00019629575098e+00
3.60000000000000e+00    	3.46649215883013e-04 	 -1.76313674550397e+00   -2.42709291132153e+00 	1.49270284716900e-03	 -2.13511118690416e-02	-9.20050112247898e-05		1.00022902707568e+00
3.63000000000000e+00    	3.87365501044869e-04 	 -1.76379261070330e+00   -2.42709583239505e+00 	1.21071518740458e-03	 -2.22606390189382e-02	-1.02885113003533e-04		1.00024847536307e+00
3.66000000000000e+00    	4.18606290812076e-04 	 -1.76446436627899e+00   -2.42709908537329e+00 	8.62055991048274e-04	 -2.24018865356457e-02	-1.14009203918561e-04		1.00025126876150e+00
3.69000000000000e+00    	4.38501695068472e-04 	 -1.76512827183424e+00   -2.42710266568814e+00 	4.56109980429166e-04	 -2.17320362164816e-02	-1.24578340188052e-04		1.00023622457607e+00
3.72000000000000e+00    	4.45531998325968e-04 	 -1.76575971754490e+00   -2.42710654517927e+00 	6.86813239840333e-06	 -2.02363973137949e-02	-1.33837223855260e-04		1.00020474390787e+00
3.75000000000000e+00    	4.38661933870627e-04 	 -1.76633409552055e+00   -2.42711067518984e+00 	-4.67402711291026e-04	 -1.79303653633219e-02	-1.41193751634851e-04		1.00016085526431e+00
3.78000000000000e+00    	4.17458169853968e-04 	 -1.76682771614101e+00   -2.42711499309942e+00 	-9.44968515021718e-04	 -1.48603591886215e-02	-1.46325961680883e-04		1.00011086618034e+00
3.81000000000000e+00    	3.82175893147005e-04 	 -1.76721873830357e+00   -2.42711943165635e+00 	-1.40188821100910e-03	 -1.11036359464202e-02	-1.49258833727355e-04		1.00006263718828e+00
3.84000000000000e+00    	3.33802019356379e-04 	 -1.76748807930848e+00   -2.42712392997975e+00 	-1.81363522957537e-03	 -6.76691609929397e-03	-1.50396157533070e-04		1.00002455122124e+00
3.87000000000000e+00    	2.74046074313061e-04 	 -1.76762026772834e+00   -2.42712844472906e+00 	-2.15693213161982e-03	 -1.98379147746358e-03	-1.50498041810188e-04		1.00000430520799e+00
3.90000000000000e+00    	2.05274929654439e-04 	 -1.76760420161633e+00   -2.42713295975808e+00 	-2.41160643630750e-03	 3.08905976277565e-03	-1.50602070944273e-04		1.00000769037883e+00
