0.00000000000000e+00    	0.00000000000000e+00 	 2.85316954890000e+00  	-9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	4.62832788208176e-13 	 2.85316954890169e+00   -9.27050983120000e-01 	7.58996996269801e-11	 2.96635890721325e-10	5.94906524758330e-21		1.00000000000000e+00
6.00000000000000e-02    	1.35010810078927e-11 	 2.85316954896791e+00   -9.27050983120000e-01 	1.07760238851738e-09	 6.10075865866783e-09	2.02306674094660e-18		1.00000000000000e+00
9.00000000000000e-02    	9.09043631007952e-11 	 2.85316954951137e+00   -9.27050983120000e-01 	4.63750062261355e-09	 3.69805167507696e-08	6.28263497181519e-17		1.00000000000000e+00
1.20000000000000e-01    	3.28021595786120e-10 	 2.85316955183311e+00   -9.27050983120000e-01 	1.17430042729136e-08	 1.33256716237390e-07	7.07433622127023e-16		1.00000000000001e+00
1.50000000000000e-01    	8.17800563446002e-10 	 2.85316955877849e+00   -9.27050983120000e-01 	2.09373009157492e-08	 3.57312615118478e-07	4.46529043793795e-15		1.00000000000006e+00
1.80000000000000e-01    	1.55003481326957e-09 	 2.85316957534629e+00   -9.27050983120000e-01 	2.65147837409483e-08	 7.89064755006600e-07	1.91740895049667e-14		1.00000000000031e+00
2.10000000000000e-01    	2.26013103332833e-09 	 2.85316960907100e+00   -9.27050983119999e-01 	1.70103960114383e-08	 1.51539281585701e-06	6.19337094053309e-14		1.00000000000115e+00
2.40000000000000e-01    	2.24063539174217e-09 	 2.85316967000276e+00   -9.27050983119996e-01 	-2.57262036112595e-08	 2.61403615345544e-06	1.58936323734933e-13		1.00000000000342e+00
2.70000000000000e-01    	1.36996184635674e-10 	 2.85316977013552e+00   -9.27050983119988e-01 	-1.26618027565335e-07	 4.13316640236066e-06	3.32398691111049e-13		1.00000000000855e+00
3.00000000000000e-01    	-6.24425155075697e-09 	 2.85316992217985e+00   -9.27050983119975e-01 	-3.16420321762988e-07	 6.06847989324938e-06	5.64937379284774e-13		1.00000000001846e+00
3.30000000000000e-01    	-2.00822690399838e-08 	 2.85317013764023e+00   -9.27050983119955e-01 	-6.29650064498222e-07	 8.34016444442506e-06	7.38172998623438e-13		1.00000000003498e+00
3.60000000000000e-01    	-4.56095139877675e-08 	 2.85317042423290e+00   -9.27050983119934e-01 	-1.10138721017368e-06	 1.07724333266520e-05	5.58827469591168e-13		1.00000000005863e+00
3.90000000000000e-01    	-8.80677508603483e-08 	 2.85317078276344e+00   -9.27050983119930e-01 	-1.76306297807230e-06	 1.30784466246736e-05	-4.89370804925647e-13		1.00000000008708e+00
4.20000000000000e-01    	-1.53525248911343e-07 	 2.85317120366710e+00   -9.27050983119979e-01 	-2.63746497154505e-06	 1.48533323308786e-05	-3.10350707390425e-12		1.00000000011379e+00
4.50000000000000e-01    	-2.48536469217353e-07 	 2.85317166349136e+00   -9.27050983120139e-01 	-3.73329553353155e-06	 1.55776677219731e-05	-7.95061999701946e-12		1.00000000012830e+00
4.80000000000000e-01    	-3.79637037151289e-07 	 2.85317212166291e+00   -9.27050983120481e-01 	-5.03970982958525e-06	 1.46331944234304e-05	-1.52242142609275e-11		1.00000000011976e+00
5.10000000000000e-01    	-5.52680646013043e-07 	 2.85317251792299e+00   -9.27050983121068e-01 	-6.52132577465573e-06	 1.13317438702867e-05	-2.39604357423044e-11		1.00000000008547e+00
5.40000000000000e-01    	-7.72039903126436e-07 	 2.85317277083002e+00   -9.27050983121905e-01 	-8.11423239027904e-06	 4.95738578632930e-06	-3.12076082048086e-11		1.00000000004521e+00
5.70000000000000e-01    	-1.03970899639458e-06 	 2.85317277771323e+00   -9.27050983122870e-01 	-9.72352142135518e-06	 -5.17926264712028e-06	-3.12763307847192e-11		1.00000000006069e+00
6.00000000000000e-01    	-1.35436128784772e-06 	 2.85317241641206e+00   -9.27050983123623e-01 	-1.12228259037516e-05	 -1.96767471317701e-05	-1.54302563959901e-11		1.00000000025656e+00
6.30000000000000e-01    	-1.71042832901755e-06 	 2.85317154905446e+00   -9.27050983123524e-01 	-1.24562678500408e-05	 -3.89717714940130e-05	2.75395579138487e-11		1.00000000083698e+00
6.60000000000000e-01    	-2.09727714324779e-06 	 2.85317002801415e+00   -9.27050983121581e-01 	-1.32430966312477e-05	 -6.32657168829398e-05	1.09437951777965e-10		1.00000000208897e+00
6.90000000000000e-01    	-2.49856881091627e-06 	 2.85316770404741e+00   -9.27050983116476e-01 	-1.33851437728716e-05	 -9.24537088028369e-05	2.39246626766713e-10		1.00000000436343e+00
7.20000000000000e-01    	-2.89188245608099e-06 	 2.85316443645071e+00   -9.27050983106729e-01 	-1.26770351382488e-05	 -1.26061781009335e-04	4.18275565367355e-10		1.00000000802614e+00
7.50000000000000e-01    	-3.24868392941830e-06 	 2.85316010491005e+00   -9.27050983091002e-01 	-1.09188968606171e-05	 -1.63197891238085e-04	6.34497277958583e-10		1.00000001337639e+00
7.80000000000000e-01    	-3.53470738384054e-06 	 2.85315462254150e+00   -9.27050983068587e-01 	-7.93107847095671e-06	 -2.02522386622418e-04	8.57238560521590e-10		1.00000002053911e+00
8.10000000000000e-01    	-3.71080049877804e-06 	 2.85314794946193e+00   -9.27050983040021e-01 	-3.57020925089449e-06	 -2.42242972083699e-04	1.03389131258918e-09		1.00000002934720e+00
8.40000000000000e-01    	-3.73426071999373e-06 	 2.85314010609019e+00   -9.27050983007748e-01 	2.25428266015400e-06	 -2.80138300781224e-04	1.09054276237097e-09		1.00000003924127e+00
8.70000000000000e-01    	-3.56066141252267e-06 	 2.85313118527407e+00   -9.27050982976677e-01 	9.56420838278591e-06	 -3.13613003641990e-04	9.38245311509083e-10		1.00000004922229e+00
9.00000000000000e-01    	-3.14613461941081e-06 	 2.85312136227769e+00   -9.27050982954459e-01 	1.82983307275585e-05	 -3.39785351095403e-04	4.85926034010212e-10		1.00000005789446e+00
9.30000000000000e-01    	-2.45004295563531e-06 	 2.85311090165557e+00   -9.27050982951275e-01 	2.83008995685222e-05	 -3.55606863696543e-04	-3.40345426503020e-10		1.00000006362859e+00
9.60000000000000e-01    	-1.43793916249320e-06 	 2.85310016009055e+00   -9.27050982978973e-01 	3.93141155188733e-05	 -3.58011149371598e-04	-1.57373539088540e-09		1.00000006485879e+00
9.90000000000000e-01    	-8.46803200634820e-08 	 2.85308958438584e+00   -9.27050983049481e-01 	5.09755053353045e-05	 -3.44087150479039e-04	-3.18256718605910e-09		1.00000006049723e+00
1.02000000000000e+00    	1.62246299869852e-06 	 2.85307970397672e+00   -9.27050983172557e-01 	6.28209945080022e-05	 -3.11269952438332e-04	-5.05132842931165e-09		1.00000005041773e+00
1.05000000000000e+00    	3.68088209285203e-06 	 2.85307111756110e+00   -9.27050983353120e-01 	7.42941979050879e-05	 -2.57540461682193e-04	-6.97322372447026e-09		1.00000003592336e+00
1.08000000000000e+00    	6.07008047470636e-06 	 2.85306447373293e+00   -9.27050983588621e-01 	8.47621337813648e-05	 -1.81623727356449e-04	-8.66044500986379e-09		1.00000002008590e+00
