0.00000000000000e+00    	0.00000000000000e+00 	 5.30330085890000e+00  	5.30330085890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-3.71491184571243e-13 	 5.30330085890051e+00   5.30330085890000e+00 	-6.16982028781230e-11	 1.02622197724731e-10	2.80839793387163e-21		1.00000000000000e+00
6.00000000000000e-02    	-1.15793454019879e-11 	 5.30330085893255e+00   5.30330085890000e+00 	-9.51388324511526e-10	 3.23990985467126e-09	1.35890761120783e-18		1.00000000000000e+00
9.00000000000000e-02    	-8.41183596314061e-11 	 5.30330085926460e+00   5.30330085890000e+00 	-4.52248910424383e-09	 2.40652647155096e-08	4.74430371879042e-17		1.00000000000000e+00
1.20000000000000e-01    	-3.32556360483347e-10 	 5.30330086090173e+00   5.30330085890000e+00 	-1.30331566426365e-08	 9.83239628868635e-08	5.48422262881424e-16		1.00000000000000e+00
1.50000000000000e-01    	-9.31531053651911e-10 	 5.30330086631205e+00   5.30330085890000e+00 	-2.80166509292167e-08	 2.88292854862220e-07	3.35590072166490e-15		1.00000000000004e+00
1.80000000000000e-01    	-2.07387934985735e-09 	 5.30330088023696e+00   5.30330085890000e+00 	-4.89150331207789e-08	 6.82722212337193e-07	1.32070220744518e-14		1.00000000000023e+00
2.10000000000000e-01    	-3.88654610875305e-09 	 5.30330091040519e+00   5.30330085890000e+00 	-7.16646359581606e-08	 1.39038998823871e-06	3.59870532666272e-14		1.00000000000097e+00
2.40000000000000e-01    	-6.30596154158685e-09 	 5.30330096795430e+00   5.30330085890000e+00 	-8.74446458580924e-08	 2.52706788181665e-06	6.50127275862455e-14		1.00000000000320e+00
2.70000000000000e-01    	-8.92102172655743e-09 	 5.30330106736814e+00   5.30330085890000e+00 	-8.18037973771119e-08	 4.19644772735847e-06	4.20783674506687e-14		1.00000000000881e+00
3.00000000000000e-01    	-1.07980576137176e-08 	 5.30330122576695e+00   5.30330085890000e+00 	-3.43635011384039e-08	 6.46632530616952e-06	-2.18539319591969e-13		1.00000000002091e+00
