0.00000000000000e+00    	0.00000000000000e+00 	 3.53553390590000e-01  	3.53553390590000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
8.40000000000000e-01    	-3.85157170493458e-06 	 3.53472513300659e-01   3.53553390835101e-01 	-9.77193713890438e-06	 -1.14409486324450e-03	3.99515464573162e-09		1.00000065452406e+00
8.70000000000000e-01    	-4.08856643059155e-06 	 3.53435071517052e-01   3.53553391018761e-01 	-5.80837227549446e-06	 -1.35057406772873e-03	8.64393032806452e-09		1.00000091204161e+00
9.00000000000000e-01    	-4.18670661126050e-06 	 3.53391629520485e-01   3.53553391380255e-01 	-5.10471028069776e-07	 -1.54194033588495e-03	1.59391422071798e-08		1.00000118878942e+00
9.30000000000000e-01    	-4.10593070184023e-06 	 3.53342843363575e-01   3.53553392005887e-01 	6.11113602115268e-06	 -1.70445423696706e-03	2.63017208368541e-08		1.00000145259974e+00
9.60000000000000e-01    	-3.80768156876961e-06 	 3.53289799033772e-01   3.53553392990267e-01 	1.39656692345686e-05	 -1.82329161582207e-03	3.98404345144494e-08		1.00000166229230e+00
9.90000000000000e-01    	-3.25738138672992e-06 	 3.53234035381790e-01   3.53553394424896e-01 	2.28785346914365e-05	 -1.88320732334859e-03	5.62200523660833e-08		1.00000177349505e+00
1.02000000000000e+00    	-2.42692037439863e-06 	 3.53177545185927e-01   3.53553396383453e-01 	3.25941410844772e-05	 -1.86932516735161e-03	7.45808429508153e-08		1.00000174771796e+00
1.05000000000000e+00    	-1.29696283481463e-06 	 3.53122750974376e-01   3.53553398905944e-01 	4.27851769026718e-05	 -1.76802530570697e-03	9.35488915356842e-08		1.00000156387081e+00
1.08000000000000e+00    	1.41110362324987e-07 	 3.53072453227857e-01   3.53553401984952e-01 	5.30673155985584e-05	 -1.56789130241855e-03	1.11370277145658e-07		1.00000123054889e+00
1.11000000000000e+00    	1.88375782160933e-06 	 3.53029749837603e-01   3.53553405557998e-01 	6.30173453180739e-05	 -1.26067129313966e-03	1.26185792010265e-07		1.00000079663134e+00
