0.00000000000000e+00    	0.00000000000000e+00 	 1.06066017180000e+00  	1.06066017180000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	9.62722741459607e-13 	 1.06066017180138e+00   1.06066017180000e+00 	1.59891446940326e-10	 2.74786051506891e-10	-1.94878862337056e-20		1.00000000000000e+00
6.00000000000000e-02    	3.00079778734534e-11 	 1.06066017188714e+00   1.06066017180000e+00 	2.46553143669081e-09	 8.67533587322806e-09	-9.42965970608583e-18		1.00000000000000e+00
9.00000000000000e-02    	2.17993507373003e-10 	 1.06066017277626e+00   1.06066017180000e+00 	1.17200739095186e-08	 6.44382902164327e-08	-3.29214205647206e-16		1.00000000000000e+00
1.20000000000000e-01    	8.61823315754259e-10 	 1.06066017715992e+00   1.06066017180000e+00 	3.37755893310672e-08	 2.63276881399052e-07	-3.80558253219723e-15		1.00000000000004e+00
1.50000000000000e-01    	2.41407679158641e-09 	 1.06066019164686e+00   1.06066017180000e+00 	7.26058069788339e-08	 7.71946499428395e-07	-2.32870860654978e-14		1.00000000000030e+00
1.80000000000000e-01    	5.37451605586609e-09 	 1.06066022893285e+00   1.06066017180000e+00 	1.26766021138715e-07	 1.82808890491651e-06	-9.16454517446760e-14		1.00000000000168e+00
2.10000000000000e-01    	1.00722124363834e-08 	 1.06066030971271e+00   1.06066017179999e+00 	1.85728988052434e-07	 3.72297270841700e-06	-2.49719399138798e-13		1.00000000000695e+00
2.40000000000000e-01    	1.63427043321615e-08 	 1.06066046380885e+00   1.06066017179998e+00 	2.26644786877559e-07	 6.76659303209996e-06	-4.51132854093682e-13		1.00000000002292e+00
2.70000000000000e-01    	2.31213000898621e-08 	 1.06066073000389e+00   1.06066017179997e+00 	2.12081325480571e-07	 1.12365992247855e-05	-2.91988748417690e-13		1.00000000006315e+00
3.00000000000000e-01    	2.79898046213336e-08 	 1.06066115413971e+00   1.06066017179998e+00 	8.92575838803756e-08	 1.73145239232286e-05	1.51647181224893e-12		1.00000000014990e+00
3.30000000000000e-01    	2.67279883829101e-08 	 1.06066178517702e+00   1.06066017180011e+00 	-2.08814812596996e-07	 2.50146224380689e-05	7.92644318879071e-12		1.00000000031289e+00
3.60000000000000e-01    	1.29315491135013e-08 	 1.06066266909301e+00   1.06066017180056e+00 	-7.60008854424352e-07	 3.41121376575964e-05	2.43982522444751e-11		1.00000000058211e+00
3.90000000000000e-01    	-2.22361132939701e-08 	 1.06066384071555e+00   1.06066017180175e+00 	-1.64748490244122e-06	 4.40788394382732e-05	5.93874136974933e-11		1.00000000097283e+00
4.20000000000000e-01    	-9.00912006921152e-08 	 1.06066531383640e+00   1.06066017180442e+00 	-2.95192930286633e-06	 5.40341339924488e-05	1.23842413590549e-10		1.00000000146420e+00
4.50000000000000e-01    	-2.04215299523974e-07 	 1.06066707019298e+00   1.06066017180959e+00 	-4.74195277059107e-06	 6.27198203175206e-05	2.29041603833664e-10		1.00000000197813e+00
4.80000000000000e-01    	-3.79931917404058e-07 	 1.06066904813871e+00   1.06066017181864e+00 	-7.06318084859777e-06	 6.85056531964789e-05	3.82371277472121e-10		1.00000000237146e+00
5.10000000000000e-01    	-6.33444915672567e-07 	 1.06067113201445e+00   1.06066017183300e+00 	-9.92675755386163e-06	 6.94312695460950e-05	5.81328229848791e-10		1.00000000245962e+00
5.40000000000000e-01    	-9.80634050917975e-07 	 1.06067314336783e+00   1.06066017185380e+00 	-1.32981393355872e-05	 6.32878097719994e-05	8.07093321230669e-10		1.00000000209109e+00
5.70000000000000e-01    	-1.43553095040799e-06 	 1.06067483522806e+00   1.06066017188131e+00 	-1.70871680561950e-05	 4.77398284404530e-05	1.02027178913252e-09		1.00000000128553e+00
6.00000000000000e-01    	-2.00852950985604e-06 	 1.06067589061497e+00   1.06066017191431e+00 	-2.11404686176441e-05	 2.04849915811240e-05	1.16245618619965e-09		1.00000000043328e+00
6.30000000000000e-01    	-2.70441613685297e-06 	 1.06067592633783e+00   1.06066017194968e+00 	-2.52372099123024e-05	 -2.05542112374420e-05	1.16763722645330e-09		1.00000000052970e+00
6.60000000000000e-01    	-3.52033542697338e-06 	 1.06067450291712e+00   1.06066017198249e+00 	-2.90891886592067e-05	 -7.70157408975899e-05	9.86657414491231e-10		1.00000000338880e+00
6.90000000000000e-01    	-4.44383347610682e-06 	 1.06067114114710e+00   1.06066017200704e+00 	-3.23460372790702e-05	 -1.49872233036021e-04	6.25525349788096e-10		1.00000001175398e+00
7.20000000000000e-01    	-5.45114164416788e-06 	 1.06066534541947e+00   1.06066017201927e+00 	-3.46061145292599e-05	 -2.39208609584260e-04	1.94484334547704e-10		1.00000002920917e+00
