0.00000000000000e+00    	0.00000000000000e+00 	 -5.51091059620000e-16  	-3.00000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-1.90070495533856e-12 	 3.58268943751009e-11   -3.00000000000000e+00 	-3.15673916112977e-10	 5.95031346937820e-09	4.44693075971383e-20		1.00000000000000e+00
6.00000000000000e-02    	-5.92447687533595e-11 	 1.11673757071378e-09   -3.00000000000000e+00 	-4.86769829959081e-09	 9.17540308774578e-08	2.17540058684980e-17		1.00000000000000e+00
9.00000000000000e-02    	-4.30383899027670e-10 	 8.11256357537057e-09   -3.00000000000000e+00 	-2.31388612692280e-08	 4.36159057501967e-07	7.74885813308940e-16		1.00000000000010e+00
1.20000000000000e-01    	-1.70148698086829e-09 	 3.20724890161346e-08   -3.00000000000000e+00 	-6.66823422883334e-08	 1.25694747353072e-06	9.25252769013547e-15		1.00000000000079e+00
1.50000000000000e-01    	-4.76603779462154e-09 	 8.98390119361499e-08   -3.00000000000000e+00 	-1.43341527335654e-07	 2.70199314803673e-06	5.95897003412391e-14		1.00000000000366e+00
1.80000000000000e-01    	-1.06105821619952e-08 	 2.00009999248616e-07   -3.00000000000000e+00 	-2.50259947075048e-07	 4.71749926232009e-06	2.54818763603408e-13		1.00000000001116e+00
2.10000000000000e-01    	-1.98845131884365e-08 	 3.74829228042069e-07   -2.99999999999998e+00 	-3.66647490983235e-07	 6.91159410135003e-06	8.03465000372546e-13		1.00000000002395e+00
2.40000000000000e-01    	-3.22626408772606e-08 	 6.08168661140371e-07   -2.99999999999994e+00 	-4.47384382651890e-07	 8.43366987007194e-06	1.96869765519851e-12		1.00000000003566e+00
2.70000000000000e-01    	-4.56421889415213e-08 	 8.60387285659395e-07   -2.99999999999986e+00 	-4.18556550525538e-07	 7.89019520785390e-06	3.80229179190772e-12		1.00000000003122e+00
3.00000000000000e-01    	-5.52474919366710e-08 	 1.04145388259086e-06   -2.99999999999971e+00 	-1.75919443085572e-07	 3.31611082611504e-06	5.56477483524356e-12		1.00000000000551e+00
3.30000000000000e-01    	-5.27428252448890e-08 	 9.94245781082826e-07   -2.99999999999955e+00 	4.12912176585620e-07	 -7.78263271900250e-06	4.90244147665138e-12		1.00000000003037e+00
3.60000000000000e-01    	-2.54736339155257e-08 	 4.80327004789697e-07   -2.99999999999949e+00 	1.50203604582561e-06	 -2.83051320583421e-05	-2.81405954528167e-12		1.00000000040172e+00
3.90000000000000e-01    	4.40332561900326e-08 	 -8.29280638000690e-07   -2.99999999999985e+00 	3.25642777592745e-06	 -6.13466403430189e-05	-2.41455959891618e-11		1.00000000188701e+00
4.20000000000000e-01    	1.78180382608421e-07 	 -3.35582742828732e-06   -3.00000000000114e+00 	5.83690485646748e-06	 -1.09908890538440e-04	-6.50110169559487e-11		1.00000000605702e+00
4.50000000000000e-01    	4.03903069135086e-07 	 -7.60480721644591e-06   -3.00000000000395e+00 	9.38146803674997e-06	 -1.76541946353871e-04	-1.24589645837895e-10		1.00000001562754e+00
4.80000000000000e-01    	7.51669989952637e-07 	 -1.41464017326940e-05   -3.00000000000863e+00 	1.39839529573058e-05	 -2.62937896002284e-04	-1.84909073355435e-10		1.00000003466594e+00
5.10000000000000e-01    	1.25381828286325e-06 	 -2.35833495296258e-05   -3.00000000001457e+00 	1.96712506285735e-05	 -3.69503931374432e-04	-1.96576407651910e-10		1.00000006846005e+00
5.40000000000000e-01    	1.94220291493333e-06 	 -3.65061094971521e-05   -3.00000000001900e+00 	2.63806536613461e-05	 -4.94948200014830e-04	-6.30578437844294e-11		1.00000012283482e+00
5.70000000000000e-01    	2.84519089513880e-06 	 -5.34362546474987e-05   -3.00000000001536e+00 	3.39391603094107e-05	 -6.35915727561299e-04	3.71801546475544e-10		1.00000020277032e+00
6.00000000000000e-01    	3.98408970840345e-06 	 -7.47601800854976e-05   -2.99999999999151e+00 	4.20468173067075e-05	 -7.86713228351929e-04	1.32638192757695e-09		1.00000031034277e+00
6.30000000000000e-01    	5.36916495407969e-06 	 -1.00656362809843e-04   -2.99999999992793e+00 	5.02663829610938e-05	 -9.39160427865314e-04	3.06669285895248e-09		1.00000044227441e+00
6.60000000000000e-01    	6.99547247966019e-06 	 -1.31020485904493e-04   -2.99999999979687e+00 	5.80216940009902e-05	 -1.08260144959230e-03	5.86874721541313e-09		1.00000058769604e+00
6.90000000000000e-01    	8.83880123481115e-06 	 -1.65393649226562e-04   -2.99999999956290e+00 	6.46070444778880e-05	 -1.20410288903652e-03	9.95637912373766e-09		1.00000072701865e+00
7.20000000000000e-01    	1.08520878767088e-05 	 -2.02899549739855e-04   -2.99999999918565e+00 	6.92095352464372e-05	 -1.28885561774075e-03	1.54200958696318e-08		1.00000083296903e+00
7.50000000000000e-01    	1.29627131490626e-05 	 -2.42196853209348e-04   -2.99999999862512e+00 	7.09456346147209e-05	 -1.32078552785390e-03	2.21315906801434e-08		1.00000087475346e+00
7.80000000000000e-01    	1.50711111952253e-05 	 -2.81452935746748e-04   -2.99999999784931e+00 	6.89120469410440e-05	 -1.28336491369528e-03	2.96776371604388e-08		1.00000082588685e+00
8.10000000000000e-01    	1.70511034656318e-05 	 -3.18344708855648e-04   -2.99999999684318e+00 	6.22494296709603e-05	 -1.16060170881460e-03	3.73435741443662e-08		1.00000067543543e+00
8.40000000000000e-01    	1.87522978100978e-05 	 -3.50091338641815e-04   -2.99999999561699e+00 	5.02156444752817e-05	 -9.38169182874853e-04	4.41774800612791e-08		1.00000044134142e+00
8.70000000000000e-01    	2.00047648819131e-05 	 -3.73522338021644e-04   -2.99999999421113e+00 	3.22633020054588e-05	 -6.04624845440853e-04	4.91588316720539e-08		1.00000018330605e+00
9.00000000000000e-01    	2.06260206777854e-05 	 -3.85182786276762e-04   -2.99999999269427e+00 	8.11469012089052e-06	 -1.52655113539319e-04	5.14785985359821e-08		1.00000001168472e+00
9.30000000000000e-01    	2.04301192700018e-05 	 -3.81475375941949e-04   -2.99999999115161e+00 	-2.21738525960915e-05	 4.19727345322260e-04	5.09120509960578e-08		1.00000008833136e+00
9.60000000000000e-01    	1.92384184604942e-05 	 -3.58836690527729e-04   -2.99999998966112e+00 	-5.81660720169858e-05	 1.10811298411753e-03	4.82343366624730e-08		1.00000061564865e+00
9.90000000000000e-01    	1.68913578883091e-05 	 -3.13942687962457e-04   -2.99999998825769e+00 	-9.90251346382483e-05	 1.90083313119433e-03	4.55979777284436e-08		1.00000181148465e+00
1.02000000000000e+00    	1.32604239763132e-05 	 -2.43935932351341e-04   -2.99999998688773e+00 	-1.43522250848931e-04	 2.77838554500567e-03	4.67686817443943e-08		1.00000387000495e+00
1.05000000000000e+00    	8.25940708338730e-06 	 -1.46664822703377e-04   -2.99999998536030e+00 	-1.90074924296714e-04	 3.71322008250977e-03	5.71096995851080e-08		1.00000691204204e+00
1.08000000000000e+00    	1.85411087051889e-06 	 -2.09230609531210e-05   -2.99999998330363e+00 	-2.36810781685065e-04	 4.66994476777239e-03	8.32226252035944e-08		1.00001093217199e+00
1.11000000000000e+00    	-5.93013950679300e-06 	 1.33323968434088e-04   -2.99999998013819e+00 	-2.81648684889674e-04	 5.60599578584039e-03	1.32197859881708e-07		1.00001575313329e+00
1.14000000000000e+00    	-1.50035428105095e-05 	 3.14740230169525e-04   -2.99999997507797e+00 	-3.22385639019937e-04	 6.47279391370390e-03	2.10499486341591e-07		1.00002100027629e+00
1.17000000000000e+00    	-2.52094039167399e-05 	 5.20462106450170e-04   -2.99999996716938e+00 	-3.56776810670317e-04	 7.21738541538423e-03	3.22598977067852e-07		1.00002610863019e+00
1.20000000000000e+00    	-3.63238696621575e-05 	 7.45997649855183e-04   -2.99999995537234e+00 	-3.82597465908486e-04	 7.78453853201484e-03	4.69565343278452e-07		1.00003037224936e+00
1.23000000000000e+00    	-4.80571583629398e-05 	 9.85194864520416e-04   -2.99999993868092e+00 	-3.97680099070741e-04	 8.11923868297948e-03	6.47896230217672e-07		1.00003303954753e+00
1.26000000000000e+00    	-6.00555216654792e-05 	 1.23028972531879e-03   -2.99999991627131e+00 	-3.99927117831893e-04	 8.16949781175559e-03	8.48913232789196e-07		1.00003344975902e+00
1.29000000000000e+00    	-7.19033172698809e-05 	 1.47204172345763e-03   -2.99999988765562e+00 	-3.87308162296053e-04	 7.88936747867610e-03	1.05902578570281e-06		1.00003119557739e+00
1.32000000000000e+00    	-8.31249776295274e-05 	 1.69996110152791e-03   -2.99999985281189e+00 	-3.57859825079701e-04	 7.24202281888368e-03	1.26107906391153e-06		1.00002628713437e+00
1.35000000000000e+00    	-9.31873019253976e-05 	 1.90262772935826e-03   -2.99999981225648e+00 	-3.09712144311507e-04	 6.20276675123658e-03	1.43684193681677e-06		1.00001928493357e+00
1.38000000000000e+00    	-1.01503281112889e-04 	 2.06809692028989e-03   -2.99999976702643e+00 	-2.41168625511126e-04	 4.76179211327034e-03	1.57047563146849e-06		1.00001136634985e+00
1.41000000000000e+00    	-1.07439433197402e-04 	 2.18438256814846e-03   -2.99999971854779e+00 	-1.50862941965512e-04	 2.92653482963085e-03	1.65258243890595e-06		1.00000429367502e+00
1.44000000000000e+00    	-1.10329180674344e-04 	 2.24000299978800e-03   -2.99999966838136e+00 	-3.80049351931070e-05	 7.23454755812812e-04	1.68420963354190e-06		1.00000026241696e+00
1.47000000000000e+00    	-1.09494936564496e-04 	 2.22457012378815e-03   -2.99999961785857e+00 	9.72885964574335e-05	 -1.80090676994313e-03	1.68002694678263e-06		1.00000162636522e+00
1.50000000000000e+00    	-1.04281103871171e-04 	 2.12939809055014e-03   -2.99999956764481e+00 	2.53604760251976e-04	 -4.57972193922739e-03	1.66985487206905e-06		1.00001051903028e+00
1.53000000000000e+00    	-9.40990380122706e-05 	 1.94810407714115e-03   -2.99999951729068e+00 	4.27836940913669e-04	 -7.52662235724921e-03	1.69783193345759e-06		1.00002841614198e+00
