0.00000000000000e+00    	0.00000000000000e+00 	 2.85316954890000e+00  	-9.27050983120000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-7.13685135839499e-13 	 2.85316954891538e+00   -9.27050983120000e-01 	-1.20242458585138e-10	 2.69865257255278e-09	1.51797861727400e-19		1.00000000000000e+00
6.00000000000000e-02    	-2.38806568670521e-11 	 2.85316954951779e+00   -9.27050983120000e-01 	-2.01807516844084e-09	 5.55018074568370e-08	6.84309435268919e-17		1.00000000000000e+00
9.00000000000000e-02    	-1.86158576687373e-10 	 2.85316955446198e+00   -9.27050983120000e-01 	-1.04499435816203e-08	 3.36431197853120e-07	2.61290007289321e-15		1.00000000000006e+00
1.20000000000000e-01    	-7.91378158755876e-10 	 2.85316957558407e+00   -9.27050983120000e-01 	-3.29800968367018e-08	 1.21230642250011e-06	3.48553396537099e-14		1.00000000000074e+00
1.50000000000000e-01    	-2.39521437238251e-09 	 2.85316963876977e+00   -9.27050983119996e-01 	-7.85007966496196e-08	 3.25066094227170e-06	2.55920690115908e-13		1.00000000000529e+00
1.80000000000000e-01    	-5.81045328180291e-09 	 2.85316978949580e+00   -9.27050983119977e-01 	-1.54782559718296e-07	 7.17853809328624e-06	1.27033135318967e-12		1.00000000002578e+00
2.10000000000000e-01    	-1.20271478279186e-08 	 2.85317009630732e+00   -9.27050983119896e-01 	-2.65300922934150e-07	 1.37863292413359e-05	4.76056965110586e-12		1.00000000009507e+00
2.40000000000000e-01    	-2.20310896170893e-08 	 2.85317065063581e+00   -9.27050983119631e-01 	-4.05698803291815e-07	 2.37812723132899e-05	1.43825432859466e-11		1.00000000028286e+00
2.70000000000000e-01    	-3.65161838104882e-08 	 2.85317156159670e+00   -9.27050983118909e-01 	-5.60331017942239e-07	 3.76016127606835e-05	3.65125753118482e-11		1.00000000070710e+00
3.00000000000000e-01    	-5.55005915727184e-08 	 2.85317294482495e+00   -9.27050983117226e-01 	-6.99389344107139e-07	 5.52082002928167e-05	8.00092691207675e-11		1.00000000152422e+00
3.30000000000000e-01    	-7.78716611698894e-08 	 2.85317490498326e+00   -9.27050983113802e-01 	-7.77111476913142e-07	 7.58749423822472e-05	1.53938328569248e-10		1.00000000287881e+00
3.60000000000000e-01    	-1.00899146974701e-07 	 2.85317751227050e+00   -9.27050983107639e-01 	-7.31525719200323e-07	 9.80026137183505e-05	2.62576596643369e-10		1.00000000480252e+00
3.90000000000000e-01    	-1.19768233550801e-07 	 2.85318077401576e+00   -9.27050983097770e-01 	-4.86070629419375e-07	 1.18981681321841e-04	3.98267480623194e-10		1.00000000707844e+00
4.20000000000000e-01    	-1.27191649301991e-07 	 2.85318460320392e+00   -9.27050983083726e-01 	4.67401625224497e-08	 1.35128824539316e-04	5.34866049635090e-10		1.00000000912990e+00
4.50000000000000e-01    	-1.13162201488842e-07 	 2.85318878647630e+00   -9.27050983066119e-01 	9.59646131248636e-07	 1.41718628748155e-04	6.27146081479509e-10		1.00000001004255e+00
4.80000000000000e-01    	-6.49026276723317e-08 	 2.85319295471992e+00   -9.27050983047063e-01 	2.34321722422044e-06	 1.33126588207074e-04	6.23677328072654e-10		1.00000000886409e+00
5.10000000000000e-01    	3.29409902684156e-08 	 2.85319655973766e+00   -9.27050983029919e-01 	4.27712600692511e-06	 1.03092301490584e-04	5.00972546607088e-10		1.00000000532316e+00
5.40000000000000e-01    	1.97831413648925e-07 	 2.85319886063058e+00   -9.27050983017607e-01 	6.82068236556469e-06	 4.51029661684372e-05	3.23791424509466e-10		1.00000000104040e+00
5.70000000000000e-01    	4.48584904665550e-07 	 2.85319892338118e+00   -9.27050983008752e-01 	1.00032263975011e-05	 -4.71125067586580e-05	3.29542842047237e-10		1.00000000115983e+00
6.00000000000000e-01    	8.04332261207226e-07 	 2.85319563668395e+00   -9.27050982991065e-01 	1.38149046690191e-05	 -1.78998613556069e-04	1.02402819380695e-09		1.00000001611568e+00
6.30000000000000e-01    	1.28321388705146e-06 	 2.85318774632394e+00   -9.27050982931995e-01 	1.81982136908648e-05	 -3.54527342929270e-04	3.26313197426952e-09		1.00000006301040e+00
6.60000000000000e-01    	1.90083571195616e-06 	 2.85317390937627e+00   -9.27050982767573e-01 	2.30405416081696e-05	 -5.75529808864350e-04	8.28390602549082e-09		1.00000016588270e+00
6.90000000000000e-01    	2.66851818055819e-06 	 2.85315276822957e+00   -9.27050982391623e-01 	2.81678562188540e-05	 -8.41051142753423e-04	1.76433736817766e-08		1.00000035408016e+00
7.20000000000000e-01    	3.59137555786879e-06 	 2.85312304298707e+00   -9.27050981648647e-01 	3.33397577338842e-05	 -1.14677911502685e-03	3.30290067348859e-08		1.00000065810672e+00
7.50000000000000e-01    	4.66627300351412e-06 	 2.85308363924906e+00   -9.27050980334566e-01 	3.82463949563087e-05	 -1.48459880543291e-03	5.59246184003328e-08		1.00000110274759e+00
7.80000000000000e-01    	5.87973072747033e-06 	 2.85303376672351e+00   -9.27050978209479e-01 	4.25082344462902e-05	 -1.84232418526419e-03	8.71499226025007e-08		1.00000169798124e+00
8.10000000000000e-01    	7.20588341351164e-06 	 2.85297306265151e+00   -9.27050975025394e-01 	4.56802955460695e-05	 -2.20365249785924e-03	1.26337636273005e-07		1.00000242908257e+00
8.40000000000000e-01    	8.60466069780745e-06 	 2.85290171277601e+00   -9.27050970569231e-01 	4.72630559643963e-05	 -2.54837881329663e-03	1.71460464871908e-07		1.00000324822893e+00
