0.00000000000000e+00    	0.00000000000000e+00 	 -1.54508497190000e+00  	-4.75528258150000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	5.31650622514964e-13 	 -1.54508497190000e+00   -4.75528258150000e+00 	9.33124818292586e-11	 -1.16695379804009e-19	1.74575959148324e-29		1.00000000000000e+00
6.00000000000000e-02    	2.13615624216785e-11 	 -1.54508497190000e+00   -4.75528258150000e+00 	1.91911009251567e-09	 -1.70155892098861e-18	5.38262903973477e-27		1.00000000000000e+00
9.00000000000000e-02    	1.92319136149756e-10 	 -1.54508497190000e+00   -4.75528258150000e+00 	1.16329274666516e-08	 -7.57678649880327e-18	1.49313994674966e-25		1.00000000000000e+00
1.20000000000000e-01    	9.22666587059738e-10 	 -1.54508497190000e+00   -4.75528258150000e+00 	4.19184437978081e-08	 -2.01242024944610e-17	1.47920031120537e-24		1.00000000000000e+00
1.50000000000000e-01    	3.10746588413958e-09 	 -1.54508497190000e+00   -4.75528258150000e+00 	1.12399502959426e-07	 -3.87164966711929e-17	8.03551642543992e-24		1.00000000000001e+00
1.80000000000000e-01    	8.31918430647441e-09 	 -1.54508497190000e+00   -4.75528258150000e+00 	2.48215374220069e-07	 -5.70023766307766e-17	2.86198898765096e-23		1.00000000000003e+00
2.10000000000000e-01    	1.89279361684714e-08 	 -1.54508497190000e+00   -4.75528258150000e+00 	4.76695704206014e-07	 -6.04732143139685e-17	7.14967710838254e-23		1.00000000000011e+00
2.40000000000000e-01    	3.80951832665741e-08 	 -1.54508497190000e+00   -4.75528258150000e+00 	8.22294855343594e-07	 -2.47435855714805e-17	1.20519154056534e-22		1.00000000000034e+00
2.70000000000000e-01    	6.95938484533514e-08 	 -1.54508497190000e+00   -4.75528258150000e+00 	1.30016607486614e-06	 8.50590152325035e-17	8.39914886397745e-23		1.00000000000085e+00
3.00000000000000e-01    	1.17422279364377e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	1.90895550373716e-06	 3.13477687898776e-16	-2.74149579956707e-22		1.00000000000182e+00
3.30000000000000e-01    	1.85199427837477e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	2.62355673301848e-06	 7.12279045698051e-16	-1.37444282249392e-21		1.00000000000344e+00
3.60000000000000e-01    	2.75352580411074e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	3.38867301802042e-06	 1.33631424122368e-15	-3.73874760752614e-21		1.00000000000574e+00
3.90000000000000e-01    	3.88135167244325e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	4.11407432695735e-06	 2.23778826031891e-15	-7.64993743263740e-21		1.00000000000846e+00
4.20000000000000e-01    	5.20538473271870e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	4.67240241787592e-06	 3.45920638488308e-15	-1.24203435526121e-20		1.00000000001092e+00
4.50000000000000e-01    	6.65185201278590e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	4.90026640766477e-06	 5.02542994938850e-15	-1.52049303036077e-20		1.00000000001201e+00
4.80000000000000e-01    	8.09312516253282e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	4.60318652178794e-06	 6.93541813013145e-15	-9.45319355707752e-21		1.00000000001059e+00
5.10000000000000e-01    	9.33965321348154e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	3.56469304359591e-06	 9.15434598890958e-15	1.66715851843205e-20		1.00000000000635e+00
5.40000000000000e-01    	1.01352528848765e-06 	 -1.54508497190000e+00   -4.75528258150000e+00 	1.55958421937455e-06	 1.16068602616795e-14	8.13166996840416e-20		1.00000000000122e+00
5.70000000000000e-01    	1.01569627036728e-06 	 -1.54508497190000e+00   -4.75528258150000e+00 	-1.62899116294003e-06	 1.41722545977185e-14	2.08623060930300e-19		1.00000000000133e+00
6.00000000000000e-01    	9.02051425310057e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	-6.18931222721733e-06	 1.66823092047393e-14	4.26264971697325e-19		1.00000000001915e+00
6.30000000000000e-01    	6.29221642806956e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	-1.22587522480366e-05	 1.89224436836701e-14	7.60314570258759e-19		1.00000000007514e+00
6.60000000000000e-01    	1.50769347364124e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	-1.99006653584432e-05	 2.06366775714833e-14	1.22751626463549e-18		1.00000000019802e+00
6.90000000000000e-01    	-5.80252098525329e-07 	 -1.54508497190000e+00   -4.75528258150000e+00 	-2.90820730097003e-05	 2.15366859774347e-14	1.82599294187331e-18		1.00000000042288e+00
7.20000000000000e-01    	-1.60810325568544e-06 	 -1.54508497190000e+00   -4.75528258150000e+00 	-3.96538945875751e-05	 2.13149867093129e-14	2.52651491866859e-18		1.00000000078622e+00
7.50000000000000e-01    	-2.97063117487649e-06 	 -1.54508497190000e+00   -4.75528258150000e+00 	-5.13355316317218e-05	 1.96620129076938e-14	3.26747754619892e-18		1.00000000131767e+00
7.80000000000000e-01    	-4.69516695903703e-06 	 -1.54508497190000e+00   -4.75528258150000e+00 	-6.37055663571826e-05	 1.62865268206491e-14	3.95729998536556e-18		1.00000000202920e+00
8.10000000000000e-01    	-6.79425618707412e-06 	 -1.54508497190000e+00   -4.75528258150000e+00 	-7.62001649513766e-05	 1.09385335403486e-14	4.48770637677194e-18		1.00000000290323e+00
8.40000000000000e-01    	-9.26147369251362e-06 	 -1.54508497190000e+00   -4.75528258150000e+00 	-8.81204836008045e-05	 3.43357719565341e-15	4.75999817480792e-18		1.00000000388261e+00
8.70000000000000e-01    	-1.20676072804623e-05 	 -1.54508497190000e+00   -4.75528258150000e+00 	-9.86499669647394e-05	 -6.32293450263171e-15	4.72388833586527e-18		1.00000000486591e+00
9.00000000000000e-01    	-1.51575142406164e-05 	 -1.54508497190000e+00   -4.75528258150000e+00 	-1.06881918966528e-04	 -1.83129098253696e-14	4.42495412102544e-18		1.00000000571187e+00
9.30000000000000e-01    	-1.84479572273359e-05 	 -1.54508497190000e+00   -4.75528258150000e+00 	-1.11857135693187e-04	 -3.23858926226033e-14	4.05282650453914e-18		1.00000000625601e+00
9.60000000000000e-01    	-2.18267102272426e-05 	 -1.54508497190000e+00   -4.75528258150000e+00 	-1.12610747840513e-04	 -4.82441727606202e-14	3.97873403948032e-18		1.00000000634059e+00
9.90000000000000e-01    	-2.51531898418422e-05 	 -1.54508497190000e+00   -4.75528258150000e+00 	-1.08226758953591e-04	 -6.54343859761778e-14	4.76901427675709e-18		1.00000000585652e+00
1.02000000000000e+00    	-2.82608119658277e-05 	 -1.54508497190001e+00   -4.75528258150000e+00 	-9.78981231101321e-05	 -8.33468328458093e-14	7.16174682769288e-18		1.00000000479202e+00
1.05000000000000e+00    	-3.09612002890038e-05 	 -1.54508497190001e+00   -4.75528258150000e+00 	-8.09896212220194e-05	 -1.01222729014415e-13	1.19974837604793e-17		1.00000000327966e+00
1.08000000000000e+00    	-3.30502832309676e-05 	 -1.54508497190001e+00   -4.75528258150000e+00 	-5.71003083274631e-05	 -1.18172784162430e-13	2.01023605584834e-17		1.00000000163022e+00
1.11000000000000e+00    	-3.43162134298156e-05 	 -1.54508497190002e+00   -4.75528258150000e+00 	-2.61219523305673e-05	 -1.33203496669786e-13	3.21322254335940e-17		1.00000000034118e+00
1.14000000000000e+00    	-3.45489332982530e-05 	 -1.54508497190002e+00   -4.75528258150000e+00 	1.17102998541798e-05	 -1.45254874355317e-13	4.83981313791371e-17		1.00000000006857e+00
1.17000000000000e+00    	-3.35510968584632e-05 	 -1.54508497190002e+00   -4.75528258150000e+00 	5.57787843127060e-05	 -1.53245555902969e-13	6.87046531250805e-17		1.00000000155564e+00
1.20000000000000e+00    	-3.11499481337379e-05 	 -1.54508497190003e+00   -4.75528258150000e+00 	1.05059247812751e-04	 -1.56125306621056e-13	9.22401134835442e-17		1.00000000551872e+00
1.23000000000000e+00    	-2.72096562150806e-05 	 -1.54508497190003e+00   -4.75528258150000e+00 	1.58114945072800e-04	 -1.52933717309732e-13	1.17559269978698e-16		1.00000001250017e+00
