0.00000000000000e+00    	0.00000000000000e+00 	 -3.09016994370000e-01  	9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-7.12756669153115e-13 	 -3.09016994374499e-01   9.51056516300000e-01 	-1.18601789505277e-10	 -7.53253077972017e-10	-9.19278654745916e-21		1.00000000000000e+00
6.00000000000000e-02    	-2.24318134745794e-11 	 -3.09016994515956e-01   9.51056516300000e-01 	-1.85042390788545e-09	 -1.21875833297169e-08	-3.83002494011778e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.64625184525474e-10 	 -3.09016995474566e-01   9.51056516300000e-01 	-8.90892280777277e-09	 -6.09266047242695e-08	-1.31489133902903e-16		1.00000000000000e+00
1.20000000000000e-01    	-6.58130148854916e-10 	 -3.09016998930332e-01   9.51056516300000e-01 	-2.60514273485361e-08	 -1.85586723038126e-07	-1.57299981415312e-15		1.00000000000002e+00
1.50000000000000e-01    	-1.86700383289241e-09 	 -3.09017007767385e-01   9.51056516300000e-01 	-5.70029619039767e-08	 -4.25513480527482e-07	-1.03618860228801e-14		1.00000000000009e+00
1.80000000000000e-01    	-4.21949330387376e-09 	 -3.09017025866674e-01   9.51056516299999e-01 	-1.01858758324771e-07	 -8.04866372396697e-07	-4.60882214857941e-14		1.00000000000033e+00
2.10000000000000e-01    	-8.05751420156982e-09 	 -3.09017057374286e-01   9.51056516299997e-01 	-1.54312166757105e-07	 -1.31393782099213e-06	-1.54072896857632e-13		1.00000000000088e+00
2.40000000000000e-01    	-1.34052993662867e-08 	 -3.09017105397238e-01   9.51056516299989e-01 	-1.99107144994948e-07	 -1.89009613459552e-06	-4.11525741800806e-13		1.00000000000181e+00
2.70000000000000e-01    	-1.96701968585645e-08 	 -3.09017170155357e-01   9.51056516299969e-01 	-2.10131021305755e-07	 -2.40104267459002e-06	-9.09542800801666e-13		1.00000000000290e+00
3.00000000000000e-01    	-2.53008307054788e-08 	 -3.09017246700124e-01   9.51056516299931e-01 	-1.49540855673261e-07	 -2.63313633050469e-06	-1.69185997875579e-12		1.00000000000348e+00
3.30000000000000e-01    	-2.74388128823528e-08 	 -3.09017322391718e-01   9.51056516299866e-01 	3.17445836743084e-08	 -2.28734680972483e-06	-2.64831146031007e-12		1.00000000000262e+00
3.60000000000000e-01    	-2.16087798166555e-08 	 -3.09017374396305e-01   9.51056516299774e-01 	3.91952529063016e-07	 -9.84953658120121e-07	-3.40245508801408e-12		1.00000000000056e+00
3.90000000000000e-01    	-1.49672093863671e-09 	 -3.09017367519484e-01   9.51056516299671e-01 	9.94656434874930e-07	 1.71556933737113e-06	-3.29512035315008e-12		1.00000000000197e+00
