0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	-3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-5.67010682981659e-13 	 9.51056516301950e-01   -3.09016994370000e-01 	-9.43959247078909e-11	 3.42304238183189e-10	4.73510134964076e-21		1.00000000000000e+00
6.00000000000000e-02    	-1.78889250532236e-11 	 9.51056516378362e-01   -3.09016994370000e-01 	-1.47716871760364e-09	 7.03999622071037e-09	2.54952620095088e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.31623298260746e-10 	 9.51056517005497e-01   -3.09016994370000e-01 	-7.13462947649931e-09	 4.26738238787964e-08	1.06431085501665e-16		1.00000000000000e+00
1.20000000000000e-01    	-5.27659412905884e-10 	 9.51056519684678e-01   -3.09016994370000e-01 	-2.09381727674810e-08	 1.53772155330738e-07	1.50204913074637e-15		1.00000000000001e+00
1.50000000000000e-01    	-1.50153921434737e-09 	 9.51056527699319e-01   -3.09016994370000e-01 	-4.60112648038233e-08	 4.12322431200735e-07	1.14877102888440e-14		1.00000000000009e+00
1.80000000000000e-01    	-3.40585258499002e-09 	 9.51056546817807e-01   -3.09016994369999e-01 	-8.26678913754076e-08	 9.10544729574056e-07	5.89059143681870e-14		1.00000000000042e+00
2.10000000000000e-01    	-6.53270003038703e-09 	 9.51056585734589e-01   -3.09016994369995e-01 	-1.26195153591176e-07	 1.74869431847331e-06	2.26998762729828e-13		1.00000000000154e+00
2.40000000000000e-01    	-1.09312154442555e-08 	 9.51056656047073e-01   -3.09016994369982e-01 	-1.64796235911500e-07	 3.01647898761447e-06	7.03550937955578e-13		1.00000000000456e+00
2.70000000000000e-01    	-1.61699321738913e-08 	 9.51056771595736e-01   -3.09016994369947e-01 	-1.78025241906696e-07	 4.76948670563928e-06	1.83085981997294e-12		1.00000000001139e+00
3.00000000000000e-01    	-2.10635663918059e-08 	 9.51056947048006e-01   -3.09016994369861e-01 	-1.36029898917966e-07	 7.00275121046265e-06	4.11486705832740e-12		1.00000000002453e+00
3.30000000000000e-01    	-2.33926495727786e-08 	 9.51057195679544e-01   -3.09016994369682e-01 	1.28433965967658e-10	 9.62417267187313e-06	8.13669784601631e-12		1.00000000004631e+00
3.60000000000000e-01    	-1.96514584825080e-08 	 9.51057526394526e-01   -3.09016994369351e-01 	2.76883677340677e-07	 1.24309009973117e-05	1.43200486583701e-11		1.00000000007730e+00
