0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.60000000000000e-01    	9.42537296428417e-08 	 3.09016746429142e-01   -9.51056516300000e-01 	1.42538481184981e-06	 -4.18503943226582e-06	4.57944724860457e-13		1.00000000000977e+00
3.90000000000000e-01    	1.44545039520807e-07 	 3.09016594963442e-01   -9.51056516299969e-01 	1.93983205927004e-06	 -5.97493912029287e-06	1.79603202761829e-12		1.00000000001973e+00
4.20000000000000e-01    	2.11258704841392e-07 	 3.09016384374583e-01   -9.51056516299875e-01 	2.51523631542586e-06	 -8.11900194357780e-06	4.90409799892009e-12		1.00000000003612e+00
4.50000000000000e-01    	2.95691192256738e-07 	 3.09016104982875e-01   -9.51056516299644e-01 	3.11324205400188e-06	 -1.05451560591105e-05	1.10877204541947e-11		1.00000000006045e+00
4.80000000000000e-01    	3.97724497751045e-07 	 3.09015750125784e-01   -9.51056516299162e-01 	3.67777531517114e-06	 -1.31231146773874e-05	2.20072551604751e-11		1.00000000009287e+00
5.10000000000000e-01    	5.15289813755878e-07 	 3.09015317995455e-01   -9.51056516298259e-01 	4.13496883623772e-06	 -1.56589505958659e-05	3.94289764064686e-11		1.00000000013115e+00
5.40000000000000e-01    	6.43852083154946e-07 	 3.09014813575475e-01   -9.51056516296717e-01 	4.39466610175244e-06	 -1.78940781507072e-05	6.47594646034271e-11		1.00000000016976e+00
5.70000000000000e-01    	7.75965624309162e-07 	 3.09014250530302e-01   -9.51056516294290e-01 	4.35367501788506e-06	 -1.95095571948986e-05	9.83977346019933e-11		1.00000000019979e+00
6.00000000000000e-01    	9.00954487019258e-07 	 3.09013652877477e-01   -9.51056516290743e-01 	3.90082877229635e-06	 -2.01363474256134e-05	1.39038285816491e-10		1.00000000021034e+00
6.30000000000000e-01    	1.00477100212902e-06 	 3.09013056259155e-01   -9.51056516285912e-01 	2.92378084084587e-06	 -1.93717754518554e-05	1.83168941915002e-10		1.00000000019191e+00
6.60000000000000e-01    	1.07008170221859e-06 	 3.09012508627919e-01   -9.51056516279774e-01 	1.31732052954643e-06	 -1.68020497591933e-05	2.25097306644834e-10		1.00000000014202e+00
6.90000000000000e-01    	1.07662124665098e-06 	 3.09012070173713e-01   -9.51056516272498e-01 	-1.00714638078439e-06	 -1.20301939215476e-05	2.57867410924815e-10		1.00000000007287e+00
7.20000000000000e-01    	1.00184228504328e-06 	 3.09011812344714e-01   -9.51056516264456e-01 	-4.11144087489027e-06	 -4.70829396350427e-06	2.75353282939581e-10		1.00000000001954e+00
7.50000000000000e-01    	8.21872733650347e-07 	 3.09011815855007e-01   -9.51056516256152e-01 	-8.02038233437287e-06	 5.42749766265581e-06	2.75612743274864e-10		1.00000000004689e+00
7.80000000000000e-01    	5.12772403457815e-07 	 3.09012167624835e-01   -9.51056516248030e-01 	-1.27121811086412e-05	 1.85211598120561e-05	2.65254925241917e-10		1.00000000025232e+00
8.10000000000000e-01    	5.20592616685266e-08 	 3.09012956662933e-01   -9.51056516240150e-01 	-1.81101966579147e-05	 3.45624777883420e-05	2.64159676527003e-10		1.00000000076127e+00
8.40000000000000e-01    	-5.79546983171915e-07 	 3.09014268972148e-01   -9.51056516231723e-01 	-2.40768151158748e-05	 5.33566775172555e-05	3.09468398356319e-10		1.00000000171331e+00
8.70000000000000e-01    	-1.39623844445816e-06 	 3.09016181635398e-01   -9.51056516220561e-01 	-3.04101617075886e-05	 7.45005714692310e-05	4.57459793130046e-10		1.00000000323756e+00
9.00000000000000e-01    	-2.40518450666867e-06 	 3.09018756314818e-01   -9.51056516202515e-01 	-3.68442752977353e-05	 9.73676881634566e-05	7.81859699952733e-10		1.00000000541898e+00
9.30000000000000e-01    	-3.60466077907588e-06 	 3.09022032467847e-01   -9.51056516171037e-01 	-4.30532353001630e-05	 1.21104614786261e-04	1.36742423603748e-09		1.00000000825995e+00
9.60000000000000e-01    	-4.98236525568954e-06 	 3.09026020645231e-01   -9.51056516117010e-01 	-4.86595492733899e-05	 1.44640378061498e-04	2.29834005870189e-09		1.00000001164430e+00
9.90000000000000e-01    	-6.51405142133617e-06 	 3.09030696282679e-01   -9.51056516028997e-01 	-5.32468898916115e-05	 1.66710130755102e-04	3.64207948996301e-09		1.00000001531375e+00
1.02000000000000e+00    	-8.16260704848299e-06 	 3.09035994425845e-01   -9.51056515894019e-01 	-5.63770225938324e-05	 1.85893718413004e-04	5.43069931774424e-09		1.00000001886742e+00
1.05000000000000e+00    	-9.87769874789901e-06 	 3.09041805833754e-01   -9.51056515698896e-01 	-5.76105024060535e-05	 2.00668900723473e-04	7.64294006637667e-09		1.00000002179349e+00
1.08000000000000e+00    	-1.15960857128520e-05 	 3.09047974886107e-01   -9.51056515432055e-01 	-5.65304542136295e-05	 2.09478130278393e-04	1.01915444374193e-08		1.00000002353839e+00
1.11000000000000e+00    	-1.32426817111716e-05 	 3.09054299673448e-01   -9.51056515085579e-01 	-5.27685000167674e-05	 2.10806891538143e-04	1.29206165437138e-08		1.00000002361203e+00
1.14000000000000e+00    	-1.47324128608700e-05 	 3.09060534576007e-01   -9.51056514657133e-01 	-4.60316743226899e-05	 2.03270722712556e-04	1.56172796291874e-08		1.00000002171895e+00
1.17000000000000e+00    	-1.59728811379270e-05 	 3.09066395538279e-01   -9.51056514151286e-01 	-3.61289888641363e-05	 1.85707234173009e-04	1.80401816154432e-08		1.00000001789624e+00
1.20000000000000e+00    	-1.68678013733986e-05 	 3.09071568125166e-01   -9.51056513579732e-01 	-2.29961827406920e-05	 1.57268750289091e-04	1.99645759632439e-08		1.00000001263114e+00
1.23000000000000e+00    	-1.73211345070772e-05 	 3.09075718306112e-01   -9.51056512959946e-01 	-6.71713410753231e-06	 1.17510686045462e-04	2.12400606266912e-08		1.00000000692694e+00
1.26000000000000e+00    	-1.72417941511534e-05 	 3.09078505761875e-01   -9.51056512312017e-01 	1.24595777022089e-05	 6.64704687722568e-05	2.18531464767715e-08		1.00000000228678e+00
1.29000000000000e+00    	-1.65487593396377e-05 	 3.09079599351461e-01   -9.51056511653663e-01 	3.41103805297648e-05	 4.73176386613568e-06	2.19834180052354e-08		1.00000000059295e+00
