0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	8.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.90000000000000e-01    	-1.11626511092623e-07 	 5.87785137702756e-01   8.09016994369943e-01 	-9.62000848341795e-07	 5.26824476063762e-07	-6.35020720223117e-13		1.00000000000060e+00
4.20000000000000e-01    	-1.40262397361209e-07 	 5.87785172955069e-01   8.09016994369934e-01 	-9.23207495397454e-07	 1.93152919656041e-06	2.14189955845899e-13		1.00000000000229e+00
4.50000000000000e-01    	-1.65280140758727e-07 	 5.87785260797356e-01   8.09016994369973e-01 	-7.10339734203719e-07	 4.05595944986792e-06	2.75032938255093e-12		1.00000000000848e+00
4.80000000000000e-01    	-1.80494360190847e-07 	 5.87785424793946e-01   8.09016994370128e-01 	-2.58587837735248e-07	 7.02737442151025e-06	8.17596990682718e-12		1.00000000002473e+00
5.10000000000000e-01    	-1.77745813879660e-07 	 5.87785691854746e-01   8.09016994370505e-01 	4.97975571810278e-07	 1.09385109077711e-05	1.77815657674556e-11		1.00000000005995e+00
5.40000000000000e-01    	-1.46950320956142e-07 	 5.87786090922065e-01   8.09016994371245e-01 	1.62071977954578e-06	 1.58290060660513e-05	3.24510108165170e-11		1.00000000012659e+00
5.70000000000000e-01    	-7.63326127433081e-08 	 5.87786651100324e-01   8.09016994372500e-01 	3.15985523202038e-06	 2.16670775634485e-05	5.18778225774025e-11		1.00000000023972e+00
6.00000000000000e-01    	4.71323707853363e-08 	 5.87787399259098e-01   8.09016994374382e-01 	5.14727430081290e-06	 2.83329985635938e-05	7.35630476103848e-11		1.00000000041463e+00
6.30000000000000e-01    	2.37060713845767e-07 	 5.87788357187591e-01   8.09016994376881e-01 	7.58929663889163e-06	 3.56059909656095e-05	9.17909422868934e-11		1.00000000066269e+00
6.60000000000000e-01    	5.06788332867010e-07 	 5.87789538427325e-01   8.09016994379759e-01 	1.04598564493334e-05	 4.31561381762461e-05	9.69076661408567e-11		1.00000000098593e+00
6.90000000000000e-01    	8.68309277328918e-07 	 5.87790944956053e-01   8.09016994382429e-01 	1.36947136646899e-05	 5.05427799726086e-05	7.53200021412822e-11		1.00000000137106e+00
7.20000000000000e-01    	1.33106313415408e-06 	 5.87792563936229e-01   8.09016994383848e-01 	1.71872802694189e-05	 5.72205952260504e-05	1.06367614553468e-11		1.00000000178480e+00
7.50000000000000e-01    	1.90062853112671e-06 	 5.87794364772285e-01   8.09016994382469e-01 	2.07866226948728e-05	 6.25542094748785e-05	-1.13748267316679e-10		1.00000000217256e+00
7.80000000000000e-01    	2.57739559059028e-06 	 5.87796296739287e-01   8.09016994376295e-01 	2.42981294716532e-05	 6.58416972575014e-05	-3.10608563050313e-10		1.00000000246276e+00
8.10000000000000e-01    	3.35530327048872e-06 	 5.87798287448623e-01   8.09016994363065e-01 	2.74872207207361e-05	 6.63468047266284e-05	-5.83762961426980e-10		1.00000000257872e+00
8.40000000000000e-01    	4.22073666185843e-06 	 5.87800242402331e-01   8.09016994340605e-01 	3.00863258510879e-05	 6.33391237941799e-05	-9.22763398640381e-10		1.00000000245852e+00
8.70000000000000e-01    	5.15168344433506e-06 	 5.87802045855429e-01   8.09016994307323e-01 	3.18051739488989e-05	 5.61408375507678e-05	-1.29874376132404e-09		1.00000000208168e+00
9.00000000000000e-01    	6.11724700533811e-06 	 5.87803563155217e-01   8.09016994262791e-01 	3.23442362804597e-05	 4.41780641974169e-05	-1.66308549200858e-09		1.00000000149893e+00
9.30000000000000e-01    	7.07760566449839e-06 	 5.87804644659134e-01   8.09016994208303e-01 	3.14109427895120e-05	 2.70342911304145e-05	-1.95055095638621e-09		1.00000000085875e+00
9.60000000000000e-01    	7.98449282076037e-06 	 5.87805131250565e-01   8.09016994147259e-01 	2.87380768475154e-05	 4.50294961056166e-06	-2.08810518736577e-09		1.00000000042308e+00
9.90000000000000e-01    	8.78225185249623e-06 	 5.87804861378505e-01   8.09016994085185e-01 	2.41035482162196e-05	 -2.33641315157337e-05	-2.00974191323492e-09		1.00000000056343e+00
1.02000000000000e+00    	9.40949285515357e-06 	 5.87803679446394e-01   8.09016994029241e-01 	1.73505668038203e-05	 -5.62158072014952e-05	-1.67630516274230e-09		1.00000000173063e+00
1.05000000000000e+00    	9.80134680047414e-06 	 5.87801445272989e-01   8.09016993987081e-01 	8.40710224615436e-06	 -9.33716167968782e-05	-1.09772980767669e-09		1.00000000439447e+00
1.08000000000000e+00    	9.89227781603395e-06 	 5.87798044249531e-01   8.09016993965061e-01 	-2.69657203894715e-06	 -1.33805860372977e-04	-3.53606617441821e-10		1.00000000895564e+00
1.11000000000000e+00    	9.61937769016502e-06 	 5.87793397728711e-01   8.09016993965920e-01 	-1.58134779188940e-05	 -1.76148477114241e-04	3.93115130352056e-10		1.00000001563918e+00
1.14000000000000e+00    	8.92603030721465e-06 	 5.87787473108074e-01   8.09016993986221e-01 	-3.06698624593304e-05	 -2.18704825078045e-04	8.94749696152815e-10		1.00000002438622e+00
