2.30000000000000e-01    	7.09628203098822e-10 	 3.00000002678866e+00   0.00000000000000e+00 	1.09056130122521e-08	 6.52159799870557e-07	0.00000000000000e+00		1.00000000000021e+00
2.40000000000000e-01    	8.21323476034766e-10 	 3.00000003397037e+00   0.00000000000000e+00 	1.13897613363900e-08	 7.87180766601458e-07	0.00000000000000e+00		1.00000000000031e+00
2.50000000000000e-01    	9.36413012220709e-10 	 3.00000004259405e+00   0.00000000000000e+00 	1.15704602104787e-08	 9.40730195968678e-07	0.00000000000000e+00		1.00000000000044e+00
2.60000000000000e-01    	1.05142597828691e-09 	 3.00000005285005e+00   0.00000000000000e+00 	1.13588270927187e-08	 1.11379501338234e-06	0.00000000000000e+00		1.00000000000062e+00
2.70000000000000e-01    	1.16195448066885e-09 	 3.00000006493775e+00   0.00000000000000e+00 	1.06563580422922e-08	 1.30719193642844e-06	0.00000000000000e+00		1.00000000000085e+00
2.80000000000000e-01    	1.26255835813624e-09 	 3.00000007906373e+00   0.00000000000000e+00 	9.35515322485293e-09	 1.52153279528374e-06	0.00000000000000e+00		1.00000000000116e+00
2.90000000000000e-01    	1.34667296570960e-09 	 3.00000009543949e+00   0.00000000000000e+00 	7.33829066882808e-09	 1.75718933276630e-06	0.00000000000000e+00		1.00000000000154e+00
3.00000000000000e-01    	1.40652145975466e-09 	 3.00000011427892e+00   0.00000000000000e+00 	4.48035350135340e-09	 2.01425787521103e-06	0.00000000000000e+00		1.00000000000203e+00
3.10000000000000e-01    	1.43303313935985e-09 	 3.00000013579535e+00   0.00000000000000e+00 	6.48114483865010e-10	 2.29252428431061e-06	0.00000000000000e+00		1.00000000000263e+00
3.20000000000000e-01    	1.41576942992358e-09 	 3.00000016019825e+00   0.00000000000000e+00 	-4.29861982063272e-09	 2.59142961567805e-06	0.00000000000000e+00		1.00000000000336e+00
3.30000000000000e-01    	1.34285911047019e-09 	 3.00000018768966e+00   0.00000000000000e+00 	-1.05060044725355e-08	 2.91003692195836e-06	0.00000000000000e+00		1.00000000000423e+00
