2.64000000000000e+00    	-2.63999967000003e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.90096592652605e-15	-1.44851013121569e-32		2.00000024999998e+03
2.76000000000000e+00    	-2.75999965500001e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.18895579185223e-14	-2.14173127539636e-32		2.00000024999998e+03
2.88000000000000e+00    	-2.87999964000000e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.92380334231472e-15	-2.67019370620803e-32		2.00000024999998e+03
3.00000000000000e+00    	-2.99999962499999e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.53202848047393e-14	-3.64783218321964e-32		2.00000024999998e+03
3.12000000000000e+00    	-3.11999960999997e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.51040802377281e-16	-4.66866986729309e-32		2.00000024999998e+03
3.24000000000000e+00    	-3.23999959499996e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.90218419747796e-14	-5.95401594410944e-32		2.00000024999998e+03
3.36000000000000e+00    	-3.35999957999994e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.57332626602392e-15	-7.79497387335668e-32		2.00000024999998e+03
3.48000000000000e+00    	-3.47999956499993e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.28302525003761e-14	-9.38182015512564e-32		2.00000024999998e+03
3.60000000000000e+00    	-3.59999954999991e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -6.38400760226817e-15	-1.24971359058211e-31		2.00000024999998e+03
3.72000000000000e+00    	-3.71999953499990e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.65379560522173e-14	-1.43544383922402e-31		2.00000024999998e+03
3.84000000000000e+00    	-3.83999951999988e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 1.13824832378688e-14	-1.93277783879973e-31		2.00000024999998e+03
3.96000000000000e+00    	-3.95999950499987e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.98996107295885e-14	-2.14230330511168e-31		2.00000024999998e+03
4.08000000000000e+00    	-4.07999948999986e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -1.76281794635313e-14	-2.89492723436605e-31		2.00000024999998e+03
4.20000000000000e+00    	-4.19999947499984e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 3.26376693288962e-14	-3.12965130808752e-31		2.00000024999998e+03
4.32000000000000e+00    	-4.31999945999983e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 2.51281972668900e-14	-4.21367396375734e-31		2.00000024999998e+03
4.44000000000000e+00    	-4.43999944499981e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.44525963761803e-14	-4.48727604721997e-31		2.00000024999998e+03
4.56000000000000e+00    	-4.55999942999980e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.38310838761706e-14	-5.97813971788959e-31		2.00000024999998e+03
4.68000000000000e+00    	-4.67999941499978e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 3.50324237171975e-14	-6.32689895236438e-31		2.00000024999998e+03
4.80000000000000e+00    	-4.79999939999977e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 4.36200127050681e-14	-8.28959618915892e-31		2.00000024999998e+03
4.92000000000000e+00    	-4.91999938499975e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -3.40663397488259e-14	-8.78474631925730e-31		2.00000024999998e+03
5.04000000000000e+00    	-5.03999936999974e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -5.43107534915746e-14	-1.12625930093754e-30		2.00000024999998e+03
5.16000000000000e+00    	-5.15999935499973e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 3.12568586984916e-14	-1.20233804447995e-30		2.00000024999998e+03
5.28000000000000e+00    	-5.27999933999971e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 6.56496602292649e-14	-1.50268728668715e-30		2.00000024999998e+03
5.40000000000000e+00    	-5.39999932499970e+00 	 -2.00000000000000e+01   -1.70000000000000e+01 	-2.00000000000000e+03	 -2.63351387540146e-14	-1.62323799300146e-30		2.00000024999998e+03
