0.00000000000000e+00    	0.00000000000000e+00 	 3.98010209720000e-16  	6.50000000000000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.26738912148088e-26 	 -1.98309626856184e-14   6.50000000000000e+00 	8.31892962759834e-24	 -4.04124502703172e-12	-2.31756988298851e-22		1.00000000000000e+00
6.00000000000000e-02    	4.54955227318385e-23 	 -1.28118564102817e-12   6.50000000000000e+00 	8.29476596822190e-21	 -1.27587109481883e-10	-1.12140922497116e-19		1.00000000000000e+00
9.00000000000000e-02    	3.78808037327082e-21 	 -1.43573130572683e-11   6.50000000000000e+00 	4.57225599809032e-19	 -9.47686105555342e-10	-3.91513440066253e-18		1.00000000000000e+00
1.20000000000000e-01    	8.50383365450971e-20 	 -7.88273036587803e-11   6.50000000000000e+00 	7.62248686923206e-18	 -3.87198120224042e-09	-4.52573649577890e-17		1.00000000000000e+00
1.50000000000000e-01    	9.24210292875838e-19 	 -2.91884999851296e-10   6.50000000000000e+00 	6.54143678614205e-17	 -1.13529241738018e-08	-2.76938468515976e-16		1.00000000000000e+00
1.80000000000000e-01    	6.30903579437127e-18 	 -8.40245555782858e-10   6.50000000000000e+00 	3.66005152446109e-16	 -2.68854852366400e-08	-1.08988099285681e-15		1.00000000000000e+00
2.10000000000000e-01    	3.10695409837885e-17 	 -2.02826542948156e-09   6.50000000000000e+00 	1.51350998959444e-15	 -5.47533204653077e-08	-2.96975389488125e-15		1.00000000000000e+00
2.40000000000000e-01    	1.19835835444896e-16 	 -4.29453919442931e-09   6.50000000000000e+00 	4.98092766993222e-15	 -9.95154973743899e-08	-5.36503534247921e-15		1.00000000000000e+00
2.70000000000000e-01    	3.81516683103395e-16 	 -8.20943908199700e-09   6.50000000000000e+00 	1.36696511231234e-14	 -1.65255379775406e-07	-3.47242909223573e-15		1.00000000000001e+00
3.00000000000000e-01    	1.03849548227885e-15 	 -1.44471565153907e-08   6.50000000000000e+00 	3.22576171102688e-14	 -2.54642751957695e-07	1.80344749176480e-14		1.00000000000003e+00
3.30000000000000e-01    	2.47647374298888e-15 	 -2.37277515176076e-08   6.50000000000000e+00 	6.67885168008075e-14	 -3.67887261163859e-07	9.42642963502844e-14		1.00000000000007e+00
3.60000000000000e-01    	5.26258870437868e-15 	 -3.67274054696652e-08   6.50000000000001e+00 	1.22870636599105e-13	 -5.01683412720544e-07	2.90153310123475e-13		1.00000000000013e+00
3.90000000000000e-01    	1.00833088428124e-14 	 -5.39583275578671e-08   6.50000000000002e+00 	2.02114357915403e-13	 -6.48262560898371e-07	7.06257638367363e-13		1.00000000000021e+00
4.20000000000000e-01    	1.75523992964905e-14 	 -7.56233504214392e-08   6.50000000000005e+00 	2.97184854952749e-13	 -7.94673910589748e-07	1.47278059889923e-12		1.00000000000032e+00
4.50000000000000e-01    	2.78678628626628e-14 	 -1.01453888195789e-07   6.50000000000011e+00 	3.87066646777227e-13	 -9.22413333603367e-07	2.72384820393485e-12		1.00000000000043e+00
4.80000000000000e-01    	4.03661959111993e-14 	 -1.30543317583115e-07   6.50000000000022e+00 	4.35572398192997e-13	 -1.00750530498531e-06	4.54730082973834e-12		1.00000000000051e+00
5.10000000000000e-01    	5.31318329224182e-14 	 -1.61190672363505e-07   6.50000000000039e+00 	3.97259997747535e-13	 -1.02111968002446e-06	6.91337081843311e-12		1.00000000000052e+00
5.40000000000000e-01    	6.29498985648997e-14 	 -1.90771523365228e-07   6.50000000000064e+00 	2.35047267863687e-13	 -9.30772286057229e-07	9.59825970972441e-12		1.00000000000043e+00
5.70000000000000e-01    	6.60004013878419e-14 	 -2.15653797154387e-07   6.50000000000096e+00 	-4.77618568589568e-14	 -7.02118017765226e-07	1.21334840027045e-11		1.00000000000025e+00
6.00000000000000e-01    	5.97234710677592e-14 	 -2.31175873732949e-07   6.50000000000136e+00 	-3.62016836087653e-13	 -3.01299551455478e-07	1.38244632011896e-11		1.00000000000005e+00
6.30000000000000e-01    	4.61752567881073e-14 	 -2.31702478104973e-07   6.50000000000178e+00 	-4.80455955144176e-13	 3.02233300003243e-07	1.38862132886092e-11		1.00000000000005e+00
6.60000000000000e-01    	3.68956809238813e-14 	 -2.10770613374377e-07   6.50000000000217e+00 	8.04764976025338e-15	 1.13256604996036e-06	1.17341300584077e-11		1.00000000000064e+00
6.90000000000000e-01    	5.88156587551803e-14 	 -1.61333142106203e-07   6.50000000000246e+00 	1.71843828476492e-12	 2.20399981972063e-06	7.43957932900958e-12		1.00000000000243e+00
7.20000000000000e-01    	1.60097812433033e-13 	 -7.61017761269132e-08   6.50000000000261e+00 	5.44139470190532e-12	 3.51778173190874e-06	2.31335035942068e-12		1.00000000000619e+00
7.50000000000000e-01    	4.14158992047904e-13 	 5.20155524316801e-08   6.50000000000262e+00 	1.20474872838763e-11	 5.05912365038355e-06	-4.79197179777668e-13		1.00000000001280e+00
7.80000000000000e-01    	9.19658145349859e-13 	 2.29395342305271e-07   6.50000000000265e+00 	2.23136111934957e-11	 6.79476041843877e-06	4.57296980045378e-12		1.00000000002308e+00
