0.00000000000000e+00    	0.00000000000000e+00 	 3.06161699790000e-17  	5.00000000000000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.59351318742488e-22 	 2.18036130221975e-12   5.00000000000000e-01 	9.50247759488789e-20	 4.35575774799410e-10	-1.80663049823094e-20		1.00000000000000e+00
6.00000000000000e-02    	5.19437848485344e-19 	 1.38132410148775e-10   5.00000000000000e-01 	9.47118547215142e-17	 1.37516665520792e-08	-8.74179510918532e-18		1.00000000000000e+00
9.00000000000000e-02    	4.32786108348473e-17 	 1.54751102802684e-09   5.00000000000000e-01 	5.22498392092490e-15	 1.02144043959912e-07	-3.05199047710662e-16		1.00000000000001e+00
1.20000000000000e-01    	9.72528130941738e-16 	 8.49625229952269e-09   5.00000000000000e-01 	8.72110957669497e-14	 4.17332084764312e-07	-3.52797714547751e-15		1.00000000000009e+00
1.50000000000000e-01    	1.05837405438076e-14 	 3.14601583421476e-08   5.00000000000000e-01 	7.49639331511512e-13	 1.22364734386648e-06	-2.15883666346615e-14		1.00000000000075e+00
1.80000000000000e-01    	7.23732906697684e-14 	 9.05638683178744e-08   4.99999999999998e-01 	4.20323585699904e-12	 2.89778669307439e-06	-8.49602100711056e-14		1.00000000000420e+00
2.10000000000000e-01    	3.57181923299909e-13 	 2.18611703451451e-07   4.99999999999994e-01 	1.74283190893500e-11	 5.90145359284228e-06	-2.31503179173256e-13		1.00000000001741e+00
2.40000000000000e-01    	1.38136788287725e-12 	 4.62876514028503e-07   4.99999999999984e-01 	5.75535773253279e-11	 1.07260360563041e-05	-4.18224129715248e-13		1.00000000005752e+00
2.70000000000000e-01    	4.41248272865066e-12 	 8.84834484932386e-07   4.99999999999972e-01 	1.58642611023969e-10	 1.78116495285512e-05	-2.70688549635985e-13		1.00000000015863e+00
3.00000000000000e-01    	1.20606207676891e-11 	 1.55715170025488e-06   4.99999999999983e-01 	3.76476792715852e-10	 2.74460502199989e-05	1.40585328689693e-12		1.00000000037664e+00
3.30000000000000e-01    	2.89096137197113e-11 	 2.55743807941607e-06   5.00000000000098e-01 	7.85240169129768e-10	 3.96518344461052e-05	7.34824670089244e-12		1.00000000078613e+00
3.60000000000000e-01    	6.18363107551893e-11 	 3.95857418859131e-06   5.00000000000516e-01 	1.45891761837638e-09	 5.40727274912890e-05	2.26185118305251e-11		1.00000000146193e+00
3.90000000000000e-01    	1.19478640109985e-10 	 5.81576724879999e-06   5.00000000001626e-01 	2.43289149961792e-09	 6.98714047500143e-05	5.50553661555303e-11		1.00000000244101e+00
4.20000000000000e-01    	2.10284569402204e-10 	 8.15087908130141e-06   5.00000000004092e-01 	3.64931500134160e-09	 8.56519962468498e-05	1.14808634430577e-10		1.00000000366813e+00
4.50000000000000e-01    	3.38871991850521e-10 	 1.09349608099730e-05   5.00000000008893e-01 	4.90330568911850e-09	 9.94200795140253e-05	2.12333929716330e-10		1.00000000494218e+00
4.80000000000000e-01    	5.01181934659214e-10 	 1.40702942467225e-05   5.00000000017281e-01 	5.82313294660427e-09	 1.08591510908313e-04	3.54478730496877e-10		1.00000000589606e+00
5.10000000000000e-01    	6.80116615064025e-10 	 1.73735448862856e-05   5.00000000030590e-01 	5.93073600337081e-09	 1.10058903416998e-04	5.38922539142838e-10		1.00000000605648e+00
5.40000000000000e-01    	8.44818065112669e-10 	 2.05618450180983e-05   5.00000000049872e-01 	4.83137888375890e-09	 1.00321029495626e-04	7.48219447872998e-10		1.00000000503215e+00
