0.00000000000000e+00    	0.00000000000000e+00 	 -6.00000000000000e+00  	7.34788079490000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	2.59916624104740e-13 	 -6.00000000000011e+00   7.34788079490000e-16 	4.31676154697886e-11	 -2.21747334919544e-11	-5.19962639238558e-38		1.00000000000000e+00
6.00000000000000e-02    	8.10157682966837e-12 	 -6.00000000000703e+00   7.34788079490000e-16 	6.65646058705894e-10	 -7.00083793250445e-10	-2.51595822055358e-35		1.00000000000000e+00
9.00000000000000e-02    	5.88540498591320e-11 	 -6.00000000007878e+00   7.34788079490000e-16 	3.16419400285068e-09	 -5.20005261152131e-09	-8.78387151941565e-34		1.00000000000000e+00
1.20000000000000e-01    	2.32675618686168e-10 	 -6.00000000043253e+00   7.34788079490000e-16 	9.11875042670354e-09	 -2.12459650020984e-08	-1.01537989718997e-32		1.00000000000000e+00
1.50000000000000e-01    	6.51753198840299e-10 	 -6.00000000160161e+00   7.34788079490000e-16 	1.96020930868438e-08	 -6.22946791576858e-08	-6.21330364364843e-32		1.00000000000000e+00
1.80000000000000e-01    	1.45100839448039e-09 	 -6.00000000461052e+00   7.34788079490000e-16 	3.42239474068059e-08	 -1.47523459034833e-07	-2.44522239465881e-31		1.00000000000001e+00
2.10000000000000e-01    	2.71926621791637e-09 	 -6.00000001112931e+00   7.34788079490000e-16 	5.01414274779230e-08	 -3.00437166848369e-07	-6.66284550697625e-31		1.00000000000005e+00
2.40000000000000e-01    	4.41207101283993e-09 	 -6.00000002356458e+00   7.34788079490000e-16 	6.11836958569393e-08	 -5.46051871832520e-07	-1.20368232915021e-30		1.00000000000015e+00
2.70000000000000e-01    	6.24184345240160e-09 	 -6.00000004504605e+00   7.34788079490000e-16 	5.72412311032704e-08	 -9.06773404882401e-07	-7.79063592754918e-31		1.00000000000041e+00
3.00000000000000e-01    	7.55544336768058e-09 	 -6.00000007927305e+00   7.34788079490000e-16 	2.40583175344924e-08	 -1.39725114248678e-06	4.04615531642490e-30		1.00000000000098e+00
3.30000000000000e-01    	7.21300882294143e-09 	 -6.00000013019663e+00   7.34788079490000e-16 	-5.64583994819428e-08	 -2.01863544671897e-06	2.11488308053725e-29		1.00000000000204e+00
3.60000000000000e-01    	3.48477990089922e-09 	 -6.00000020152708e+00   7.34788079490002e-16 	-2.05340876133313e-07	 -2.75278875154724e-06	6.50978579520784e-29		1.00000000000381e+00
3.90000000000000e-01    	-6.01586084409484e-09 	 -6.00000029607493e+00   7.34788079490005e-16 	-4.45044476900314e-07	 -3.55708372996500e-06	1.58453694544744e-28		1.00000000000643e+00
4.20000000000000e-01    	-2.43449536822747e-08 	 -6.00000041495315e+00   7.34788079490012e-16 	-7.97346802267618e-07	 -4.36045803068597e-06	3.30428367359360e-28		1.00000000000982e+00
4.50000000000000e-01    	-5.51697437588450e-08 	 -6.00000055668799e+00   7.34788079490025e-16 	-1.28074978524999e-06	 -5.06137745001050e-06	6.11114012192871e-28		1.00000000001363e+00
4.80000000000000e-01    	-1.02626846164723e-07 	 -6.00000071630469e+00   7.34788079490050e-16 	-1.90753226772031e-06	 -5.52828534426951e-06	1.02021826851890e-27		1.00000000001710e+00
5.10000000000000e-01    	-1.71089181605216e-07 	 -6.00000088446986e+00   7.34788079490088e-16 	-2.68065262608389e-06	 -5.60298669591752e-06	1.55106251402088e-27		1.00000000001929e+00
5.40000000000000e-01    	-2.64840723170412e-07 	 -6.00000104678290e+00   7.34788079490143e-16 	-3.59074339469496e-06	 -5.10723559526580e-06	2.15343569084535e-27		1.00000000001949e+00
5.70000000000000e-01    	-3.87665819029972e-07 	 -6.00000118331410e+00   7.34788079490217e-16 	-4.61346827139590e-06	 -3.85257389026335e-06	2.72222942400533e-27		1.00000000001806e+00
6.00000000000000e-01    	-5.42368182105467e-07 	 -6.00000126848442e+00   7.34788079490305e-16 	-5.70752310532810e-06	 -1.65321873018842e-06	3.10160829545710e-27		1.00000000001765e+00
6.30000000000000e-01    	-7.30243011477483e-07 	 -6.00000127137213e+00   7.34788079490399e-16 	-6.81355411323609e-06	 1.65846714553600e-06	3.11545416999397e-27		1.00000000002459e+00
6.60000000000000e-01    	-9.50533522987476e-07 	 -6.00000115651353e+00   7.34788079490486e-16 	-7.85423742239538e-06	 6.21464906247982e-06	2.63260728701306e-27		1.00000000005016e+00
6.90000000000000e-01    	-1.19990979170810e-06 	 -6.00000088523952e+00   7.34788079490552e-16 	-8.73571413812102e-06	 1.20938036821521e-05	1.66908473075970e-27		1.00000000011129e+00
7.20000000000000e-01    	-1.47201264150792e-06 	 -6.00000041755767e+00   7.34788079490584e-16 	-9.35050586772240e-06	 1.93027768038981e-05	5.18987588803944e-28		1.00000000023001e+00
7.50000000000000e-01    	-1.75710781358217e-06 	 -5.99999971455221e+00   7.34788079490588e-16 	-9.58194973821143e-06	 2.77604231090467e-05	-1.07480908834498e-28		1.00000000043123e+00
7.80000000000000e-01    	-2.04189536495980e-06 	 -5.99999874123387e+00   7.34788079490595e-16 	-9.31009344317522e-06	 3.72842062965773e-05	1.02616996917999e-27		1.00000000073839e+00
8.10000000000000e-01    	-2.30951588620092e-06 	 -5.99999746973022e+00   7.34788079490685e-16 	-8.41888490488056e-06	 4.75811262722091e-05	5.72060466107141e-27		1.00000000116742e+00
8.40000000000000e-01    	-2.53978855053723e-06 	 -5.99999588266716e+00   7.34788079490997e-16 	-6.80438381731188e-06	 5.82442383267574e-05	1.62605085446982e-26		1.00000000171935e+00
