0.00000000000000e+00    	0.00000000000000e+00 	 5.70633909780000e+00  	-1.85410196620000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.47195399051569e-13 	 5.70633909779989e+00   -1.85410196620000e+00 	-4.10548419862116e-11	 -2.21747334933224e-11	1.31202965690671e-22		1.00000000000000e+00
6.00000000000000e-02    	-7.70505743516861e-12 	 5.70633909779297e+00   -1.85410196620000e+00 	-6.33067021442313e-10	 -7.00083794158162e-10	6.34855575426063e-20		1.00000000000000e+00
9.00000000000000e-02    	-5.59735274653270e-11 	 5.70633909772122e+00   -1.85410196620000e+00 	-3.00932730402478e-09	 -5.20005264472179e-09	2.21644771058805e-18		1.00000000000000e+00
1.20000000000000e-01    	-2.21287659016513e-10 	 5.70633909736747e+00   -1.85410196620000e+00 	-8.67244661290444e-09	 -2.12459654071719e-08	2.56212362854949e-17		1.00000000000000e+00
1.50000000000000e-01    	-6.19854076587973e-10 	 5.70633909619839e+00   -1.85410196620000e+00 	-1.86426947336104e-08	 -6.22946818419021e-08	1.56781244777544e-16		1.00000000000000e+00
1.80000000000000e-01    	-1.37999063394967e-09 	 5.70633909318948e+00   -1.85410196620000e+00 	-3.25488872979255e-08	 -1.47523470982907e-07	6.17006737632449e-16		1.00000000000001e+00
2.10000000000000e-01    	-2.58617407144357e-09 	 5.70633908667069e+00   -1.85410196620000e+00 	-4.76872433984789e-08	 -3.00437206772199e-07	1.68124610685143e-15		1.00000000000005e+00
2.40000000000000e-01    	-4.19612190594708e-09 	 5.70633907423541e+00   -1.85410196620000e+00 	-5.81888597141980e-08	 -5.46051978586886e-07	3.03727002793935e-15		1.00000000000015e+00
2.70000000000000e-01    	-5.93632343361567e-09 	 5.70633905275394e+00   -1.85410196620000e+00 	-5.44388345178654e-08	 -9.06773642230133e-07	1.96582107897391e-15		1.00000000000041e+00
3.00000000000000e-01    	-7.18559202297055e-09 	 5.70633901852693e+00   -1.85410196620000e+00 	-2.28788901028168e-08	 -1.39725159119147e-06	-1.02097371653695e-14		1.00000000000098e+00
3.30000000000000e-01    	-6.85983104507833e-09 	 5.70633896760333e+00   -1.85410196620000e+00 	5.36991534922135e-08	 -2.01863617630626e-06	-5.33652084720000e-14		1.00000000000204e+00
3.60000000000000e-01    	-3.31390602371043e-09 	 5.70633889627286e+00   -1.85410196620000e+00 	1.95298241155681e-07	 -2.75278977606298e-06	-1.64262518991013e-13		1.00000000000381e+00
3.90000000000000e-01    	5.72203450427864e-09 	 5.70633880172497e+00   -1.85410196620001e+00 	4.23274841658853e-07	 -3.55708497879186e-06	-3.99828797035186e-13		1.00000000000642e+00
4.20000000000000e-01    	2.31544985405448e-08 	 5.70633868284671e+00   -1.85410196620003e+00 	7.58340324135647e-07	 -4.36045940604040e-06	-8.33775092108934e-13		1.00000000000979e+00
4.50000000000000e-01    	5.24712624348172e-08 	 5.70633854111183e+00   -1.85410196620006e+00 	1.21808992625497e-06	 -5.06137908809377e-06	-1.54203312568608e-12		1.00000000001355e+00
4.80000000000000e-01    	9.76064521867162e-08 	 5.70633838149506e+00   -1.85410196620013e+00 	1.81419950142047e-06	 -5.52828822899067e-06	-2.57433125418446e-12		1.00000000001693e+00
5.10000000000000e-01    	1.62718863820414e-07 	 5.70633821332976e+00   -1.85410196620022e+00 	2.54948009840034e-06	 -5.60299376768375e-06	-3.91381744507929e-12		1.00000000001895e+00
