phi	r	period	raio_max	px_mean
.00000000000000e+00	1.00000000000000e+00	9.10197713524723e+03	9.10058209883503e-01	-2.98990059677328e+01
.00000000000000e+00	1.10000000000000e+00	9.14093171953514e+03	1.00372524781895e+00	-2.98787686661482e+01
.00000000000000e+00	1.20000000000000e+00	9.45496420714744e+03	1.09824422571704e+00	-2.98570202313233e+01
.00000000000000e+00	1.30000000000000e+00	9.84840283605712e+03	1.19344109008076e+00	-2.98338969241899e+01
.00000000000000e+00	1.40000000000000e+00	9.09703724244078e+03	1.28967959326353e+00	-2.98094565462495e+01
.00000000000000e+00	1.50000000000000e+00	8.87232047265892e+03	1.38686377217760e+00	-2.97839577200778e+01
.00000000000000e+00	1.60000000000000e+00	9.68042316929068e+03	1.48514078856080e+00	-2.97574858576225e+01
.00000000000000e+00	1.70000000000000e+00	9.06175582510445e+03	1.58425898630490e+00	-2.97302676330031e+01
.00000000000000e+00	1.80000000000000e+00	9.22107112094644e+03	1.68441096127319e+00	-2.97025749688391e+01
.00000000000000e+00	1.90000000000000e+00	9.58926100476901e+03	1.78572234639129e+00	-2.96744034752020e+01
.00000000000000e+00	2.00000000000000e+00	9.47604793366557e+03	1.88841389526418e+00	-2.96461820065867e+01
.00000000000000e+00	2.10000000000000e+00	1.00788028478232e+04	1.99200690575536e+00	-2.96181918019307e+01
.00000000000000e+00	2.20000000000000e+00	9.81473440588323e+03	2.09672336812477e+00	-2.95905194823887e+01
.00000000000000e+00	2.30000000000000e+00	1.04168904510713e+04	2.20295031766372e+00	-2.95635756043281e+01
.00000000000000e+00	2.40000000000000e+00	1.02415575066298e+04	2.30961289812905e+00	-2.95375516163579e+01
.00000000000000e+00	2.50000000000000e+00	1.08515275405269e+04	2.41767162525877e+00	-2.95126444408891e+01
.00000000000000e+00	2.60000000000000e+00	1.05436500602325e+04	2.52627197366972e+00	-2.94894020313529e+01
.00000000000000e+00	2.70000000000000e+00	1.10517613909414e+04	2.63619157229612e+00	-2.94678497553693e+01
.00000000000000e+00	2.80000000000000e+00	1.04070484020791e+04	2.74682911815154e+00	-2.94481610292966e+01
.00000000000000e+00	2.90000000000000e+00	9.66659135464513e+03	2.85746618292431e+00	-2.94309246190217e+01
.00000000000000e+00	3.00000000000000e+00	1.23760431767366e+04	2.96918388104446e+00	-2.94157459858262e+01
.00000000000000e+00	3.10000000000000e+00	1.27463928034904e+04	3.08071138917360e+00	-2.94034302753488e+01
.00000000000000e+00	3.20000000000000e+00	1.24241413130337e+04	3.19263585487184e+00	-2.93934208278487e+01
.00000000000000e+00	3.30000000000000e+00	1.39168063227580e+04	3.30436188764523e+00	-2.93861069869144e+01
.00000000000000e+00	3.40000000000000e+00	1.42409050252941e+04	3.41626317866464e+00	-2.93815413719591e+01
.00000000000000e+00	3.50000000000000e+00	1.72191283417928e+04	3.52742475585592e+00	-2.93797821206992e+01
