phi	r	period	raio_max	px_mean
.00000000000000e+00	1.10000000000000e+00	3.84033443550974e+03	9.00463827944005e-01	-2.97777053819195e+01
.00000000000000e+00	1.20000000000000e+00	3.84503665165876e+03	9.86277721345085e-01	-2.97363152385371e+01
.00000000000000e+00	1.40000000000000e+00	3.83441170730267e+03	1.16255381393275e+00	-2.96438822877515e+01
.00000000000000e+00	1.50000000000000e+00	3.83659659749512e+03	1.25290325985562e+00	-2.95932298931970e+01
.00000000000000e+00	1.60000000000000e+00	3.81793283383430e+03	1.34409930879663e+00	-2.95396025575241e+01
.00000000000000e+00	1.70000000000000e+00	3.84772240843100e+03	1.43813426553505e+00	-2.94834318043253e+01
.00000000000000e+00	1.80000000000000e+00	3.83538221606829e+03	1.53331901836851e+00	-2.94248674016590e+01
.00000000000000e+00	1.90000000000000e+00	3.86751235272310e+03	1.63118373368249e+00	-2.93641497285741e+01
.00000000000000e+00	2.00000000000000e+00	3.89431372830422e+03	1.73089901018645e+00	-2.93016977650282e+01
.00000000000000e+00	2.10000000000000e+00	3.90348510238074e+03	1.83324066865438e+00	-2.92376424078534e+01
.00000000000000e+00	2.30000000000000e+00	4.00316486584648e+03	2.04579938432460e+00	-2.91075844938880e+01
.00000000000000e+00	2.40000000000000e+00	4.06082689818850e+03	2.15664792250709e+00	-2.90423067325317e+01
.00000000000000e+00	2.50000000000000e+00	4.12259775756901e+03	2.27067455957544e+00	-2.89783690621032e+01
.00000000000000e+00	2.60000000000000e+00	4.22891926141628e+03	2.38733792746208e+00	-2.89161132771405e+01
.00000000000000e+00	2.70000000000000e+00	4.33816091841766e+03	2.50669782054435e+00	-2.88563997083334e+01
.00000000000000e+00	2.80000000000000e+00	4.45998646932659e+03	2.62966716636969e+00	-2.88004425495158e+01
.00000000000000e+00	2.90000000000000e+00	4.66423932272636e+03	2.75417680483564e+00	-2.87492341977012e+01
.00000000000000e+00	3.00000000000000e+00	4.89132740640411e+03	2.88210328417133e+00	-2.87034633688659e+01
.00000000000000e+00	3.10000000000000e+00	5.07511692872005e+03	3.01080970993937e+00	-2.86648883649832e+01
.00000000000000e+00	3.20000000000000e+00	5.65211479616999e+03	3.14189292450701e+00	-2.86331635553987e+01
.00000000000000e+00	3.30000000000000e+00	5.88414609371809e+03	3.27229165365361e+00	-2.86093714802340e+01
.00000000000000e+00	3.40000000000000e+00	6.55664607900908e+03	3.40335337019274e+00	-2.85936501542707e+01
0.00000000000000e+00	3.50000000000000e+00	6.68022281046612e+03	3.53332895981098e+00	-2.85874139295796e+01
