phi	r	period	raio_max	px_mean
.00000000000000e+00	1.10000000000000e+00	2.66476445870869e+03	8.42694782352944e-01	-2.47647076737139e+01
.00000000000000e+00	1.30000000000000e+00	2.65162336860741e+03	1.00578341423917e+00	-2.46724819441429e+01
.00000000000000e+00	1.40000000000000e+00	2.64998567708506e+03	1.08890697709219e+00	-2.46208752072004e+01
.00000000000000e+00	1.50000000000000e+00	2.62638995525402e+03	1.17465109009241e+00	-2.45657097104937e+01
.00000000000000e+00	1.60000000000000e+00	2.63134534361126e+03	1.26087369740822e+00	-2.45070791841970e+01
.00000000000000e+00	1.70000000000000e+00	2.63297441810572e+03	1.34896476557183e+00	-2.44450573960772e+01
.00000000000000e+00	1.80000000000000e+00	2.61115082472524e+03	1.43906952098782e+00	-2.43798155783007e+01
.00000000000000e+00	1.90000000000000e+00	2.63797247819287e+03	1.53194236808232e+00	-2.43114937454411e+01
.00000000000000e+00	2.00000000000000e+00	2.61445536611766e+03	1.62753834733791e+00	-2.42401010201820e+01
.00000000000000e+00	2.10000000000000e+00	2.63337029401503e+03	1.72432275755993e+00	-2.41662343246781e+01
.00000000000000e+00	2.20000000000000e+00	2.63919109141122e+03	1.82632709524620e+00	-2.40897989031709e+01
.00000000000000e+00	2.30000000000000e+00	2.67456752205108e+03	1.92962519424227e+00	-2.40114060595539e+01
.00000000000000e+00	2.40000000000000e+00	2.69490532836480e+03	2.03798599698819e+00	-2.39317727334489e+01
.00000000000000e+00	2.50000000000000e+00	2.72383899412549e+03	2.14926187112683e+00	-2.38513748674817e+01
.00000000000000e+00	2.60000000000000e+00	2.76990600639592e+03	2.26607407321209e+00	-2.37712802804822e+01
.00000000000000e+00	2.70000000000000e+00	2.83021835020930e+03	2.38734107213290e+00	-2.36922645622842e+01
.00000000000000e+00	2.80000000000000e+00	2.90161769347844e+03	2.51658142398076e+00	-2.36158435500384e+01
.00000000000000e+00	2.90000000000000e+00	2.99186541297141e+03	2.65010260086779e+00	-2.35436243182833e+01
.00000000000000e+00	3.10000000000000e+00	3.25840932339883e+03	2.93400198487436e+00	-2.34188323823994e+01
.00000000000000e+00	3.20000000000000e+00	3.50047243028045e+03	3.08207319122677e+00	-2.33699972698713e+01
.00000000000000e+00	3.30000000000000e+00	3.76307102645022e+03	3.22979955665259e+00	-2.33327180152724e+01
.00000000000000e+00	3.40000000000000e+00	4.36902469296458e+03	3.38132944942993e+00	-2.33063569714418e+01
0.00000000000000e+00	3.50000000000000e+00	5.09418622773868e+03	3.52952836020233e+00	-2.32932524255178e+01
