phi	r	period	raio_max	px_mean
0.00000000000000e+00	1.00000000000000e+00	6.97230387719292e+03	8.87570310735658e-01	-1.99188636629937e+01
.00000000000000e+00	1.10000000000000e+00	7.26435708584998e+03	9.79397648213051e-01	-1.99024514837704e+01
0.00000000000000e+00	1.20000000000000e+00	7.10967085137620e+03	1.07218213382773e+00	-1.98847638181126e+01
0.00000000000000e+00	1.30000000000000e+00	7.03755787190709e+03	1.16562319906055e+00	-1.98658584654098e+01
0.00000000000000e+00	1.40000000000000e+00	7.58835813724792e+03	1.26059211417456e+00	-1.98458426413158e+01
0.00000000000000e+00	1.60000000000000e+00	7.03757285488700e+03	1.45323206130342e+00	-1.98029175807703e+01
0.00000000000000e+00	1.70000000000000e+00	7.32766780315864e+03	1.55151762080421e+00	-1.97802697248940e+01
0.00000000000000e+00	1.80000000000000e+00	7.15945443687416e+03	1.65104387190735e+00	-1.97570212427531e+01
0.00000000000000e+00	1.90000000000000e+00	7.56046815685042e+03	1.75219092036950e+00	-1.97333817507907e+01
0.00000000000000e+00	2.00000000000000e+00	7.33832186044761e+03	1.85466682557657e+00	-1.97094839030719e+01
0.00000000000000e+00	2.10000000000000e+00	7.91257624323955e+03	1.95823946719089e+00	-1.96855132162590e+01
0.00000000000000e+00	2.20000000000000e+00	7.57078999308254e+03	2.06374639533763e+00	-1.96617849154058e+01
0.00000000000000e+00	2.30000000000000e+00	8.01216949987950e+03	2.17092547545081e+00	-1.96385355210780e+01
0.00000000000000e+00	2.40000000000000e+00	7.85239157413412e+03	2.27881929677362e+00	-1.96159364608283e+01
.00000000000000e+00	2.50000000000000e+00	8.10281245004066e+03	2.38874062342851e+00	-1.95941683695190e+01
0.00000000000000e+00	2.60000000000000e+00	8.38519915218333e+03	2.49946897592431e+00	-1.95735981513160e+01
0.00000000000000e+00	2.70000000000000e+00	8.50176506044552e+03	2.61151617658231e+00	-1.95545923317449e+01
0.00000000000000e+00	2.80000000000000e+00	8.68533618819112e+03	2.72501124826087e+00	-1.95370238097043e+01
.00000000000000e+00	2.90000000000000e+00	9.69318270547005e+03	2.83916888666911e+00	-1.95214559617857e+01
0.00000000000000e+00	3.00000000000000e+00	8.77827947567522e+03	2.95365311163338e+00	-1.95079715817646e+01
.00000000000000e+00	3.10000000000000e+00	9.38429828913953e+03	3.06859114739392e+00	-1.94967304450092e+01
.00000000000000e+00	3.20000000000000e+00	1.01358019304013e+04	3.18409850612936e+00	-1.94877700306514e+01
.00000000000000e+00	3.30000000000000e+00	1.09320458742856e+04	3.29951497434389e+00	-1.94810834659190e+01
.00000000000000e+00	3.40000000000000e+00	1.12127468945276e+04	3.41501348299655e+00	-1.94769967336117e+01
0.00000000000000e+00	3.50000000000000e+00	1.23374145429001e+04	3.52996383178425e+00	-1.94753278406998e+01
