phi	r	period	raio_max	px_mean
.00000000000000e+00	1.00000000000000e+00	3.79831220159214e+03	8.15065436646386e-01	-2.48464464692870e+01
.00000000000000e+00	1.10000000000000e+00	3.84058908658448e+03	9.00414034397455e-01	-2.48147737559853e+01
.00000000000000e+00	1.20000000000000e+00	3.84510193949243e+03	9.86460787175287e-01	-2.47802799789541e+01
.00000000000000e+00	1.30000000000000e+00	3.80747883607616e+03	1.07384107819509e+00	-2.47431030545375e+01
.00000000000000e+00	1.40000000000000e+00	3.83687001864895e+03	1.16247663843686e+00	-2.47032783922238e+01
.00000000000000e+00	1.50000000000000e+00	3.84164678386919e+03	1.25304446562439e+00	-2.46610364114163e+01
.00000000000000e+00	1.60000000000000e+00	3.82039697480372e+03	1.34371040277878e+00	-2.46163708641912e+01
.00000000000000e+00	1.70000000000000e+00	3.85111464666414e+03	1.43837447232479e+00	-2.45695595844715e+01
.00000000000000e+00	1.80000000000000e+00	3.83343624632270e+03	1.53301492184842e+00	-2.45207532434730e+01
.00000000000000e+00	1.90000000000000e+00	3.83946418598077e+03	1.63143947405609e+00	-2.44701792685645e+01
.00000000000000e+00	2.00000000000000e+00	3.89572339614992e+03	1.73093036202548e+00	-2.44181208037814e+01
.00000000000000e+00	2.10000000000000e+00	3.89909407428807e+03	1.83301856084425e+00	-2.43647498047203e+01
.00000000000000e+00	2.30000000000000e+00	3.99941903947121e+03	2.04599552927636e+00	-2.42563550138244e+01
.00000000000000e+00	2.40000000000000e+00	4.05641724593560e+03	2.15662335616805e+00	-2.42019739570069e+01
.00000000000000e+00	2.50000000000000e+00	4.11308974737303e+03	2.27055823698427e+00	-2.41487414441800e+01
.00000000000000e+00	2.60000000000000e+00	4.22833634159986e+03	2.38711950884970e+00	-2.40968540354757e+01
.00000000000000e+00	2.70000000000000e+00	4.33619280771506e+03	2.50715285061457e+00	-2.40471077789888e+01
.00000000000000e+00	2.80000000000000e+00	4.46322169885118e+03	2.62933002838108e+00	-2.40004258079068e+01
.00000000000000e+00	2.90000000000000e+00	4.66006631525799e+03	2.75468528217605e+00	-2.39578014194326e+01
.00000000000000e+00	3.00000000000000e+00	5.00679142530839e+03	2.88213642778223e+00	-2.39197677033200e+01
.00000000000000e+00	3.10000000000000e+00	5.11677832704214e+03	3.01100241837462e+00	-2.38875364879971e+01
.00000000000000e+00	3.20000000000000e+00	5.63519290770896e+03	3.14157676742026e+00	-2.38611049893731e+01
.00000000000000e+00	3.30000000000000e+00	5.88002466232189e+03	3.27242053406796e+00	-2.38412360977172e+01
.00000000000000e+00	3.40000000000000e+00	6.58255026815373e+03	3.40338328333257e+00	-2.38284244575749e+01
.00000000000000e+00	3.50000000000000e+00	6.66351180869495e+03	3.53346913708571e+00	-2.38229495491959e+01
