phi	r	period	raio_max	px_mean
0.00000000000000e+00	1.00000000000000e+00	3.63700192471924e+04	9.79134519503528e-01	-2.99707664664348e+01
0.00000000000000e+00	1.10000000000000e+00	3.61483447499572e+04	1.07793807635029e+00	-2.99651243324973e+01
0.00000000000000e+00	1.20000000000000e+00	3.59933078867039e+04	1.17702480226971e+00	-2.99591341062579e+01
0.00000000000000e+00	1.50000000000000e+00	3.67934373517539e+04	1.47574878201957e+00	-2.99396066557707e+01
0.00000000000000e+00	1.60000000000000e+00	3.74617995269511e+04	1.57581087352731e+00	-2.99327653786623e+01
0.00000000000000e+00	1.70000000000000e+00	3.79890955488573e+04	1.67628764622117e+00	-2.99258339728709e+01
0.00000000000000e+00	1.80000000000000e+00	3.75774987857837e+04	1.77693880392078e+00	-2.99188988475411e+01
0.00000000000000e+00	1.90000000000000e+00	4.09872128557786e+04	1.87780931252973e+00	-2.99119966540416e+01
0.00000000000000e+00	2.00000000000000e+00	4.04936251054676e+04	1.97898101622929e+00	-2.99051954130627e+01
0.00000000000000e+00	2.10000000000000e+00	3.92122037935816e+04	2.08046727564410e+00	-2.98985635384863e+01
0.00000000000000e+00	2.20000000000000e+00	3.87059127191204e+04	2.18209664917560e+00	-2.98921373477063e+01
0.00000000000000e+00	2.30000000000000e+00	4.05605402102729e+04	2.28398448796408e+00	-2.98859625637811e+01
0.00000000000000e+00	2.40000000000000e+00	3.33476525699742e+04	2.38603014798093e+00	-2.98801266523901e+01
0.00000000000000e+00	2.50000000000000e+00	4.54353306752351e+04	2.48820987574203e+00	-2.98746354058069e+01
0.00000000000000e+00	2.60000000000000e+00	4.24236667905428e+04	2.59070088543415e+00	-2.98695527040657e+01
0.00000000000000e+00	2.70000000000000e+00	4.21290390066932e+04	2.69320505092190e+00	-2.98649116878684e+01
0.00000000000000e+00	2.80000000000000e+00	4.53657586196129e+04	2.79591214964971e+00	-2.98607477143318e+01
0.00000000000000e+00	2.90000000000000e+00	4.75299640063106e+04	2.89850579532090e+00	-2.98570712881906e+01
0.00000000000000e+00	3.00000000000000e+00	4.85249741211163e+04	3.00135415239803e+00	-2.98539246390379e+01
0.00000000000000e+00	3.10000000000000e+00	4.95622848570650e+04	3.10414211221763e+00	-2.98513122993996e+01
0.00000000000000e+00	3.20000000000000e+00	5.28306742737836e+04	3.20686690629684e+00	-2.98492334426350e+01
0.00000000000000e+00	3.30000000000000e+00	5.54933193960863e+04	3.30965976704634e+00	-2.98477229983261e+01
0.00000000000000e+00	3.50000000000000e+00	5.76235987034592e+04	3.51498824396898e+00	-2.98463240512290e+01
