phi	r	period	raio_max	px_mean
.00000000000000e+00	1.10000000000000e+00	6.13230437881738e+03	9.63920505386994e-01	-2.48653736744366e+01
.00000000000000e+00	1.20000000000000e+00	6.07885591371006e+03	1.05574783051356e+00	-2.48407461050318e+01
.00000000000000e+00	1.30000000000000e+00	6.39629715516815e+03	1.14809959636423e+00	-2.48144514206671e+01
.00000000000000e+00	1.40000000000000e+00	6.15029624936830e+03	1.24118959292389e+00	-2.47865408261475e+01
.00000000000000e+00	1.50000000000000e+00	6.12754382871274e+03	1.33682324161024e+00	-2.47570984678365e+01
.00000000000000e+00	1.70000000000000e+00	6.21711805707196e+03	1.53020221740488e+00	-2.46945849885169e+01
.00000000000000e+00	1.80000000000000e+00	6.38373865282965e+03	1.62946025068126e+00	-2.46617325363796e+01
.00000000000000e+00	1.90000000000000e+00	6.16953412809563e+03	1.72959850643966e+00	-2.46281949877759e+01
.00000000000000e+00	2.00000000000000e+00	7.08953858842906e+03	1.83209829698432e+00	-2.45941891143497e+01
.00000000000000e+00	2.10000000000000e+00	6.43339536808298e+03	1.93611372234276e+00	-2.45599682029413e+01
.00000000000000e+00	2.20000000000000e+00	6.54190367816976e+03	2.04187478386370e+00	-2.45259440849278e+01
.00000000000000e+00	2.30000000000000e+00	6.58053834727811e+03	2.14895901541079e+00	-2.44923787113522e+01
.00000000000000e+00	2.40000000000000e+00	6.82307788974280e+03	2.25780912519421e+00	-2.44595837679564e+01
.00000000000000e+00	2.50000000000000e+00	7.06204727472434e+03	2.36864493292054e+00	-2.44279549743432e+01
.00000000000000e+00	2.60000000000000e+00	7.77119535466265e+03	2.48067921514390e+00	-2.43980074676895e+01
.00000000000000e+00	2.70000000000000e+00	7.35866665877173e+03	2.59416510884582e+00	-2.43699877460625e+01
.00000000000000e+00	2.80000000000000e+00	7.52194104020298e+03	2.70923460353057e+00	-2.43440582151337e+01
.00000000000000e+00	2.90000000000000e+00	8.08432436388714e+03	2.82537984731001e+00	-2.43210748790500e+01
.00000000000000e+00	3.00000000000000e+00	8.37742678512395e+03	2.94270037938684e+00	-2.43011155393984e+01
.00000000000000e+00	3.10000000000000e+00	8.20871356113889e+03	3.06020747768413e+00	-2.42841658290808e+01
.00000000000000e+00	3.20000000000000e+00	8.26091012048392e+03	3.17803885373461e+00	-2.42706754419182e+01
.00000000000000e+00	3.30000000000000e+00	1.13831819852256e+04	3.29583013929437e+00	-2.42609662985439e+01
.00000000000000e+00	3.40000000000000e+00	1.01082529801119e+04	3.41355509356790e+00	-2.42546572839889e+01
0.00000000000000e+00	3.50000000000000e+00	1.21919252025739e+04	3.53085513570218e+00	-2.42521767198406e+01
