0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	-3.09016994370000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	9.89245842237061e-13 	 9.51056516301858e-01   -3.09016994370000e-01 	1.64296471142821e-10	 3.71196420430261e-10	8.78927135460228e-21		1.00000000000000e+00
6.00000000000000e-02    	3.08347006076554e-11 	 9.51056516417716e-01   -3.09016994370000e-01 	2.53345708612230e-09	 1.17191305901629e-08	4.25289007429707e-18		1.00000000000000e+00
9.00000000000000e-02    	2.23999262407413e-10 	 9.51056517618784e-01   -3.09016994370000e-01 	1.20429646874160e-08	 8.70468589213526e-08	1.48479570921143e-16		1.00000000000000e+00
1.20000000000000e-01    	8.85566936270876e-10 	 9.51056523540481e-01   -3.09016994370000e-01 	3.47061375992622e-08	 3.55649187155997e-07	1.71636354495412e-15		1.00000000000006e+00
1.50000000000000e-01    	2.48058818717929e-09 	 9.51056543110255e-01   -3.09016994370000e-01 	7.46063414363360e-08	 1.04278865370074e-06	1.05027561994977e-14		1.00000000000055e+00
1.80000000000000e-01    	5.52260742584535e-09 	 9.51056593478260e-01   -3.09016994369999e-01 	1.30259770008712e-07	 2.46948508171844e-06	4.13332020854315e-14		1.00000000000306e+00
2.10000000000000e-01    	1.03498161228388e-08 	 9.51056702600233e-01   -3.09016994369997e-01 	1.90851367661668e-07	 5.02920044718990e-06	1.12626455190621e-13		1.00000000001266e+00
2.40000000000000e-01    	1.67933855739837e-08 	 9.51056910761933e-01   -3.09016994369992e-01 	2.32907131399643e-07	 9.14069354159012e-06	2.03466348270951e-13		1.00000000004180e+00
2.70000000000000e-01    	2.37596939973122e-08 	 9.51057270353138e-01   -3.09016994369986e-01 	2.17974522882336e-07	 1.51790286661010e-05	1.31690448845248e-13		1.00000000011523e+00
3.00000000000000e-01    	2.87647532088036e-08 	 9.51057843299603e-01   -3.09016994369992e-01 	9.18361103190470e-08	 2.33894302794628e-05	-6.83946979984821e-13		1.00000000027354e+00
3.30000000000000e-01    	2.74735211723138e-08 	 9.51058695740200e-01   -3.09016994370048e-01 	-2.14318450220291e-07	 3.37911552643148e-05	-3.57492099933990e-12		1.00000000057094e+00
3.60000000000000e-01    	1.33074405882126e-08 	 9.51059889783495e-01   -3.09016994370251e-01 	-7.80484021643860e-07	 4.60805891471756e-05	-1.10039043964532e-11		1.00000000106201e+00
3.90000000000000e-01    	-2.28107923982827e-08 	 9.51061472476950e-01   -3.09016994370791e-01 	-1.69210070246367e-06	 5.95441690769161e-05	-2.67844353095467e-11		1.00000000177419e+00
4.20000000000000e-01    	-9.25064525791440e-08 	 9.51063462451239e-01   -3.09016994371991e-01 	-3.03209593045344e-06	 7.29923395678486e-05	-5.58544112885808e-11		1.00000000266854e+00
4.50000000000000e-01    	-2.09733819628946e-07 	 9.51065835036228e-01   -3.09016994374327e-01 	-4.87103540604745e-06	 8.47254518923436e-05	-1.03300502503943e-10		1.00000000360106e+00
