y	z	phi	r	period	thetamin	thetamax
1.00000000004226e-01	4.61754593366297e-22	4.61754593346783e-21	1.00000000004226e-01	4.58888333333443e+03	-9.33053018116160e-03	1.15667729518535e-02
2.00000000008443e-01	9.21295422267406e-22	4.60647711114257e-21	2.00000000008443e-01	5.62558333333820e+03	-1.43094033804955e-02	1.47985548682258e-02
3.00000000012639e-01	1.37642640169403e-21	4.58808800545347e-21	3.00000000012639e-01	6.76858333334236e+03	-3.12866838001488e-02	3.06438402057785e-02
5.00000000020931e-01	2.26486736844373e-21	4.52973473669784e-21	5.00000000020931e-01	6.71260000000883e+03	-2.37495677965128e-01	2.41435640823854e-01
6.00000000025006e-01	2.69402876953989e-21	4.49004794904602e-21	6.00000000025006e-01	4.61400000000119e+03	-4.93753645389196e-01	5.31976356007872e-01
7.00000000029023e-01	3.11051540297203e-21	4.44359343263295e-21	7.00000000029023e-01	3.96324999999867e+03	4.11548637620263e-02	3.12422149421112e+00
8.00000000032971e-01	3.51247117959576e-21	4.39058897431375e-21	8.00000000032971e-01	3.12774999999943e+03	3.41648201077890e-02	3.12431389399505e+00
9.00000000036841e-01	3.89815305453495e-21	4.33128117152820e-21	9.00000000036841e-01	2.77559999999929e+03	4.29350995990605e-02	3.11982590448992e+00
1.00000000004062e+00	4.26594352207908e-21	4.26594352190580e-21	1.00000000004062e+00	2.33299999999970e+03	3.86987095055834e-02	3.12038690317806e+00
1.10000000004431e+00	4.61436175618342e-21	4.19487432363413e-21	1.10000000004431e+00	2.11266666666626e+03	4.64257581030492e-02	3.11685261144277e+00
1.20000000004790e+00	4.94207329115391e-21	4.11839440913053e-21	1.20000000004790e+00	1.85524166666649e+03	4.38409254808456e-02	3.11745475003471e+00
1.30000000005137e+00	5.24789815711681e-21	4.03684473608418e-21	1.30000000005137e+00	1.69306428571404e+03	4.61971199710379e-02	3.11341256748709e+00
1.40000000005473e+00	5.53081740580718e-21	3.95058386113640e-21	1.40000000005473e+00	1.53348749999974e+03	4.79092879672443e-02	3.11360391903963e+00
1.50000000005796e+00	5.78997798371413e-21	3.85998532232694e-21	1.50000000005796e+00	1.39468749999987e+03	4.57774929523084e-02	3.11349285263268e+00
1.60000000006107e+00	6.02469593134484e-21	3.76543495694680e-21	1.60000000006107e+00	1.29789999999983e+03	5.44617526447316e-02	3.11160789704053e+00
1.70000000006403e+00	6.23445790896519e-21	3.66732818160610e-21	1.70000000006403e+00	1.19539999999992e+03	5.15810243811274e-02	3.11073523241453e+00
1.80000000006686e+00	6.41892107030547e-21	3.56606726114836e-21	1.80000000006686e+00	1.12271999999992e+03	5.61447487091547e-02	3.10724457391054e+00
1.90000000006953e+00	6.57791132606024e-21	3.46205859253659e-21	1.90000000006953e+00	1.05045000000000e+03	5.48656717001932e-02	3.10656389550227e+00
2.00000000007206e+00	6.71142005826098e-21	3.35571002900958e-21	2.00000000007206e+00	9.86450000000018e+02	5.48796966673967e-02	3.10860593072710e+00
2.10000000007443e+00	6.81959936448351e-21	3.24742826868657e-21	2.10000000007443e+00	9.36362500000024e+02	5.74597296341573e-02	3.10357938248136e+00
2.20000000007665e+00	6.90275592712224e-21	3.13761633040079e-21	2.20000000007665e+00	8.84487500000011e+02	6.02871630223881e-02	3.10632827605325e+00
2.30000000007870e+00	6.96134361741259e-21	3.02667113790191e-21	2.30000000007870e+00	8.46626923076941e+02	6.52778073520908e-02	3.10416843110391e+00
2.40000000008059e+00	6.99595495633690e-21	2.91498123170916e-21	2.40000000008059e+00	8.07384615384624e+02	6.26119415860446e-02	3.10405062137940e+00
2.50000000008232e+00	7.00731156487548e-21	2.80292462585790e-21	2.50000000008232e+00	7.76257142857157e+02	6.40099503168920e-02	3.09918115276633e+00
2.60000000008389e+00	6.99625374417180e-21	2.69086682459464e-21	2.60000000008389e+00	7.45378571428578e+02	6.54176254866736e-02	3.09361604577997e+00
2.70000000008529e+00	6.96372933201804e-21	2.57915901177706e-21	2.70000000008529e+00	7.21180000000013e+02	6.59106138723139e-02	3.09660504679039e+00
2.80000000008652e+00	6.91078198562514e-21	2.46813642336128e-21	2.80000000008652e+00	6.96440000000007e+02	6.82511003992383e-02	3.09991419105217e+00
2.90000000008759e+00	6.83853904195003e-21	2.35811691094603e-21	2.90000000008759e+00	6.78625000000012e+02	7.18796399141345e-02	3.09870991386829e+00
3.00000000008850e+00	6.74819910598002e-21	2.24939970192698e-21	3.00000000008850e+00	6.59631250000008e+02	7.11570736038088e-02	3.09816013515391e+00
3.10000000008924e+00	6.64101951442141e-21	2.14226435942911e-21	3.10000000008924e+00	6.46531250000005e+02	7.30027592877928e-02	3.09321212672451e+00
3.20000000008983e+00	6.51830381734247e-21	2.03696994286234e-21	3.20000000008983e+00	5.99791666666677e+02	7.39452370838698e-02	3.08592363176818e+00
3.30000000009026e+00	6.38138941363885e-21	1.93375436771646e-21	3.30000000009026e+00	5.25400000000006e+02	9.03207887907066e-02	3.09054177296896e+00
9.96194698123808e-02	8.71557427480000e-03	8.72664625972626e-02	1.00000000003197e-01	4.38468333333369e+03	-8.63312441376965e-02	8.61693984984631e-02
1.99238939626754e-01	1.74311485500000e-02	8.72664625983867e-02	2.00000000008414e-01	4.56788333333436e+03	-8.70006965545263e-02	8.96264512839351e-02
2.98858409440110e-01	2.61467228240000e-02	8.72664625950722e-02	3.00000000012513e-01	5.99398333333954e+03	-9.11010198609237e-02	9.22412139773366e-02
9.96194698122496e-01	8.71557427480000e-02	8.72664625973769e-02	1.00000000003066e+00	3.03624999999951e+03	1.86139364725195e-02	3.12978259231796e+00
1.09581416793545e+00	9.58713170220000e-02	8.72664625965966e-02	1.10000000003436e+00	2.50469999999954e+03	2.32627456015816e-02	3.12635592921988e+00
1.19543363773831e+00	1.04586891300000e-01	8.72664626000001e-02	1.20000000002835e+00	2.19166666666619e+03	3.28558231687932e-02	3.12094790186620e+00
1.29505310754109e+00	1.13302465570000e-01	8.72664625967549e-02	1.30000000002157e+00	1.89584166666646e+03	3.26071137503841e-02	3.11991566428002e+00
1.39467257734378e+00	1.22018039850000e-01	8.72664626010946e-02	1.40000000001556e+00	1.71986428571402e+03	3.91611607318635e-02	3.11483675615672e+00
1.49429204714637e+00	1.30733614120000e-01	8.72664625982202e-02	1.50000000000859e+00	1.55101428571417e+03	4.12691034948841e-02	3.11431791736999e+00
1.59391151694885e+00	1.39449188400000e-01	8.72664626019373e-02	1.60000000000238e+00	1.40208749999986e+03	4.14690230273853e-02	3.11473203640160e+00
1.69353098685122e+00	1.48164762670000e-01	8.72664625942360e-02	1.70000000009480e+00	1.30359999999982e+03	4.75951287018854e-02	3.10986256778854e+00
1.79315045665348e+00	1.56880336950000e-01	8.72664625977721e-02	1.80000000008837e+00	1.20089999999992e+03	4.75951287018854e-02	3.10989398371507e+00
1.89276992645562e+00	1.65595911220000e-01	8.72664625956983e-02	1.90000000008095e+00	1.12431999999991e+03	4.71587963888868e-02	3.10528481849331e+00
1.99238939625764e+00	1.74311485500000e-01	8.72664625988181e-02	2.00000000007427e+00	1.05207499999998e+03	5.38979489631499e-02	3.11056942613559e+00
2.09200886605954e+00	1.83027059770000e-01	8.72664625969020e-02	2.10000000006661e+00	9.85540909090927e+02	5.07210133922072e-02	3.10600289681413e+00
