y	z	phi	r	period	thetamin	thetamax
1.00000000000060e-01	2.30860071509190e-25	2.30860071509051e-24	1.00000000000060e-01	1.01833750000000e+02	-3.52689975257417e-02	3.81815707148788e-02
2.00000000000119e-01	4.60613343366127e-25	2.30306671682926e-24	2.00000000000119e-01	1.02133750000000e+02	-3.62809071594568e-02	3.86546796085444e-02
3.00000000000178e-01	6.88161854987023e-25	2.29387284995538e-24	3.00000000000178e-01	1.03976000000000e+02	-4.24725873472820e-02	2.87455727803467e-02
4.00000000000237e-01	9.12425225151476e-25	2.28106306287734e-24	4.00000000000237e-01	1.06076000000000e+02	-3.89124165920499e-02	4.20973415581034e-02
5.00000000000295e-01	1.13234919616867e-24	2.26469839233600e-24	5.00000000000295e-01	1.08750666666666e+02	-4.03694655986288e-02	4.28094358929171e-02
6.00000000000352e-01	1.34691388737151e-24	2.24485647895120e-24	6.00000000000352e-01	1.11282857142857e+02	-4.27860753321594e-02	4.58767727201494e-02
7.00000000000409e-01	1.55514166755149e-24	2.22163095364369e-24	7.00000000000409e-01	1.15900000000000e+02	-4.57415890362673e-02	4.97656836261839e-02
8.00000000000464e-01	1.75610456137472e-24	2.19513070171713e-24	8.00000000000464e-01	1.20218461538461e+02	-4.99862297771175e-02	5.37543037727392e-02
9.00000000000519e-01	1.94893111142464e-24	2.16547901269280e-24	9.00000000000519e-01	1.25004615384615e+02	-2.77376451373197e-02	3.25852971347342e-02
1.00000000000057e+00	2.13281262518461e-24	2.13281262518339e-24	1.00000000000057e+00	1.30905000000000e+02	-5.99625317815171e-02	6.42769856924472e-02
1.10000000000062e+00	2.30700874487242e-24	2.09728067715556e-24	1.10000000000062e+00	1.38364999999999e+02	-6.70281232590906e-02	7.04047448367650e-02
1.20000000000067e+00	2.47085228742159e-24	2.05904357285018e-24	1.20000000000067e+00	1.44551818181818e+02	-6.71201270439458e-02	8.72315560146768e-02
1.30000000000072e+00	2.62375331191275e-24	2.01827177839331e-24	1.30000000000072e+00	1.53045454545454e+02	-9.26769832808988e-02	9.03812040340450e-02
1.40000000000077e+00	2.76520238222439e-24	1.97514455873062e-24	1.40000000000077e+00	1.59419999999999e+02	-9.59328156673464e-02	9.54651467609599e-02
1.50000000000082e+00	2.89477300342375e-24	1.92984866894811e-24	1.50000000000082e+00	1.66104999999999e+02	-1.04889924721729e-01	1.13231975214386e-01
1.60000000000086e+00	3.01212322127940e-24	1.88257701329861e-24	1.60000000000086e+00	1.72318999999999e+02	-1.23333691592179e-01	1.29080188154371e-01
1.70000000000090e+00	3.11699638507467e-24	1.83352728533707e-24	1.70000000000090e+00	1.76287999999999e+02	-1.34774324839002e-01	1.42583426577925e-01
1.80000000000094e+00	3.20922108446523e-24	1.78290060247975e-24	1.80000000000094e+00	1.79235555555555e+02	-1.50717907555970e-01	1.60692464231118e-01
1.90000000000098e+00	3.28871028129367e-24	1.73090014804841e-24	1.90000000000098e+00	1.83149999999999e+02	-1.91715691685317e-01	2.00119452033670e-01
2.00000000000102e+00	3.35545966689846e-24	1.67772983344837e-24	2.00000000000102e+00	1.83133333333332e+02	-1.97920337176157e-01	2.04203522483337e-01
2.10000000000105e+00	3.40954528439502e-24	1.62359299256825e-24	2.10000000000105e+00	1.84533333333332e+02	-2.27765467385260e-01	2.39546439836222e-01
2.20000000000108e+00	3.45112046354149e-24	1.56869111979082e-24	2.20000000000108e+00	1.82697777777777e+02	-2.80020625189970e-01	2.94890830416962e-01
2.30000000000111e+00	3.48041212302586e-24	1.51322266218443e-24	2.30000000000111e+00	1.87459999999999e+02	-2.55914137561424e-01	2.78240389352936e-01
2.40000000000113e+00	3.49771650123739e-24	1.45738187551489e-24	2.40000000000113e+00	1.86339999999999e+02	-3.66204983653450e-01	3.88457931616378e-01
2.50000000000116e+00	3.50339438174838e-24	1.40135775269870e-24	2.50000000000116e+00	1.85086666666666e+02	-3.66100263898330e-01	3.85724746007755e-01
2.60000000000118e+00	3.49786588378544e-24	1.34533303222456e-24	2.60000000000118e+00	1.77486666666666e+02	-4.27413680520891e-01	4.54666996790783e-01
2.70000000000120e+00	3.48160489088795e-24	1.28948329292089e-24	2.70000000000120e+00	1.84677777777777e+02	-4.37466777012379e-01	4.74380490692059e-01
2.80000000000122e+00	3.45513319273012e-24	1.23397614026022e-24	2.80000000000122e+00	1.83509999999999e+02	-5.32735574232489e-01	5.47579599520701e-01
3.00000000000125e+00	3.37384781769212e-24	1.12461593923024e-24	3.00000000000125e+00	2.02523749999999e+02	-6.48895962598972e-01	6.21092867614702e-01
3.10000000000126e+00	3.32026202004445e-24	1.07105226453003e-24	3.10000000000126e+00	2.77083333333338e+02	5.04225620901162e-02	3.10797761219638e+00
3.20000000000126e+00	3.25890874920189e-24	1.01840898412519e-24	3.20000000000126e+00	2.20762499999998e+02	-5.77110570464445e-01	9.29283106931861e-01
9.96194698090285e-02	8.71557427480000e-03	8.72664626001843e-02	9.99999999998575e-02	1.01833750000000e+02	-8.77093398974099e-02	9.06454200315777e-02
1.99238939620057e-01	1.74311485500000e-02	8.72664626013051e-02	2.00000000001742e-01	1.02533750000000e+02	-9.40999399534071e-02	9.14038115212864e-02
2.98858409430085e-01	2.61467228240000e-02	8.72664625979846e-02	3.00000000002526e-01	1.03576000000000e+02	-9.89316086548639e-02	9.16821456072623e-02
3.98477879240114e-01	3.48622970990000e-02	8.72664625988147e-02	4.00000000003397e-01	1.05176000000000e+02	-8.77970426923227e-02	9.25548102332595e-02
4.98097349050141e-01	4.35778713740000e-02	8.72664625993130e-02	5.00000000004267e-01	1.08250666666666e+02	-8.95519253254858e-02	9.55044166691298e-02
5.97716818860169e-01	5.22934456490000e-02	8.72664625996451e-02	6.00000000005138e-01	1.11382857142857e+02	-9.25827355012911e-02	9.74791320513863e-02
6.97336288660196e-01	6.10090199230000e-02	8.72664625997044e-02	6.99999999995958e-01	1.15000000000000e+02	-9.51453775087193e-02	1.00245365582729e-01
7.96955758470223e-01	6.97245941980000e-02	8.72664625999046e-02	7.99999999996828e-01	1.19388571428571e+02	-9.84496597818700e-02	1.02127941180448e-01
8.96575228280249e-01	7.84401684730000e-02	8.72664626000605e-02	8.99999999997696e-01	1.24318461538461e+02	-9.93999915595809e-02	1.07882291724274e-01
9.96194698090274e-01	8.71557427480000e-02	8.72664626001853e-02	9.99999999998564e-01	1.29604615384615e+02	-1.08809985554922e-01	1.08474706338951e-01
1.09581416790030e+00	9.58713170220000e-02	8.72664625993816e-02	1.09999999999935e+00	1.33765000000000e+02	-8.59335181198212e-02	1.23992950050546e-01
1.19543363770032e+00	1.04586891300000e-01	8.72664626027593e-02	1.19999999999051e+00	1.43151818181818e+02	-1.13296303063960e-01	1.26219526382304e-01
1.29505310750035e+00	1.13302465570000e-01	8.72664625994863e-02	1.29999999998098e+00	1.51045454545454e+02	-1.20776784238008e-01	1.33255888389767e-01
1.39467257730037e+00	1.22018039850000e-01	8.72664626037971e-02	1.39999999997232e+00	1.59719999999999e+02	-1.32086517790931e-01	1.36545040698298e-01
