0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.60529178637256e-12 	 3.09016994386283e-01   -9.51056516300000e-01 	-4.32955431041333e-10	 2.72601721976064e-09	1.06362529095986e-19		1.00000000000000e+00
6.00000000000000e-02    	-8.14568987348267e-11 	 3.09016994898214e-01   -9.51056516300000e-01 	-6.70127038967749e-09	 4.41067725041383e-08	5.06853301298218e-17		1.00000000000000e+00
9.00000000000000e-02    	-5.93684748600154e-10 	 3.09016998367415e-01   -9.51056516300000e-01 	-3.19860501009481e-08	 2.20492928137924e-07	1.84069646559973e-15		1.00000000000002e+00
1.20000000000000e-01    	-2.35557145326549e-09 	 3.09017010873806e-01   -9.51056516300000e-01 	-9.26174769931067e-08	 6.71636992143265e-07	2.27428051615485e-14		1.00000000000023e+00
1.50000000000000e-01    	-6.62555101522946e-09 	 3.09017042855038e-01   -9.51056516299998e-01 	-2.00258432977107e-07	 1.53993027998836e-06	1.53137557144626e-13		1.00000000000121e+00
1.80000000000000e-01    	-1.48236983165404e-08 	 3.09017108356243e-01   -9.51056516299987e-01 	-3.52350402022220e-07	 2.91280603210186e-06	6.92558094926061e-13		1.00000000000430e+00
2.10000000000000e-01    	-2.79545712960974e-08 	 3.09017222382088e-01   -9.51056516299945e-01 	-5.22126690407261e-07	 4.75513289146718e-06	2.34707122012167e-12		1.00000000001144e+00
2.40000000000000e-01    	-4.57422954312525e-08 	 3.09017396176869e-01   -9.51056516299822e-01 	-6.49668608764077e-07	 6.84024743148458e-06	6.34431524172790e-12		1.00000000002361e+00
2.70000000000000e-01    	-6.55319394801281e-08 	 3.09017630536165e-01   -9.51056516299526e-01 	-6.35516035485996e-07	 8.68936171645846e-06	1.41765504312999e-11		1.00000000003795e+00
3.00000000000000e-01    	-8.10553135188734e-08 	 3.09017907551334e-01   -9.51056516298925e-01 	-3.38235553205902e-07	 9.52930979032609e-06	2.66449661292020e-11		1.00000000004546e+00
3.30000000000000e-01    	-8.11980048383123e-08 	 3.09018181478974e-01   -9.51056516297895e-01 	4.22900976718910e-07	 8.27790412994045e-06	4.21156795694093e-11		1.00000000003435e+00
3.60000000000000e-01    	-4.89336648298873e-08 	 3.09018369683715e-01   -9.51056516296426e-01 	1.85935346987961e-06	 3.56456457176746e-06	5.45258297009834e-11		1.00000000000808e+00
3.90000000000000e-01    	3.93922453272153e-08 	 3.09018344797769e-01   -9.51056516294766e-01 	4.19857535591978e-06	 -6.20856877429493e-06	5.26605343570655e-11		1.00000000002809e+00
4.20000000000000e-01    	2.14246483650223e-07 	 3.09017929351232e-01   -9.51056516293544e-01 	7.66336216472126e-06	 -2.27629819328161e-05	2.32907041531188e-11		1.00000000028844e+00
4.50000000000000e-01    	5.12393650844798e-07 	 3.09016894134894e-01   -9.51056516293703e-01 	1.24461319117692e-05	 -4.77991975161706e-05	-3.85852044624063e-11		1.00000000121983e+00
4.80000000000000e-01    	9.75551200690464e-07 	 3.09014961450633e-01   -9.51056516295970e-01 	1.86795512497529e-05	 -8.28167768870529e-05	-1.09550787187438e-10		1.00000000360377e+00
5.10000000000000e-01    	1.64813192999188e-06 	 3.09011814179660e-01   -9.51056516299571e-01 	2.64054340149690e-05	 -1.28908347464645e-04	-1.06793937092682e-10		1.00000000865730e+00
5.40000000000000e-01    	2.57405638836890e-06 	 3.09007111260816e-01   -9.51056516299876e-01 	3.55442567107275e-05	 -1.86540681857668e-04	1.50684519243944e-10		1.00000001803041e+00
5.70000000000000e-01    	3.79269270427761e-06 	 3.09000509733644e-01   -9.51056516284861e-01 	4.58679267356376e-05	 -2.55338843080266e-04	9.80505094434714e-10		1.00000003365090e+00
6.00000000000000e-01    	5.33406290261762e-06 	 3.08991692986362e-01   -9.51056516230588e-01 	5.69785792457589e-05	 -3.33891520736165e-04	2.86142156589258e-09		1.00000005736505e+00
6.30000000000000e-01    	7.21353807460955e-06 	 3.08980404287058e-01   -9.51056516096369e-01 	6.82961497469569e-05	 -4.19596686681966e-04	6.42663245157963e-09		1.00000009036287e+00
6.60000000000000e-01    	9.42632449041689e-06 	 3.08966484103304e-01   -9.51056515820818e-01 	7.90572595952580e-05	 -5.08566424117622e-04	1.24088089158362e-08		1.00000013244492e+00
6.90000000000000e-01    	1.19421133522589e-05 	 3.08949909171039e-01   -9.51056515320431e-01 	8.83275522936960e-05	 -5.95608133739359e-04	2.15258290540014e-08		1.00000018127539e+00
7.20000000000000e-01    	1.47003226089882e-05 	 3.08930830799645e-01   -9.51056514492474e-01 	9.50290251745735e-05	 -6.74296281248299e-04	3.43091181900513e-08		1.00000023185297e+00
7.50000000000000e-01    	1.76063942622684e-05 	 3.08909609537362e-01   -9.51056513223652e-01 	9.79831142465891e-05	 -7.37144498777481e-04	5.08954637683018e-08		1.00000027649131e+00
7.80000000000000e-01    	2.05296191986298e-05 	 3.08886843106756e-01   -9.51056511405064e-01 	9.59693192051915e-05	 -7.75882355259073e-04	7.08252287096458e-08		1.00000030560173e+00
8.10000000000000e-01    	2.33029385856972e-05 	 3.08863384484548e-01   -9.51056508952343e-01 	8.77980253577641e-05	 -7.81834718139796e-04	9.29098903292806e-08		1.00000030948697e+00
8.40000000000000e-01    	2.57251121257750e-05 	 3.08840347165947e-01   -9.51056505827812e-01 	7.23949357253340e-05	 -7.46394664787608e-04	1.15243149839043e-07		1.00000028117298e+00
