0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	-2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-5.15765176988212e-13 	 -9.27050983110198e-01   -2.85316954890000e+00 	-8.51460506059016e-11	 1.61390533805965e-09	-1.17348000717252e-20		1.00000000000000e+00
6.00000000000000e-02    	-1.55858003486206e-11 	 -9.27050982827957e-01   -2.85316954890000e+00 	-1.26377447189708e-09	 2.35326800111052e-08	-1.57461340907252e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.09420010663294e-10 	 -9.27050981103143e-01   -2.85316954890000e+00 	-5.75035366057727e-09	 1.04787493246645e-07	-7.76391279668198e-18		1.00000000000001e+00
1.20000000000000e-01    	-4.15958653319154e-10 	 -9.27050975604151e-01   -2.85316954890000e+00 	-1.57120341058516e-08	 2.78319150972753e-07	1.79793329776321e-16		1.00000000000004e+00
1.50000000000000e-01    	-1.11159360602943e-09 	 -9.27050963541440e-01   -2.85316954890000e+00 	-3.14925786377200e-08	 5.35451923231077e-07	2.07581324577623e-15		1.00000000000014e+00
1.80000000000000e-01    	-2.33128032101515e-09 	 -9.27050943481411e-01   -2.85316954890000e+00 	-4.96612767152372e-08	 7.88346974502682e-07	1.06694567320751e-14		1.00000000000031e+00
2.10000000000000e-01    	-4.02716138198436e-09 	 -9.27050918243406e-01   -2.85316954890000e+00 	-6.11826550021378e-08	 8.36348750397020e-07	3.36466900080329e-14		1.00000000000035e+00
2.40000000000000e-01    	-5.77794827043583e-09 	 -9.27050898672808e-01   -2.85316954890000e+00 	-5.00147039787336e-08	 3.42204318913138e-07	6.54217881383940e-14		1.00000000000006e+00
2.70000000000000e-01    	-6.56634816151420e-09 	 -9.27050907910031e-01   -2.85316954890000e+00 	7.57439837606469e-09	 -1.17637760068914e-06	3.49186949447132e-14		1.00000000000069e+00
3.00000000000000e-01    	-4.54988843896284e-09 	 -9.27050985625978e-01   -2.85316954890000e+00 	1.42728017573069e-07	 -4.33543536090859e-06	-3.05071588099065e-13		1.00000000000941e+00
3.30000000000000e-01    	3.14325475577503e-09 	 -9.27051191585228e-01   -2.85316954890003e+00 	3.92591397687084e-07	 -9.85091151318598e-06	-1.55247799283351e-12		1.00000000004860e+00
3.60000000000000e-01    	2.05580919442870e-08 	 -9.27051607842349e-01   -2.85316954890012e+00 	7.97695064050966e-07	 -1.84814097210839e-05	-4.85906933542975e-12		1.00000000017110e+00
3.90000000000000e-01    	5.29603244856141e-08 	 -9.27052338884307e-01   -2.85316954890036e+00 	1.39816436908448e-06	 -3.09489357359120e-05	-1.20649150824879e-11		1.00000000047990e+00
4.20000000000000e-01    	1.06754235603270e-07 	 -9.27053509108446e-01   -2.85316954890090e+00 	2.22890342104735e-06	 -4.78413407302186e-05	-2.56022368715229e-11		1.00000000114688e+00
4.50000000000000e-01    	1.89243853776336e-07 	 -9.27055257171348e-01   -2.85316954890198e+00 	3.31401545079935e-06	 -6.95024437048376e-05	-4.79709646531964e-11		1.00000000242079e+00
4.80000000000000e-01    	3.08219741659273e-07 	 -9.27057726954085e-01   -2.85316954890389e+00 	4.66082668976877e-06	 -9.59178114171749e-05	-8.06206837245534e-11		1.00000000461097e+00
5.10000000000000e-01    	4.71366165201699e-07 	 -9.27061055153576e-01   -2.85316954890691e+00 	6.25397034983934e-06	 -1.26605745845418e-04	-1.22206741346990e-10		1.00000000803406e+00
5.40000000000000e-01    	6.85498176080112e-07 	 -9.27065355812690e-01   -2.85316954891125e+00 	8.05005527089793e-06	 -1.60524016682511e-04	-1.66430927198238e-10		1.00000001291638e+00
5.70000000000000e-01    	9.55654563160873e-07 	 -9.27070702423998e-01   -2.85316954891679e+00 	9.97348447529080e-06	 -1.96003156556411e-04	-1.99998737393363e-10		1.00000001925835e+00
6.00000000000000e-01    	1.28408978834059e-06 	 -9.27077108560955e-01   -2.85316954892293e+00 	1.19139963083411e-05	 -2.30716626860491e-04	-2.01548002048384e-10		1.00000002668605e+00
6.30000000000000e-01    	1.66922482772635e-06 	 -9.27084508281605e-01   -2.85316954892828e+00 	1.37264687254009e-05	 -2.61696827566090e-04	-1.42608836733091e-10		1.00000003433682e+00
