0.00000000000000e+00    	0.00000000000000e+00 	 1.00000000000000e+00  	-2.44929359830000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	7.40344662859614e-13 	 1.00000000000735e+00   -2.44929359830000e-16 	1.22958329364707e-10	 1.46741152927805e-09	1.96017814965595e-35		1.00000000000000e+00
6.00000000000000e-02    	2.30764795885076e-11 	 1.00000000046535e+00   -2.44929359830000e-16 	1.89602256230303e-09	 4.63279988842838e-08	9.48477054084062e-33		1.00000000000000e+00
9.00000000000000e-02    	1.67639946291661e-10 	 1.00000000521341e+00   -2.44929359830000e-16 	9.01292682019015e-09	 3.44113137236033e-07	3.31138270491329e-31		1.00000000000006e+00
1.20000000000000e-01    	6.62762589372425e-10 	 1.00000002862303e+00   -2.44929359830000e-16 	2.59747715877310e-08	 1.40595031028017e-06	3.82782395989383e-30		1.00000000000099e+00
1.50000000000000e-01    	1.85656906371893e-09 	 1.00000010598614e+00   -2.44929359830000e-16 	5.58429551531055e-08	 4.12234612493702e-06	2.34231857928794e-29		1.00000000000850e+00
1.80000000000000e-01    	4.13386198755127e-09 	 1.00000030510066e+00   -2.44929359829998e-16 	9.75308771718011e-08	 9.76235444286631e-06	9.21810678342705e-29		1.00000000004766e+00
2.10000000000000e-01    	7.74958631259379e-09 	 1.00000073648103e+00   -2.44929359829993e-16 	1.43020020883402e-07	 1.98814072377472e-05	2.51178868194443e-28		1.00000000019765e+00
2.40000000000000e-01    	1.25829696594454e-08 	 1.00000155938472e+00   -2.44929359829983e-16 	1.74927711493530e-07	 3.61349399761256e-05	4.53769453065862e-28		1.00000000065288e+00
2.70000000000000e-01    	1.78292521966550e-08 	 1.00000298091873e+00   -2.44929359829969e-16 	1.64844740306913e-07	 6.00056554604960e-05	2.93695128217615e-28		1.00000000180035e+00
3.00000000000000e-01    	2.16576623883986e-08 	 1.00000524588768e+00   -2.44929359829981e-16 	7.27991964860269e-08	 9.24629740929233e-05	-1.52533517481398e-27		1.00000000427470e+00
3.30000000000000e-01    	2.08735085211363e-08 	 1.00000861575143e+00   -2.44929359830106e-16 	-1.51900960587960e-07	 1.33583021592689e-04	-7.97276929529118e-27		1.00000000892222e+00
3.60000000000000e-01    	1.06280099265850e-08 	 1.00001333603722e+00   -2.44929359830560e-16 	-5.68316030630353e-07	 1.82165549018119e-04	-2.45408434090531e-26		1.00000001659231e+00
3.90000000000000e-01    	-1.57782961086594e-08 	 1.00001959273271e+00   -2.44929359831764e-16 	-1.23999166418977e-06	 2.35389700971246e-04	-5.97344785359427e-26		1.00000002770492e+00
4.20000000000000e-01    	-6.69532276189486e-08 	 1.00002745948843e+00   -2.44929359834440e-16 	-2.22959098767995e-06	 2.88552932892041e-04	-1.24566120437611e-25		1.00000004163388e+00
4.50000000000000e-01    	-1.53288113323979e-07 	 1.00003683877847e+00   -2.44929359839649e-16 	-3.59210398251083e-06	 3.34936211754550e-04	-2.30379986463965e-25		1.00000005609758e+00
4.80000000000000e-01    	-2.86608472829810e-07 	 1.00004740139859e+00   -2.44929359848750e-16 	-5.36667896182800e-06	 3.65833734174634e-04	-3.84605478499172e-25		1.00000006693156e+00
5.10000000000000e-01    	-4.79559477643867e-07 	 1.00005852970786e+00   -2.44929359863190e-16 	-7.56712079643237e-06	 3.70776835553604e-04	-5.84724744643287e-25		1.00000006876636e+00
5.40000000000000e-01    	-7.44687833231159e-07 	 1.00006927074012e+00   -2.44929359884110e-16 	-1.01711923246439e-05	 3.37969879452460e-04	-8.11808786051344e-25		1.00000005716354e+00
5.70000000000000e-01    	-1.09318921961959e-06 	 1.00007830563118e+00   -2.44929359911779e-16 	-1.31091158315471e-05	 2.54941296742610e-04	-1.02623299604023e-24		1.00000003258346e+00
6.00000000000000e-01    	-1.53330890938365e-06 	 1.00008394165904e+00   -2.44929359944973e-16 	-1.62521465202744e-05	 1.09396404950086e-04	-1.16924926525799e-24		1.00000000611585e+00
6.30000000000000e-01    	-2.06841898936854e-06 	 1.00008413253201e+00   -2.44929359980551e-16 	-1.94027594523941e-05	 -1.09758818741188e-04	-1.17446327184457e-24		1.00000000621173e+00
6.60000000000000e-01    	-2.69485314813382e-06 	 1.00007653137488e+00   -2.44929360013550e-16 	-2.22887431824709e-05	 -4.11271078502731e-04	-9.92430289615325e-25		1.00000008482034e+00
