0.00000000000000e+00    	0.00000000000000e+00 	 -4.11449676600000e+00  	5.66311896060000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-2.51736397876270e-13 	 -4.11449676599518e+00   5.66311896060000e+00 	-3.91448983585605e-11	 8.13464242748118e-10	-3.34679328589110e-20		1.00000000000000e+00
6.00000000000000e-02    	-5.30176169151402e-12 	 -4.11449676583686e+00   5.66311896060000e+00 	-3.48482391438716e-10	 1.38499050800172e-08	-6.39677560338068e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.87844189717323e-11 	 -4.11449676471386e+00   5.66311896060000e+00 	-3.22870913455844e-10	 7.26647018574087e-08	-9.39863646043906e-17		1.00000000000000e+00
1.20000000000000e-01    	1.19873202427625e-11 	 -4.11449676047375e+00   5.66311896060000e+00 	3.52908392570241e-09	 2.32241595093794e-07	-1.57732319080743e-16		1.00000000000003e+00
1.50000000000000e-01    	3.11416339993971e-10 	 -4.11449674909779e+00   5.66311896060000e+00 	1.94283097686452e-08	 5.59867014039073e-07	3.79973458654759e-15		1.00000000000016e+00
1.80000000000000e-01    	1.43762569851104e-09 	 -4.11449672455955e+00   5.66311896060000e+00 	6.15330117598442e-08	 1.11886197350572e-06	3.53208697318734e-14		1.00000000000063e+00
2.10000000000000e-01    	4.46725826121774e-09 	 -4.11449667926057e+00   5.66311896060000e+00 	1.50206025767909e-07	 1.94670843001470e-06	1.76100178230948e-13		1.00000000000191e+00
2.40000000000000e-01    	1.11713210441126e-08 	 -4.11449660517780e+00   5.66311896060001e+00 	3.11122554435702e-07	 3.02992174418055e-06	6.29519496012912e-13		1.00000000000464e+00
2.70000000000000e-01    	2.41453715408362e-08 	 -4.11449649577693e+00   5.66311896060005e+00 	5.73111153278758e-07	 4.27865385658435e-06	1.78459861101210e-12		1.00000000000932e+00
3.00000000000000e-01    	4.68560502630117e-08 	 -4.11449634864989e+00   5.66311896060013e+00 	9.64751152038408e-07	 5.50440208046704e-06	4.21640776637881e-12		1.00000000001561e+00
3.30000000000000e-01    	8.35687315792556e-08 	 -4.11449616873072e+00   5.66311896060032e+00 	1.50988834851677e-06	 6.40430153736677e-06	8.52589433072261e-12		1.00000000002165e+00
3.60000000000000e-01    	1.39127981215477e-07 	 -4.11449597184269e+00   5.66311896060067e+00 	2.22236684070340e-06	 6.55527055328056e-06	1.49270570171649e-11		1.00000000002396e+00
3.90000000000000e-01    	2.18573324610260e-07 	 -4.11449578823797e+00   5.66311896060123e+00 	3.10039691950963e-06	 5.42075527269719e-06	2.25657786861350e-11		1.00000000001950e+00
4.20000000000000e-01    	3.26586959881962e-07 	 -4.11449566572063e+00   5.66311896060201e+00 	4.12107604572424e-06	 2.37200287172924e-06	2.87198353691015e-11		1.00000000001130e+00
4.50000000000000e-01    	4.66786592753597e-07 	 -4.11449567190123e+00   5.66311896060289e+00 	5.23564227678834e-06	 -3.27527488603703e-06	2.82665098668990e-11		1.00000000001907e+00
4.80000000000000e-01    	6.40894362593628e-07 	 -4.11449589512394e+00   5.66311896060356e+00 	6.36605929055414e-06	 -1.22092408331657e-05	1.40492046982574e-11		1.00000000009480e+00
5.10000000000000e-01    	8.47830508647467e-07 	 -4.11449644363901e+00   5.66311896060352e+00 	7.40350433826089e-06	 -2.50570287080558e-05	-2.10800542910002e-11		1.00000000034133e+00
5.40000000000000e-01    	1.08279653169147e-06 	 -4.11449744266699e+00   5.66311896060206e+00 	8.20925338328304e-06	 -4.23097255157511e-05	-7.98485341949358e-11		1.00000000092875e+00
5.70000000000000e-01    	1.33642568231920e-06 	 -4.11449902911434e+00   5.66311896059857e+00 	8.61833340566820e-06	 -6.42416564352985e-05	-1.53509361230215e-10		1.00000000210063e+00
6.00000000000000e-01    	1.59408731475777e-06 	 -4.11450134385003e+00   5.66311896059298e+00 	8.44614617383240e-06	 -9.08294884533377e-05	-2.12674684252986e-10		1.00000000416067e+00
6.30000000000000e-01    	1.83543487235290e-06 	 -4.11450452163080e+00   5.66311896058654e+00 	7.49806987673603e-06	 -1.21677485612330e-04	-1.97660928549567e-10		1.00000000743082e+00
6.60000000000000e-01    	2.03428422260815e-06 	 -4.11450867896108e+00   5.66311896058283e+00 	5.58182669370654e-06	 -1.55955699689140e-04	-1.11415331672627e-11		1.00000001217667e+00
