0.00000000000000e+00    	0.00000000000000e+00 	 -1.00000000000000e+01  	1.22464679910000e-15    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
9.30000000000000e-01    	2.26849451504399e-06 	 -1.00000689577968e+01   1.22464679913019e-15 	-2.32481825203000e-06	 -5.58244763016451e-04	5.60930181238385e-25		1.00000015582130e+00
9.60000000000000e-01    	2.13973870499359e-06 	 -1.00000863310040e+01   1.22464679915119e-15 	-6.37012866957494e-06	 -5.97169641950689e-04	8.49681557109163e-25		1.00000017832606e+00
9.90000000000000e-01    	1.88000158722279e-06 	 -1.00001045949567e+01   1.22464679918179e-15 	-1.10423952893227e-05	 -6.16797181668529e-04	1.19903127197728e-24		1.00000019028033e+00
1.02000000000000e+00    	1.47202079705119e-06 	 -1.00001230969897e+01   1.22464679922356e-15 	-1.62304368539953e-05	 -6.12254512878762e-04	1.59064499800835e-24		1.00000018755949e+00
1.05000000000000e+00    	9.02607136075300e-07 	 -1.00001410436611e+01   1.22464679927736e-15 	-2.17736586950094e-05	 -5.79079901303449e-04	1.99521927492375e-24		1.00000016790380e+00
1.08000000000000e+00    	1.64134933873278e-07 	 -1.00001575177091e+01   1.22464679934303e-15 	-2.74619670647791e-05	 -5.13532990558983e-04	2.37534228781630e-24		1.00000013223514e+00
1.11000000000000e+00    	-7.44007612150835e-07 	 -1.00001715044256e+01   1.22464679941923e-15 	-3.30386055206039e-05	 -4.12909750494598e-04	2.69135355174964e-24		1.00000008579300e+00
1.14000000000000e+00    	-1.81410272685388e-06 	 -1.00001819273401e+01   1.22464679950353e-15 	-3.82063586798952e-05	 -2.75845242272742e-04	2.91001100873598e-24		1.00000003877516e+00
1.17000000000000e+00    	-3.02902794465949e-06 	 -1.00001876925783e+01   1.22464679959269e-15 	-4.26374217009467e-05	 -1.02586069067612e-04	3.01508848568592e-24		1.00000000617093e+00
1.20000000000000e+00    	-4.36153326343347e-06 	 -1.00001877407079e+01   1.22464679968340e-15 	-4.59870028190694e-05	 1.04785988418068e-04	3.01831553978435e-24		1.00000000654745e+00
