0.00000000000000e+00    	0.00000000000000e+00 	 9.27050983120000e-01  	-2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.49514938973099e-13 	 9.27050983121600e-01   -2.85316954890000e+00 	2.48318222124831e-11	 3.19667840723374e-10	1.08361826748678e-20		1.00000000000000e+00
6.00000000000000e-02    	4.66036691876796e-12 	 9.27050983221375e-01   -2.85316954890000e+00 	3.82907570100190e-10	 1.00923095492969e-08	5.24333496883893e-18		1.00000000000000e+00
9.00000000000000e-02    	3.38553400765700e-11 	 9.27050984255714e-01   -2.85316954890000e+00 	1.82017984839015e-09	 7.49632275339095e-08	1.83058607153436e-16		1.00000000000000e+00
1.20000000000000e-01    	1.33845292265534e-10 	 9.27050989355376e-01   -2.85316954890000e+00 	5.24553432775861e-09	 3.06278846005912e-07	2.11608320735481e-15		1.00000000000005e+00
1.50000000000000e-01    	3.74921442513976e-10 	 9.27051006208522e-01   -2.85316954890000e+00 	1.12763479646938e-08	 8.98031345840159e-07	1.29487176082851e-14		1.00000000000040e+00
1.80000000000000e-01    	8.34719695539916e-10 	 9.27051049584569e-01   -2.85316954890000e+00 	1.96893049564605e-08	 2.12667748424801e-06	5.09591937186374e-14		1.00000000000226e+00
2.10000000000000e-01    	1.56442762229359e-09 	 9.27051143558513e-01   -2.85316954890000e+00 	2.88528057257249e-08	 4.33106008742232e-06	1.38855768467832e-13		1.00000000000938e+00
2.40000000000000e-01    	2.53874971587767e-09 	 9.27051322823764e-01   -2.85316954889999e+00 	3.52263264331202e-08	 7.87180735586866e-06	2.50851128534904e-13		1.00000000003098e+00
2.70000000000000e-01    	3.59293919649395e-09 	 9.27051632497515e-01   -2.85316954889998e+00 	3.30127571961384e-08	 1.30719186759412e-05	1.62359235068473e-13		1.00000000008544e+00
3.00000000000000e-01    	4.35268546823111e-09 	 9.27052125909193e-01   -2.85316954889999e+00 	1.40416335928669e-08	 2.01425774524762e-05	-8.43231449517922e-13		1.00000000020286e+00
3.30000000000000e-01    	4.16475849594099e-09 	 9.27052860016490e-01   -2.85316954890006e+00 	-3.20550882019664e-08	 2.91003671069038e-05	-4.40748213972805e-12		1.00000000042342e+00
3.60000000000000e-01    	2.03783361433281e-09 	 9.27053888306243e-01   -2.85316954890031e+00 	-1.17335759936507e-07	 3.96838188610821e-05	-1.35665949468560e-11		1.00000000078741e+00
3.90000000000000e-01    	-3.39630407939186e-09 	 9.27055251294882e-01   -2.85316954890097e+00 	-2.54697938400936e-07	 5.12784228941654e-05	-3.30222362908794e-11		1.00000000131477e+00
4.20000000000000e-01    	-1.38910238438703e-08 	 9.27056965026749e-01   -2.85316954890245e+00 	-4.56698922173276e-07	 6.28597542562147e-05	-6.88622758082744e-11		1.00000000197578e+00
4.50000000000000e-01    	-3.15533003521009e-08 	 9.27059008256347e-01   -2.85316954890533e+00 	-7.34090177240362e-07	 7.29641108837473e-05	-1.27357994617386e-10		1.00000000266215e+00
4.80000000000000e-01    	-5.87647134754110e-08 	 9.27061309268508e-01   -2.85316954891036e+00 	-1.09413260361129e-06	 7.96949933767071e-05	-2.12616509673426e-10		1.00000000317624e+00
5.10000000000000e-01    	-9.80497153822927e-08 	 9.27063733514317e-01   -2.85316954891835e+00 	-1.53878264352311e-06	 8.07718907715338e-05	-3.23245969761336e-10		1.00000000326323e+00
5.40000000000000e-01    	-1.51888926259858e-07 	 9.27066073397362e-01   -2.85316954892991e+00 	-2.06286224045404e-06	 7.36252465203328e-05	-4.48782267343906e-10		1.00000000271247e+00
5.70000000000000e-01    	-2.22478976625483e-07 	 9.27068041614642e-01   -2.85316954894521e+00 	-2.65235051274539e-06	 5.55382926005100e-05	-5.67320596241423e-10		1.00000000154577e+00
6.00000000000000e-01    	-3.11444956023083e-07 	 9.27069269423761e-01   -2.85316954896356e+00 	-3.28296243655221e-06	 2.38328351138579e-05	-6.46384561508164e-10		1.00000000028939e+00
6.30000000000000e-01    	-4.19516910957973e-07 	 9.27069311063747e-01   -2.85316954898323e+00 	-3.91920785408262e-06	 -2.39077293509803e-05	-6.49270806253160e-10		1.00000000029347e+00
6.60000000000000e-01    	-5.46187999533418e-07 	 9.27067655298371e-01   -2.85316954900147e+00 	-4.51414687579498e-06	 -8.95886431389797e-05	-5.48645250283086e-10		1.00000000402325e+00
6.90000000000000e-01    	-6.89378559062840e-07 	 9.27063744683817e-01   -2.85316954901512e+00 	-5.01006532348957e-06	 -1.74341184079614e-04	-3.47845353753846e-10		1.00000001520997e+00
7.20000000000000e-01    	-8.45136834362013e-07 	 9.27057002700051e-01   -2.85316954902192e+00 	-5.34027356277688e-06	 -2.78264022193267e-04	-1.08161081408595e-10		1.00000003872969e+00
7.50000000000000e-01    	-1.00741241710774e-06 	 9.27046868348337e-01   -2.85316954902267e+00 	-5.43217120471976e-06	 -4.00187383021473e-04	2.24020702109269e-11		1.00000008008972e+00
7.80000000000000e-01    	-1.16794119803943e-06 	 9.27032837233775e-01   -2.85316954902421e+00 	-5.21161007873966e-06	 -5.37479887307747e-04	-2.13840021448211e-10		1.00000014445588e+00
8.10000000000000e-01    	-1.31627932945176e-06 	 9.27014507555021e-01   -2.85316954904288e+00 	-4.60842850457184e-06	 -6.85917766115736e-04	-1.19214680140838e-09		1.00000023525218e+00
8.40000000000000e-01    	-1.44001700573319e-06 	 9.26991628851074e-01   -2.85316954910790e+00 	-3.56283345885251e-06	 -8.39634683550575e-04	-3.38865132813130e-09		1.00000035249949e+00
