t	x	y	px	py
0.000000	0.000000	-16.000000	0.000000	0.000000
0.750000	0.000000	-15.999999	0.000000	0.000004
1.500000	0.000000	-15.999988	0.000000	0.000026
2.250000	0.000000	-15.999989	0.000000	-0.000081
3.000000	0.000000	-16.000256	0.000000	-0.000771
3.750000	0.000001	-16.001365	0.000003	-0.002299
4.500000	0.000005	-16.003708	0.000007	-0.003784
5.250000	0.000010	-16.006457	0.000004	-0.002929
6.000000	0.000011	-16.006928	0.000003	0.002526
6.750000	0.000033	-16.001600	0.000073	0.012086
7.500000	0.000141	-15.989019	0.000213	0.020653
8.250000	0.000313	-15.972942	0.000200	0.020023
9.000000	0.000389	-15.962850	0.000009	0.004260
9.750000	0.000445	-15.969700	0.000280	-0.023678
10.500000	0.000997	-15.997883	0.001229	-0.049585
11.250000	0.002108	-16.038668	0.001482	-0.054443
12.000000	0.002836	-16.071116	0.000353	-0.026572
12.750000	0.002931	-16.071612	0.000395	0.028093
13.500000	0.004257	-16.028743	0.003504	0.083711
14.250000	0.007913	-15.955041	0.005563	0.105480
15.000000	0.011129	-15.886230	0.002313	0.068010
15.750000	0.011635	-15.867886	0.000338	-0.026004
16.500000	0.014438	-15.928291	0.008799	-0.132660
17.250000	0.025057	-16.052910	0.018631	-0.193035
18.000000	0.038470	-16.193402	0.015166	-0.174159
18.750000	0.045056	-16.289927	0.002709	-0.073613
19.500000	0.045743	-16.290868	0.002693	0.073385
20.250000	0.053375	-16.187695	0.018880	0.194321
21.000000	0.071054	-16.026957	0.025607	0.226305
21.750000	0.084780	-15.886206	0.008940	0.133713
22.500000	0.086662	-15.860252	0.003072	-0.078384
23.250000	0.102340	-16.003987	0.046853	-0.306113
24.000000	0.155528	-16.274521	0.104866	-0.457965
24.750000	0.240348	-16.610044	0.147528	-0.543190
25.500000	0.345305	-16.977895	0.176417	-0.593999
26.250000	0.464127	-17.365126	0.199952	-0.632379
27.000000	0.595487	-17.768213	0.225772	-0.671971
27.750000	0.741676	-18.188290	0.260659	-0.722024
28.500000	0.907546	-18.628354	0.310409	-0.787920
29.250000	1.098660	-19.090366	0.376317	-0.867545
30.000000	1.317473	-19.572359	0.447066	-0.945586
30.750000	1.558816	-20.067803	0.496079	-0.996071
31.500000	1.809765	-20.568274	0.502224	-1.002222
32.250000	2.056384	-21.066540	0.474168	-0.973825
33.000000	2.291235	-21.558409	0.438534	-0.936519
33.750000	2.514915	-22.043628	0.414156	-0.910117
34.500000	2.732558	-22.525007	0.406156	-0.901284
35.250000	2.949900	-23.006190	0.411722	-0.907438
36.000000	3.170942	-23.489760	0.424709	-0.921639
36.750000	3.397067	-23.976501	0.438120	-0.936077
37.500000	3.627268	-24.465699	0.446493	-0.944979
38.250000	3.859232	-24.955935	0.447978	-0.946550
39.000000	4.090728	-25.445897	0.444392	-0.942754
39.750000	4.320537	-25.934864	0.439174	-0.937202
40.500000	4.548610	-26.422793	0.435142	-0.932890
41.250000	4.775637	-26.910090	0.433485	-0.931113
42.000000	5.002470	-27.397268	0.433944	-0.931606
42.750000	5.229705	-27.884691	0.435502	-0.933276
43.500000	5.457541	-28.372477	0.437089	-0.934975
44.250000	5.685850	-28.860548	0.438045	-0.935997
45.000000	5.914363	-29.348742	0.438235	-0.936200
45.750000	6.142841	-29.836915	0.437903	-0.935845
46.500000	6.371159	-30.324991	0.437410	-0.935318
47.250000	6.599312	-30.812968	0.437030	-0.934911
48.000000	6.827366	-31.300886	0.436870	-0.934741
48.750000	7.055399	-31.788792	0.436899	-0.934772
49.500000	7.283463	-32.276715	0.437020	-0.934901
50.250000	7.511572	-32.764666	0.437139	-0.935029
51.000000	7.739716	-33.252638	0.437209	-0.935103
51.750000	7.967876	-33.740620	0.437223	-0.935118
52.500000	8.196033	-34.228599	0.437202	-0.935096
53.250000	8.424180	-34.716573	0.437171	-0.935063
54.000000	8.652317	-35.204541	0.437149	-0.935039
54.750000	8.880448	-35.692505	0.437140	-0.935029
55.500000	9.108578	-36.180469	0.437141	-0.935031
56.250000	9.336710	-36.668434	0.437148	-0.935038
57.000000	9.564844	-37.156400	0.437154	-0.935044
57.750000	9.792980	-37.644367	0.437157	-0.935047
58.500000	10.021116	-38.132334	0.437157	-0.935048
59.250000	10.249253	-38.620301	0.437156	-0.935047
60.000000	10.477389	-39.108268	0.437155	-0.935046
60.750000	10.705524	-39.596235	0.437154	-0.935045
61.500000	10.933659	-40.084202	0.437154	-0.935044
62.250000	11.161795	-40.572169	0.437154	-0.935044
63.000000	11.389930	-41.060135	0.437154	-0.935045
63.750000	11.618065	-41.548102	0.437154	-0.935045
64.500000	11.846201	-42.036069	0.437155	-0.935045
65.250000	12.074336	-42.524036	0.437155	-0.935045
66.000000	12.302472	-43.012002	0.437154	-0.935045
66.750000	12.530607	-43.499969	0.437154	-0.935045
67.500000	12.758743	-43.987936	0.437154	-0.935045
68.250000	12.986878	-44.475903	0.437154	-0.935045
69.000000	13.215013	-44.963870	0.437154	-0.935045
69.750000	13.443149	-45.451836	0.437154	-0.935045
70.500000	13.671284	-45.939803	0.437154	-0.935045
71.250000	13.899420	-46.427770	0.437154	-0.935045
72.000000	14.127555	-46.915737	0.437154	-0.935045
72.750000	14.355690	-47.403704	0.437154	-0.935045
73.500000	14.583826	-47.891670	0.437154	-0.935045
74.250000	14.811961	-48.379637	0.437154	-0.935045
75.000000	15.040097	-48.867604	0.437154	-0.935045
75.750000	15.268232	-49.355571	0.437154	-0.935045
76.500000	15.496368	-49.843538	0.437154	-0.935045
77.250000	15.724503	-50.331504	0.437154	-0.935045
78.000000	15.952638	-50.819471	0.437154	-0.935045
78.750000	16.180774	-51.307438	0.437154	-0.935045
79.500000	16.408909	-51.795405	0.437154	-0.935045
80.250000	16.637045	-52.283372	0.437154	-0.935045
81.000000	16.865180	-52.771338	0.437154	-0.935045
81.750000	17.093315	-53.259305	0.437154	-0.935045
82.500000	17.321451	-53.747272	0.437154	-0.935045
83.250000	17.549586	-54.235239	0.437154	-0.935045
84.000000	17.777722	-54.723205	0.437154	-0.935045
84.750000	18.005857	-55.211172	0.437154	-0.935045
85.500000	18.233993	-55.699139	0.437154	-0.935045
86.250000	18.462128	-56.187106	0.437154	-0.935045
87.000000	18.690263	-56.675073	0.437154	-0.935045
87.750000	18.918399	-57.163039	0.437154	-0.935045
88.500000	19.146534	-57.651006	0.437154	-0.935045
89.250000	19.374670	-58.138973	0.437154	-0.935045
90.000000	19.602805	-58.626940	0.437154	-0.935045
90.750000	19.830940	-59.114907	0.437154	-0.935045
91.500000	20.059076	-59.602873	0.437154	-0.935045
92.250000	20.287211	-60.090840	0.437154	-0.935045
93.000000	20.515347	-60.578807	0.437154	-0.935045
93.750000	20.743482	-61.066774	0.437154	-0.935045
94.500000	20.971618	-61.554741	0.437154	-0.935045
95.250000	21.199753	-62.042707	0.437154	-0.935045
96.000000	21.427888	-62.530674	0.437154	-0.935045
96.750000	21.656024	-63.018641	0.437154	-0.935045
97.500000	21.884159	-63.506608	0.437154	-0.935045
98.250000	22.112295	-63.994574	0.437154	-0.935045
99.000000	22.340430	-64.482541	0.437154	-0.935045
99.750000	22.568565	-64.970508	0.437154	-0.935045
100.500000	22.796701	-65.458475	0.437154	-0.935045
