t	x	y	px	py
0.000000	0.000000	8.000000	0.000000	0.000000
0.750000	0.000000	8.000004	0.000000	0.000027
1.500000	0.000000	8.000081	0.000000	0.000181
2.250000	0.000000	8.000076	0.000000	-0.000554
3.000000	0.000003	7.998251	0.000014	-0.005257
3.750000	0.000045	7.990687	0.000123	-0.015696
4.500000	0.000219	7.974685	0.000335	-0.025865
5.250000	0.000456	7.955883	0.000201	-0.020052
6.000000	0.000507	7.952698	0.000152	0.017437
6.750000	0.001538	7.989293	0.003447	0.083026
7.500000	0.006598	8.075140	0.010135	0.142376
8.250000	0.015033	8.186963	0.010673	0.146100
9.000000	0.019784	8.268839	0.001607	0.056698
9.750000	0.021042	8.248915	0.007218	-0.120150
10.500000	0.039329	8.090312	0.047601	-0.308550
11.250000	0.089723	7.826016	0.094630	-0.435039
12.000000	0.163101	7.511044	0.116561	-0.482826
12.750000	0.237686	7.193760	0.095816	-0.437757
13.500000	0.281774	6.948306	0.023829	-0.218309
14.250000	0.290100	6.959849	0.042879	0.292843
15.000000	0.401361	7.322604	0.360209	0.848775
15.750000	0.669757	7.828294	0.743551	1.219468
16.500000	0.995724	8.353994	0.697777	1.181336
17.250000	1.244626	8.849901	0.302690	0.778061
18.000000	1.332763	9.172790	0.019028	0.195078
18.750000	1.347879	9.090946	0.075559	-0.388739
19.500000	1.462770	8.716117	0.318891	-0.798613
20.250000	1.725201	8.215403	0.858227	-1.310135
21.000000	2.125098	7.687301	1.291563	-1.607211
21.750000	2.497237	7.160261	0.603467	-1.098605
22.500000	2.630037	6.799970	0.001198	-0.048943
23.250000	2.764267	7.143206	0.679888	1.166094
24.000000	3.136645	7.672192	1.066644	1.460578
24.750000	3.434667	8.181530	0.262497	0.724564
25.500000	3.484766	8.236119	0.153586	-0.554231
26.250000	3.750996	7.746547	1.136125	-1.507398
27.000000	4.185712	7.223314	1.259196	-1.586944
27.750000	4.454301	6.745038	0.065865	-0.362945
28.500000	4.598239	7.037498	0.882481	1.328519
29.250000	5.015510	7.563439	1.238642	1.573939
30.000000	5.286405	8.044846	0.078372	0.395909
30.750000	5.409362	7.785710	0.773259	-1.243591
31.500000	5.832395	7.262489	1.492903	-1.727949
32.250000	6.145985	6.768304	0.088521	-0.420763
