t	x	y	px	py
78.000000	0.776520	-26.271498	0.016251	-0.180284
78.750000	0.788686	-26.405489	0.016621	-0.182322
79.500000	0.800892	-26.539692	0.016376	-0.180973
80.250000	0.812757	-26.672040	0.015737	-0.177409
81.000000	0.824120	-26.801598	0.015049	-0.173491
81.750000	0.835056	-26.928738	0.014601	-0.170887
82.500000	0.845798	-27.054760	0.014522	-0.170421
83.250000	0.856607	-27.181174	0.014769	-0.171864
84.000000	0.867668	-27.309027	0.015179	-0.174234
84.750000	0.879025	-27.438556	0.015552	-0.176362
85.500000	0.890593	-27.569262	0.015742	-0.177435
86.250000	0.902217	-27.700279	0.015709	-0.177250
87.000000	0.913753	-27.830808	0.015517	-0.176165
87.750000	0.925127	-27.960428	0.015282	-0.174825
88.500000	0.936346	-28.089184	0.015109	-0.173833
89.250000	0.947481	-28.217458	0.015052	-0.173506
90.000000	0.958617	-28.345738	0.015106	-0.173815
90.750000	0.969818	-28.474385	0.015220	-0.174473
91.500000	0.981105	-28.603521	0.015334	-0.175124
92.250000	0.992460	-28.733038	0.015401	-0.175507
93.000000	1.003842	-28.862704	0.015407	-0.175542
93.750000	1.015209	-28.992291	0.015367	-0.175313
94.500000	1.026540	-29.121670	0.015310	-0.174988
95.250000	1.037831	-29.250831	0.015265	-0.174726
96.000000	1.049099	-29.379855	0.015245	-0.174614
96.750000	1.060362	-29.508854	0.015251	-0.174647
97.500000	1.071635	-29.637911	0.015272	-0.174766
98.250000	1.082925	-29.767061	0.015294	-0.174893
99.000000	1.094228	-29.896288	0.015308	-0.174975
99.750000	1.105538	-30.025551	0.015312	-0.174995
100.500000	1.116847	-30.154810	0.015307	-0.174969
101.250000	1.128152	-30.284043	0.015300	-0.174926
102.000000	1.139451	-30.413247	0.015293	-0.174890
102.750000	1.150747	-30.542431	0.015290	-0.174872
103.500000	1.162042	-30.671609	0.015290	-0.174872
104.250000	1.173337	-30.800791	0.015292	-0.174881
105.000000	1.184634	-30.929980	0.015293	-0.174890
105.750000	1.195931	-31.059174	0.015294	-0.174896
106.500000	1.207229	-31.188371	0.015295	-0.174898
107.250000	1.218527	-31.317569	0.015295	-0.174897
108.000000	1.229826	-31.446765	0.015294	-0.174896
108.750000	1.241123	-31.575961	0.015294	-0.174896
109.500000	1.252421	-31.705157	0.015294	-0.174896
110.250000	1.263719	-31.834353	0.015294	-0.174896
111.000000	1.275017	-31.963549	0.015294	-0.174896
111.750000	1.286315	-32.092744	0.015294	-0.174896
112.500000	1.297613	-32.221940	0.015294	-0.174896
113.250000	1.308911	-32.351136	0.015294	-0.174896
114.000000	1.320209	-32.480332	0.015294	-0.174896
114.750000	1.331507	-32.609527	0.015294	-0.174896
115.500000	1.342804	-32.738723	0.015294	-0.174896
116.250000	1.354102	-32.867919	0.015294	-0.174896
117.000000	1.365400	-32.997115	0.015294	-0.174896
117.750000	1.376698	-33.126310	0.015294	-0.174896
118.500000	1.387996	-33.255506	0.015294	-0.174896
119.250000	1.399294	-33.384702	0.015294	-0.174896
120.000000	1.410592	-33.513898	0.015294	-0.174896
120.750000	1.421890	-33.643093	0.015294	-0.174896
121.500000	1.433188	-33.772289	0.015294	-0.174896
122.250000	1.444485	-33.901485	0.015294	-0.174896
123.000000	1.455783	-34.030681	0.015294	-0.174896
123.750000	1.467081	-34.159876	0.015294	-0.174896
124.500000	1.478379	-34.289072	0.015294	-0.174896
125.250000	1.489677	-34.418268	0.015294	-0.174896
126.000000	1.500975	-34.547464	0.015294	-0.174896
126.750000	1.512273	-34.676659	0.015294	-0.174896
127.500000	1.523571	-34.805855	0.015294	-0.174896
128.250000	1.534868	-34.935051	0.015294	-0.174896
129.000000	1.546166	-35.064247	0.015294	-0.174896
129.750000	1.557464	-35.193442	0.015294	-0.174896
130.500000	1.568762	-35.322638	0.015294	-0.174896
131.250000	1.580060	-35.451834	0.015294	-0.174896
132.000000	1.591358	-35.581029	0.015294	-0.174896
132.750000	1.602656	-35.710225	0.015294	-0.174896
133.500000	1.613954	-35.839421	0.015294	-0.174896
134.250000	1.625252	-35.968617	0.015294	-0.174896
135.000000	1.636549	-36.097812	0.015294	-0.174896
135.750000	1.647847	-36.227008	0.015294	-0.174896
136.500000	1.659145	-36.356204	0.015294	-0.174896
137.250000	1.670443	-36.485400	0.015294	-0.174896
138.000000	1.681741	-36.614595	0.015294	-0.174896
138.750000	1.693039	-36.743791	0.015294	-0.174896
139.500000	1.704337	-36.872987	0.015294	-0.174896
140.250000	1.715635	-37.002183	0.015294	-0.174896
141.000000	1.726932	-37.131378	0.015294	-0.174896
141.750000	1.738230	-37.260574	0.015294	-0.174896
142.500000	1.749528	-37.389770	0.015294	-0.174896
143.250000	1.760826	-37.518966	0.015294	-0.174896
144.000000	1.772124	-37.648161	0.015294	-0.174896
144.750000	1.783422	-37.777357	0.015294	-0.174896
145.500000	1.794720	-37.906553	0.015294	-0.174896
146.250000	1.806018	-38.035749	0.015294	-0.174896
147.000000	1.817316	-38.164944	0.015294	-0.174896
147.750000	1.828613	-38.294140	0.015294	-0.174896
148.500000	1.839911	-38.423336	0.015294	-0.174896
149.250000	1.851209	-38.552532	0.015294	-0.174896
