t	x	y	px	py
82.500000	33.818129	20.421079	1.918779	1.958969
83.250000	34.312977	20.923591	1.969432	1.984657
84.000000	34.810521	21.424805	1.953699	1.976714
84.750000	35.305281	21.927363	1.939102	1.969316
85.500000	35.801584	22.429179	1.966676	1.983268
86.250000	36.297886	22.930997	1.943679	1.971638
87.000000	36.793205	23.433288	1.953049	1.976385
87.750000	37.289677	23.935024	1.956662	1.978213
88.500000	37.785427	24.437109	1.946594	1.973116
89.250000	38.281299	24.939134	1.956042	1.977899
90.000000	38.777477	25.441013	1.951313	1.975506
90.750000	39.273227	25.943097	1.951008	1.975352
91.500000	39.769284	26.445034	1.954213	1.976974
92.250000	40.265247	26.947016	1.950729	1.975211
93.000000	40.761135	27.449034	1.952804	1.976261
93.750000	41.257163	27.950984	1.952490	1.976102
94.500000	41.753077	28.452990	1.951641	1.975672
95.250000	42.249039	28.954972	1.952780	1.976249
96.000000	42.745012	29.456950	1.951983	1.975845
96.750000	43.240945	29.958946	1.952233	1.975972
97.500000	43.736917	30.460924	1.952399	1.976056
98.250000	44.232868	30.962912	1.952075	1.975892
99.000000	44.728820	31.464898	1.952344	1.976028
99.750000	45.224782	31.966881	1.952223	1.975967
100.500000	45.720733	32.468869	1.952211	1.975961
101.250000	46.216691	32.970853	1.952289	1.976000
102.000000	46.712647	33.472838	1.952210	1.975961
102.750000	47.208602	33.974824	1.952255	1.975984
103.500000	47.704559	34.476809	1.952247	1.975979
104.250000	48.200514	34.978795	1.952233	1.975972
105.000000	48.696470	35.480780	1.952252	1.975982
105.750000	49.192426	35.982766	1.952238	1.975975
106.500000	49.688382	36.484751	1.952244	1.975978
107.250000	50.184338	36.986736	1.952245	1.975978
108.000000	50.680294	37.488722	1.952241	1.975976
108.750000	51.176250	37.990707	1.952245	1.975978
109.500000	51.672206	38.492693	1.952243	1.975977
110.250000	52.168161	38.994678	1.952243	1.975977
111.000000	52.664117	39.496664	1.952244	1.975978
111.750000	53.160073	39.998649	1.952243	1.975977
112.500000	53.656029	40.500634	1.952243	1.975977
113.250000	54.151985	41.002620	1.952243	1.975977
114.000000	54.647941	41.504605	1.952243	1.975977
114.750000	55.143897	42.006591	1.952243	1.975977
115.500000	55.639853	42.508576	1.952243	1.975977
116.250000	56.135809	43.010561	1.952243	1.975977
117.000000	56.631764	43.512547	1.952243	1.975977
117.750000	57.127720	44.014532	1.952243	1.975977
118.500000	57.623676	44.516518	1.952243	1.975977
119.250000	58.119632	45.018503	1.952243	1.975977
120.000000	58.615588	45.520488	1.952243	1.975977
120.750000	59.111544	46.022474	1.952243	1.975977
121.500000	59.607500	46.524459	1.952243	1.975977
122.250000	60.103456	47.026445	1.952243	1.975977
123.000000	60.599412	47.528430	1.952243	1.975977
123.750000	61.095367	48.030415	1.952243	1.975977
124.500000	61.591323	48.532401	1.952243	1.975977
125.250000	62.087279	49.034386	1.952243	1.975977
126.000000	62.583235	49.536372	1.952243	1.975977
126.750000	63.079191	50.038357	1.952243	1.975977
127.500000	63.575147	50.540343	1.952243	1.975977
128.250000	64.071103	51.042328	1.952243	1.975977
129.000000	64.567059	51.544313	1.952243	1.975977
129.750000	65.063014	52.046299	1.952243	1.975977
130.500000	65.558970	52.548284	1.952243	1.975977
131.250000	66.054926	53.050270	1.952243	1.975977
132.000000	66.550882	53.552255	1.952243	1.975977
132.750000	67.046838	54.054240	1.952243	1.975977
133.500000	67.542794	54.556226	1.952243	1.975977
134.250000	68.038750	55.058211	1.952243	1.975977
135.000000	68.534706	55.560197	1.952243	1.975977
135.750000	69.030662	56.062182	1.952243	1.975977
136.500000	69.526617	56.564167	1.952243	1.975977
137.250000	70.022573	57.066153	1.952243	1.975977
138.000000	70.518529	57.568138	1.952243	1.975977
138.750000	71.014485	58.070124	1.952243	1.975977
139.500000	71.510441	58.572109	1.952243	1.975977
140.250000	72.006397	59.074094	1.952243	1.975977
141.000000	72.502353	59.576080	1.952243	1.975977
141.750000	72.998309	60.078065	1.952243	1.975977
142.500000	73.494264	60.580051	1.952243	1.975977
143.250000	73.990220	61.082036	1.952243	1.975977
144.000000	74.486176	61.584021	1.952243	1.975977
144.750000	74.982132	62.086007	1.952243	1.975977
145.500000	75.478088	62.587992	1.952243	1.975977
146.250000	75.974044	63.089978	1.952243	1.975977
147.000000	76.470000	63.591963	1.952243	1.975977
147.750000	76.965956	64.093949	1.952243	1.975977
148.500000	77.461912	64.595934	1.952243	1.975977
149.250000	77.957867	65.097919	1.952243	1.975977
