0.00000000000000e+00    	0.00000000000000e+00 	 -3.00000000000000e+00  	3.67394039740000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	6.16740763258564e-13 	 -3.00000000000174e+00   3.67394031012990e-16 	1.02429878092167e-10	 -3.47196361552616e-10	-3.19752459485639e-21		1.00000000000000e+00
6.00000000000000e-02    	1.92237521461303e-11 	 -3.00000000011010e+00   3.67376560306627e-16 	1.57947216725372e-09	 -1.09614190256445e-08	-3.18714836753020e-18		1.00000000000000e+00
9.00000000000000e-02    	1.39651316258699e-10 	 -3.00000000123352e+00   3.65937587067056e-16 	7.50813181990066e-09	 -8.14187615479073e-08	-1.75840069967130e-16		1.00000000000000e+00
1.20000000000000e-01    	5.52102805574873e-10 	 -3.00000000677234e+00   3.34662420644440e-16 	2.16373976042583e-08	 -3.32654354129635e-07	-2.93531901457287e-15		1.00000000000006e+00
1.50000000000000e-01    	1.54651321669519e-09 	 -3.00000002507681e+00   1.11390576023940e-17 	4.65131170583127e-08	 -9.75366188759865e-07	-2.52350567636730e-14		1.00000000000048e+00
1.80000000000000e-01    	3.44305739435027e-09 	 -3.00000007218823e+00   -2.06914014826878e-15 	8.12106217003233e-08	 -2.30981830389839e-06	-1.41522189249341e-13		1.00000000000267e+00
2.10000000000000e-01    	6.45261044310717e-09 	 -3.00000017425482e+00   -1.16600830482634e-14 	1.18988588666079e-07	 -4.70403315076402e-06	-5.86961551006496e-13		1.00000000001107e+00
2.40000000000000e-01    	1.04700111135475e-08 	 -3.00000036895766e+00   -4.61598273620544e-14 	1.45215383673407e-07	 -8.54969450311609e-06	-1.93896556188272e-12		1.00000000003656e+00
2.70000000000000e-01    	1.48136772035206e-08 	 -3.00000070529920e+00   -1.48301433048629e-13 	1.35924162582000e-07	 -1.41976168082333e-05	-5.34687189592112e-12		1.00000000010080e+00
3.00000000000000e-01    	1.79354538984871e-08 	 -3.00000124120138e+00   -4.06149426418291e-13 	5.73234942149609e-08	 -2.18771694990303e-05	-1.26955372954753e-11		1.00000000023931e+00
3.30000000000000e-01    	1.71335155552475e-08 	 -3.00000203852682e+00   -9.74543491555325e-13 	-1.33472572748560e-07	 -3.16063642569921e-05	-2.64982871561504e-11		1.00000000049949e+00
3.60000000000000e-01    	8.30774603014087e-09 	 -3.00000315536841e+00   -2.08621084473334e-12 	-4.86322945586621e-07	 -4.31012164544962e-05	-4.92773804872277e-11		1.00000000092898e+00
3.90000000000000e-01    	-1.41994803948401e-08 	 -3.00000463573171e+00   -4.03444650954578e-12 	-1.05448834809808e-06	 -5.56942983542470e-05	-8.22791510231859e-11		1.00000000155148e+00
4.20000000000000e-01    	-5.76343424304670e-08 	 -3.00000649704276e+00   -7.10825071454647e-12 	-1.88967995702960e-06	 -6.82729660032777e-05	-1.23641872226584e-10		1.00000000233238e+00
4.50000000000000e-01    	-1.30695720927878e-07 	 -3.00000871622652e+00   -1.14707432188998e-11 	-3.03592885337647e-06	 -7.92474657743736e-05	-1.66585985498137e-10		1.00000000314469e+00
4.80000000000000e-01    	-2.43201697472648e-07 	 -3.00001121539176e+00   -1.69968598126636e-11 	-4.52260470836116e-06	 -8.65579670701706e-05	-1.98738265447735e-10		1.00000000375637e+00
5.10000000000000e-01    	-4.05539274126371e-07 	 -3.00001384840196e+00   -2.31268885707043e-11 	-6.35702807332515e-06	 -8.77275421903317e-05	-2.04145245253814e-10		1.00000000386827e+00
5.40000000000000e-01    	-6.27893050325285e-07 	 -3.00001638978135e+00   -2.88416004253626e-11 	-8.51721964378094e-06	 -7.99653022130074e-05	-1.69617761525632e-10		1.00000000323350e+00
5.70000000000000e-01    	-9.19266116303993e-07 	 -3.00001852748152e+00   -3.29078264474218e-11 	-1.09454074146397e-05	 -6.03204382135970e-05	-9.65165395640517e-11		1.00000000187918e+00
6.00000000000000e-01    	-1.28632589285046e-06 	 -3.00001986099840e+00   -3.45589361162400e-11 	-1.35429640245497e-05	 -2.58840032513602e-05	-1.77741412490738e-11		1.00000000042670e+00
6.30000000000000e-01    	-1.73212819031438e-06 	 -3.00001990617286e+00   -3.47392595494473e-11 	-1.61674654579538e-05	 2.59688605235988e-05	-1.78908236602223e-11		1.00000000046788e+00
6.60000000000000e-01    	-2.25479327255370e-06 	 -3.00001810772740e+00   -3.79368535705389e-11 	-1.86325396321462e-05	 9.73076248905048e-05	-2.51163711971068e-10		1.00000000490797e+00
6.90000000000000e-01    	-2.84622677969940e-06 	 -3.00001386019319e+00   -5.44511584589728e-11 	-2.07110976244070e-05	 1.89361127056488e-04	-9.51132408181834e-10		1.00000001814329e+00
7.20000000000000e-01    	-3.49099420313054e-06 	 -3.00000653737913e+00   -1.02709392854000e-10 	-2.21423987669235e-05	 3.02236610026464e-04	-2.42299591080215e-09		1.00000004591863e+00
7.50000000000000e-01    	-4.16546807839823e-06 	 -2.99999552995133e+00   -2.11003020050353e-10 	-2.26431832490152e-05	 4.34663526716876e-04	-5.01147017293212e-09		1.00000009472254e+00
7.80000000000000e-01    	-4.83736981110627e-06 	 -2.99998029005768e+00   -4.17832757519564e-10 	-2.19228088881326e-05	 5.83783698658423e-04	-9.03989997872337e-09		1.00000017064199e+00
8.10000000000000e-01    	-5.46582078931531e-06 	 -2.99996038128328e+00   -7.70010761495309e-10 	-1.97019610657255e-05	 7.45009238623483e-04	-1.47226057404967e-08		1.00000027771343e+00
8.40000000000000e-01    	-6.00199837110291e-06 	 -2.99993553160087e+00   -1.31785035160672e-09 	-1.57340912743985e-05	 9.11968054920906e-04	-2.20608886589813e-08		1.00000041596656e+00
8.70000000000000e-01    	-6.39046068399642e-06 	 -2.99990568642746e+00   -2.10722629780619e-09 	-9.82832271490303e-06	 1.07655371868348e-03	-3.07424312536333e-08		1.00000057953208e+00
9.00000000000000e-01    	-6.57116066442657e-06 	 -2.99987105845828e+00   -3.16900728774919e-09 	-1.87219859080573e-06	 1.22909204508520e-03	-4.00718299897716e-08		1.00000075533510e+00
9.30000000000000e-01    	-6.48211700893979e-06 	 -2.99983217066103e+00   -4.50726817704032e-09 	8.14759388205277e-06	 1.35863105475730e-03	-4.89640359901573e-08		1.00000092297194e+00
9.60000000000000e-01    	-6.06265227981819e-06 	 -2.99978988871192e+00   -6.08862466773623e-09 	2.01284502896488e-05	 1.45335426943266e-03	-5.60299928728021e-08		1.00000105632134e+00
9.90000000000000e-01    	-5.25705254833268e-06 	 -2.99974543926695e+00   -7.83577165058343e-09 	3.38407839028823e-05	 1.50110986256570e-03	-5.97729559556528e-08		1.00000112723738e+00
1.02000000000000e+00    	-4.01845584483450e-06 	 -2.99970041080227e+00   -9.62858991878961e-09 	4.89240134132861e-05	 1.49004040514287e-03	-5.88945458295270e-08		1.00000111130637e+00
1.05000000000000e+00    	-2.31274530119962e-06 	 -2.99965673433194e+00   -1.13157758675797e-08 	6.48903209291553e-05	 1.40929024272507e-03	-5.26832560747874e-08		1.00000099515438e+00
1.08000000000000e+00    	-1.22212646759159e-07 	 -2.99961664210938e+00   -1.27386920878029e-08 	8.11361306271846e-05	 1.24976036392168e-03	-4.14288669459363e-08		1.00000078424171e+00
1.11000000000000e+00    	2.55122883368562e-06 	 -2.99958260341821e+00   -1.37670302768372e-08 	9.69604690978185e-05	 1.00487442915810e-03	-2.67799491376446e-08		1.00000050958685e+00
1.14000000000000e+00    	5.68346710472211e-06 	 -2.99955723772357e+00   -1.43431163616355e-08 	1.11588700349324e-04	 6.71314856772684e-04	-1.19454525729981e-08		1.00000023155781e+00
1.17000000000000e+00    	9.22638313239636e-06 	 -2.99954320673665e+00   -1.45286793382441e-08 	1.24199726229934e-04	 2.49684899945103e-04	-1.64216274327135e-09		1.00000003888406e+00
1.20000000000000e+00    	1.31068861500746e-05 	 -2.99954308828587e+00   -1.45452421829328e-08 	1.33954720599590e-04	 -2.54948188145772e-04	-1.71264696350907e-09		1.00000004147122e+00
1.23000000000000e+00    	1.72268141479025e-05 	 -2.99955923621893e+00   -1.47976713295584e-08 	1.40025873967435e-04	 -8.32672283508643e-04	-1.83847933085132e-08		1.00000035647513e+00
1.26000000000000e+00    	2.14636867850515e-05 	 -2.99959363180982e+00   -1.58705149873430e-08 	1.41624427003801e-04	 -1.46855120046581e-03	-5.72109549237964e-08		1.00000108834946e+00
1.29000000000000e+00    	2.56722917214173e-05 	 -2.99964773323687e+00   -1.84890676838984e-08 	1.38028328428555e-04	 -2.14268009294522e-03	-1.21803464668636e-07		1.00000230506225e+00
1.32000000000000e+00    	2.96871118685774e-05 	 -2.99972233056080e+00   -2.34417825668248e-08 	1.28610934722930e-04	 -2.83049954119591e-03	-2.12560383080679e-07		1.00000401412618e+00
1.35000000000000e+00    	3.33256567272346e-05 	 -2.99981741419570e+00   -3.14674183085100e-08 	1.12872982898059e-04	 -3.50338151675542e-03	-3.25634038489049e-07		1.00000614319236e+00
1.38000000000000e+00    	3.63928331801389e-05 	 -2.99993206507479e+00   -4.31183398938219e-08 	9.04803087826873e-05	 -4.12948783025150e-03	-4.52417979730184e-07		1.00000853039193e+00
1.41000000000000e+00    	3.86865587428696e-05 	 -3.00006437452273e+00   -5.86193972977412e-08 	6.13092017418410e-05	 -4.67488790166141e-03	-5.79801206546916e-07		1.00001092910830e+00
1.44000000000000e+00    	4.00048564236455e-05 	 -3.00021140123115e+00   -7.77481555373975e-08 	2.54997554633265e-05	 -5.10490835883600e-03	-6.91354550456951e-07		1.00001303028514e+00
1.47000000000000e+00    	4.01546468808978e-05 	 -3.00036917168974e+00   -9.97652365825115e-08 	-1.64848515890227e-05	 -5.38567274348114e-03	-7.69475337249376e-07		1.00001450276646e+00
1.50000000000000e+00    	3.89623471686323e-05 	 -3.00053272896681e+00   -1.23421699855408e-07 	-6.37982629303050e-05	 -5.48577619477273e-03	-7.98337159372544e-07		1.00001504879242e+00
1.53000000000000e+00    	3.62861839785994e-05 	 -3.00069623289906e+00   -1.47062877197608e-07 	-1.15158348178828e-04	 -5.37802809885365e-03	-7.67297398117441e-07		1.00001446811947e+00
1.56000000000000e+00    	3.20298378660242e-05 	 -3.00085311259753e+00   -1.68834946531219e-07 	-1.68813106526514e-04	 -5.04118601396251e-03	-6.74240642022720e-07		1.00001272094646e+00
1.59000000000000e+00    	2.61566790180007e-05 	 -3.00099626977821e+00   -1.86982942483552e-07 	-2.22537547505235e-04	 -4.46159732317316e-03	-5.28219928385921e-07		1.00000997763718e+00
1.62000000000000e+00    	1.87034811447151e-05 	 -3.00111832887299e+00   -2.00209160873717e-07 	-2.73673629710586e-04	 -3.63466156907286e-03	-3.50735654733329e-07		1.00000664280899e+00
1.65000000000000e+00    	9.79217166715891e-06 	 -3.00121192726838e+00   -2.08042255556785e-07 	-3.19222610725271e-04	 -2.56602673411374e-03	-1.75089657802864e-07		1.00000334319256e+00
1.68000000000000e+00    	-3.62033659784863e-07 	 -3.00127003647231e+00   -2.11153513662898e-07 	-3.55993983274091e-04	 -1.27243718528337e-03	-4.34775365472445e-08		1.00000087291367e+00
1.71000000000000e+00    	-1.14477848858600e-05 	 -3.00128630264560e+00   -2.11551512894208e-07 	-3.80807859125293e-04	 2.17840192138016e-04	-1.82137407297639e-09		1.00000009623448e+00
1.74000000000000e+00    	-2.30614926304646e-05 	 -3.00125539288781e+00   -2.12592500740324e-07 	-3.90739002504024e-04	 1.86507195355306e-03	-9.27585628872841e-08		1.00000181558354e+00
1.77000000000000e+00    	-3.47189276800874e-05 	 -3.00117333207481e+00   -2.18762765344479e-07 	-3.83381925810631e-04	 3.61863902962202e-03	-3.47629157407725e-07		1.00000662074321e+00
1.80000000000000e+00    	-4.58747536002794e-05 	 -3.00103781403913e+00   -2.35220271959997e-07 	-3.57109049302071e-04	 5.41816436463470e-03	-7.78667565948670e-07		1.00001474190762e+00
1.83000000000000e+00    	-5.59493015747974e-05 	 -3.00084847058071e+00   -2.67122801631532e-07 	-3.11289467280771e-04	 7.19518483011171e-03	-1.37282418352141e-06		1.00002593345761e+00
1.86000000000000e+00    	-6.43609056188546e-05 	 -3.00060708228068e+00   -3.18813333320929e-07 	-2.46435715777543e-04	 8.87533888499398e-03	-2.08864917727693e-06		1.00003941541084e+00
1.89000000000000e+00    	-7.05611982654890e-05 	 -3.00031771640363e+00   -3.92973296945470e-07 	-1.64250949436743e-04	 1.03810147253848e-02	-2.85742039802211e-06		1.00005389477431e+00
1.92000000000000e+00    	-7.40700812771264e-05 	 -2.99998677930035e+00   -4.89882687745159e-07 	-6.75591925177689e-05	 1.16343777775534e-02	-3.58918564921319e-06		1.00006767937145e+00
1.95000000000000e+00    	-7.45067804933997e-05 	 -2.99962297359185e+00   -6.06935546813527e-07 	3.98840022947313e-05	 1.25606728120394e-02	-4.18365866914783e-06		1.00007888294360e+00
1.98000000000000e+00    	-7.16135758605985e-05 	 -2.99923715390615e+00   -7.38544679374702e-07 	1.53685827823236e-04	 1.30916760176021e-02	-4.54504806243429e-06		1.00008570413787e+00
2.01000000000000e+00    	-6.52695084552156e-05 	 -2.99884207890099e+00   -8.76528739309092e-07 	2.69183297034557e-04	 1.31691571146437e-02	-4.59903821794011e-06		1.00008674582754e+00
