0.00000000000000e+00    	0.00000000000000e+00 	 9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-5.51286779039925e-13 	 9.27050983107453e-01   2.85316954890000e+00 	-8.98746878490584e-11	 -2.06579883271807e-09	8.25244478081819e-20		1.00000000000000e+00
6.00000000000000e-02    	-1.55745499288560e-11 	 9.27050982746185e-01   2.85316954890000e+00 	-1.22455922019563e-09	 -3.01218304148594e-08	2.20963063971096e-17		1.00000000000000e+00
9.00000000000000e-02    	-1.00666799188102e-10 	 9.27050980538423e-01   2.85316954890000e+00 	-4.97779526207255e-09	 -1.34127991336432e-07	5.54106506722821e-16		1.00000000000001e+00
1.20000000000000e-01    	-3.43446349015259e-10 	 9.27050973499713e-01   2.85316954890000e+00 	-1.15256567433505e-08	 -3.56248512869463e-07	5.06874524832261e-15		1.00000000000006e+00
1.50000000000000e-01    	-7.86367730605768e-10 	 9.27050958059444e-01   2.85316954890000e+00 	-1.72887897756575e-08	 -6.85378459741213e-07	2.57343503192246e-14		1.00000000000023e+00
1.80000000000000e-01    	-1.28010042214263e-09 	 9.27050932382606e-01   2.85316954890000e+00 	-1.27268634520645e-08	 -1.00908412579286e-06	8.62898346382339e-14		1.00000000000051e+00
2.10000000000000e-01    	-1.27794036196574e-09 	 9.27050900077959e-01   2.85316954890000e+00 	1.93231178973820e-08	 -1.07052643810078e-06	2.04107958152334e-13		1.00000000000057e+00
2.40000000000000e-01    	4.06889497069517e-10 	 9.27050875027590e-01   2.85316954890001e+00 	1.04403596592279e-07	 -4.38021807972257e-07	3.29794052540831e-13		1.00000000000010e+00
2.70000000000000e-01    	5.84929444835256e-09 	 9.27050886851216e-01   2.85316954890002e+00 	2.75995437741687e-07	 1.50576209430897e-06	2.47326362709396e-13		1.00000000000117e+00
3.00000000000000e-01    	1.82266203676725e-08 	 9.27050986327554e-01   2.85316954890002e+00 	5.73687391545450e-07	 5.54935311043473e-06	-4.94195081540564e-13		1.00000000001556e+00
