t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
1.05000000e+00	-7.42462120e-01	2.00000180e+00	9.65010479e-13	-1.00000000e+00	-2.03176455e-05	6.80348235e-12	1.41421356e+00	0.00000000e+00	-2.44823585e-04	0.00000000e+00	1.94824243e-05	0.00000000e+00	-2.44823585e-04
1.10000000e+00	-7.77817459e-01	2.00000073e+00	1.52480773e-12	-1.00000000e+00	-4.00079010e-05	2.63800610e-11	1.41421356e+00	0.00000000e+00	-2.02484660e-04	0.00000000e+00	1.61132114e-05	0.00000000e+00	-2.02484660e-04
1.15000000e+00	-8.13172798e-01	1.99999906e+00	2.82739777e-12	-9.99999999e-01	-5.24715985e-05	4.53767023e-11	1.41421356e+00	0.00000000e+00	-7.63379181e-05	0.00000000e+00	6.07478136e-06	0.00000000e+00	-7.63379181e-05
1.20000000e+00	-8.48528137e-01	1.99999718e+00	4.47634662e-12	-9.99999999e-01	-5.12007828e-05	4.32053466e-11	1.41421356e+00	0.00000000e+00	1.13441768e-04	0.00000000e+00	-9.02742179e-06	0.00000000e+00	1.13441768e-04
1.25000000e+00	-8.83883476e-01	1.99999564e+00	5.59067290e-12	-1.00000000e+00	-3.26637499e-05	1.75838903e-11	1.41421356e+00	0.00000000e+00	3.18113516e-04	0.00000000e+00	-2.53147244e-05	0.00000000e+00	3.18113516e-04
1.30000000e+00	-9.19238815e-01	1.99999506e+00	5.80915020e-12	-1.00000000e+00	1.62139623e-06	4.32227548e-14	1.41421356e+00	0.00000000e+00	4.70678359e-04	0.00000000e+00	-3.74554863e-05	0.00000000e+00	4.70678359e-04
1.35000000e+00	-9.54594154e-01	1.99999586e+00	6.19909792e-12	-1.00000000e+00	4.43085962e-05	3.23563866e-11	1.41421356e+00	0.00000000e+00	5.05377062e-04	0.00000000e+00	-4.02167120e-05	0.00000000e+00	5.05377062e-04
1.40000000e+00	-9.89949493e-01	1.99999815e+00	8.71354526e-12	-9.99999999e-01	8.33337167e-05	1.14452772e-10	1.41421356e+00	0.00000000e+00	3.81317829e-04	0.00000000e+00	-3.03443368e-05	0.00000000e+00	3.81317829e-04
1.45000000e+00	-1.02530483e+00	2.00000155e+00	1.41219186e-11	-9.99999998e-01	1.04950045e-04	1.81530654e-10	1.41421356e+00	0.00000000e+00	1.02585361e-04	0.00000000e+00	-8.16347731e-06	0.00000000e+00	1.02585361e-04
1.50000000e+00	-1.06066017e+00	2.00000523e+00	2.04493869e-11	-9.99999998e-01	9.80420474e-05	1.58419870e-10	1.41421356e+00	0.00000000e+00	-2.73117905e-04	0.00000000e+00	2.17339755e-05	0.00000000e+00	-2.73117905e-04
