t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
0.00000000e+00	0.00000000e+00	2.00000000e+00	0.00000000e+00	-1.00000000e+00	0.00000000e+00	0.00000000e+00	1.41421356e+00	0.00000000e+00	-0.00000000e+00	0.00000000e+00	-nan	0.00000000e+00	-0.00000000e+00
5.00000000e-02	-3.53553391e-02	2.00000000e+00	5.79539956e-25	-1.00000000e+00	1.04068998e-10	1.78493477e-22	1.41421356e+00	0.00000000e+00	6.01104919e-09	0.00000000e+00	-4.78344096e-10	0.00000000e+00	6.01104919e-09
1.00000000e-01	-7.07106781e-02	2.00000000e+00	9.93178508e-22	-1.00000000e+00	2.99388889e-09	1.47725580e-19	1.41421356e+00	0.00000000e+00	8.26209581e-08	0.00000000e+00	-6.57476694e-09	0.00000000e+00	8.26209581e-08
1.50000000e-01	-1.06066017e-01	2.00000000e+00	6.30721205e-20	-1.00000000e+00	1.88614008e-08	5.86316799e-18	1.41421356e+00	0.00000000e+00	3.16995899e-07	0.00000000e+00	-2.52257321e-08	0.00000000e+00	3.16995899e-07
2.00000000e-01	-1.41421356e-01	2.00000000e+00	9.42197530e-19	-1.00000000e+00	5.96773294e-08	5.86952848e-17	1.41421356e+00	0.00000000e+00	6.30859198e-07	0.00000000e+00	-5.02021798e-08	0.00000000e+00	6.30859198e-07
2.50000000e-01	-1.76776695e-01	2.00000000e+00	5.71282869e-18	-1.00000000e+00	1.18427486e-07	2.31147646e-16	1.41421356e+00	0.00000000e+00	6.51264148e-07	0.00000000e+00	-5.18259541e-08	0.00000000e+00	6.51264148e-07
3.00000000e-01	-2.12132034e-01	2.00000001e+00	1.68913916e-17	-1.00000000e+00	1.46119771e-07	3.51886344e-16	1.41421356e+00	0.00000000e+00	-1.92893146e-07	0.00000000e+00	1.53499487e-08	0.00000000e+00	-1.92893146e-07
3.50000000e-01	-2.47487373e-01	2.00000001e+00	2.47315371e-17	-1.00000000e+00	4.86240414e-08	3.89660600e-17	1.41421356e+00	0.00000000e+00	-2.31104584e-06	0.00000000e+00	1.83907183e-07	0.00000000e+00	-2.31104584e-06
4.00000000e-01	-2.82842712e-01	2.00000001e+00	3.49672743e-17	-1.00000000e+00	-2.78988624e-07	1.28279554e-15	1.41421356e+00	0.00000000e+00	-5.47034348e-06	0.00000000e+00	4.35316100e-07	0.00000000e+00	-5.47034348e-06
4.50000000e-01	-3.18198052e-01	1.99999999e+00	2.34650657e-16	-1.00000000e+00	-8.81721681e-07	1.28129017e-14	1.41421356e+00	0.00000000e+00	-8.47650089e-06	0.00000000e+00	6.74538512e-07	0.00000000e+00	-8.47650089e-06
5.00000000e-01	-3.53553391e-01	1.99999995e+00	1.19987937e-15	-1.00000000e+00	-1.66427180e-06	4.56491786e-14	1.41421356e+00	0.00000000e+00	-9.30681564e-06	0.00000000e+00	7.40612877e-07	0.00000000e+00	-9.30681564e-06
5.50000000e-01	-3.88908730e-01	1.99999987e+00	3.62470761e-15	-1.00000000e+00	-2.34686546e-06	9.07738701e-14	1.41421356e+00	0.00000000e+00	-5.82634241e-06	0.00000000e+00	4.63645626e-07	0.00000000e+00	-5.82634241e-06
6.00000000e-01	-4.24264069e-01	1.99999979e+00	7.23400553e-15	-1.00000000e+00	-2.50280118e-06	1.03237426e-13	1.41421356e+00	0.00000000e+00	3.06549866e-06	0.00000000e+00	-2.43944659e-07	0.00000000e+00	3.06549866e-06
6.50000000e-01	-4.59619408e-01	1.99999971e+00	1.00727267e-14	-1.00000000e+00	-1.69727602e-06	4.74776666e-14	1.41421356e+00	0.00000000e+00	1.63011600e-05	0.00000000e+00	-1.29720529e-06	0.00000000e+00	1.63011600e-05
7.00000000e-01	-4.94974747e-01	1.99999968e+00	1.06392342e-14	-1.00000000e+00	2.98688573e-07	1.47034197e-15	1.41421356e+00	0.00000000e+00	3.01184923e-05	0.00000000e+00	-2.39675384e-06	0.00000000e+00	3.01184923e-05
7.50000000e-01	-5.30330086e-01	1.99999974e+00	1.28327656e-14	-1.00000000e+00	3.29390059e-06	1.78815625e-13	1.41421356e+00	0.00000000e+00	3.86366637e-05	0.00000000e+00	-3.07460840e-06	0.00000000e+00	3.86366637e-05
8.00000000e-01	-5.65685425e-01	1.99999992e+00	2.76375033e-14	-1.00000000e+00	6.56519488e-06	7.10362023e-13	1.41421356e+00	0.00000000e+00	3.56623734e-05	0.00000000e+00	-2.83792162e-06	0.00000000e+00	3.56623734e-05
8.50000000e-01	-6.01040764e-01	2.00000020e+00	6.41289784e-14	-1.00000000e+00	8.93988537e-06	1.31718984e-12	1.41421356e+00	0.00000000e+00	1.73217377e-05	0.00000000e+00	-1.37841996e-06	0.00000000e+00	1.73217377e-05
9.00000000e-01	-6.36396103e-01	2.00000052e+00	1.14070282e-13	-1.00000000e+00	9.10732347e-06	1.36699207e-12	1.41421356e+00	0.00000000e+00	-1.53844643e-05	0.00000000e+00	1.22425645e-06	0.00000000e+00	-1.53844643e-05
9.50000000e-01	-6.71751442e-01	2.00000080e+00	1.50800660e-13	-1.00000000e+00	6.10480921e-06	6.14226945e-13	1.41421356e+00	0.00000000e+00	-5.52383083e-05	0.00000000e+00	4.39572314e-06	0.00000000e+00	-5.52383083e-05
1.00000000e+00	-7.07106781e-01	2.00000092e+00	1.58750410e-13	-1.00000000e+00	-1.68896037e-07	4.70708608e-16	1.41421356e+00	0.00000000e+00	-8.96160921e-05	0.00000000e+00	7.13141876e-06	0.00000000e+00	-8.96160921e-05
1.05000000e+00	-7.42462120e-01	2.00000076e+00	1.72970904e-13	-1.00000000e+00	-8.61495196e-06	1.22317950e-12	1.41421356e+00	0.00000000e+00	-1.03752214e-04	0.00000000e+00	8.25633569e-06	0.00000000e+00	-1.03752214e-04
