t	x	y	z	px	py	pz	gam	Ex	Ey	Ez	Bx	By	Bz
0.00000000e+00	0.00000000e+00	2.00000000e+00	0.00000000e+00	-1.00000000e+00	0.00000000e+00	0.00000000e+00	1.41421356e+00	0.00000000e+00	-0.00000000e+00	0.00000000e+00	-nan	0.00000000e+00	-0.00000000e+00
5.00000000e-02	-3.53553391e-02	2.00000000e+00	2.36685496e-21	-1.00000000e+00	6.64977705e-09	7.28775530e-19	1.41421356e+00	0.00000000e+00	3.83968478e-07	0.00000000e+00	-3.05552406e-08	0.00000000e+00	3.83968478e-07
1.00000000e-01	-7.07106781e-02	2.00000000e+00	4.04445493e-18	-1.00000000e+00	1.91000320e-07	6.01246467e-16	1.41421356e+00	0.00000000e+00	5.26743985e-06	0.00000000e+00	-4.19169544e-07	0.00000000e+00	5.26743985e-06
1.50000000e-01	-1.06066017e-01	2.00000002e+00	2.56127127e-16	-1.00000000e+00	1.20144239e-06	2.37897759e-14	1.41421356e+00	0.00000000e+00	2.01709253e-05	0.00000000e+00	-1.60515121e-06	0.00000000e+00	2.01709253e-05
2.00000000e-01	-1.41421356e-01	2.00000011e+00	3.81615327e-15	-1.00000000e+00	3.79583694e-06	2.37464961e-13	1.41421356e+00	0.00000000e+00	4.00650962e-05	0.00000000e+00	-3.18827888e-06	0.00000000e+00	4.00650962e-05
2.50000000e-01	-1.76776695e-01	2.00000031e+00	2.30866553e-14	-1.00000000e+00	7.52335715e-06	9.32841321e-13	1.41421356e+00	0.00000000e+00	4.12810993e-05	0.00000000e+00	-3.28504500e-06	0.00000000e+00	4.12810993e-05
3.00000000e-01	-2.12132034e-01	2.00000062e+00	6.81641529e-14	-1.00000000e+00	9.27769486e-06	1.41861506e-12	1.41421356e+00	0.00000000e+00	-1.22030943e-05	0.00000000e+00	9.71091090e-07	0.00000000e+00	-1.22030943e-05
3.50000000e-01	-2.47487373e-01	2.00000087e+00	9.98339218e-14	-1.00000000e+00	3.11759878e-06	1.60186417e-13	1.41421356e+00	0.00000000e+00	-1.45921589e-04	0.00000000e+00	1.16120660e-05	0.00000000e+00	-1.45921589e-04
4.00000000e-01	-2.82842712e-01	2.00000066e+00	1.40229715e-13	-1.00000000e+00	-1.75453294e-05	5.07349657e-12	1.41421356e+00	0.00000000e+00	-3.44732373e-04	0.00000000e+00	2.74329215e-05	0.00000000e+00	-3.44732373e-04
4.50000000e-01	-3.18198052e-01	1.99999942e+00	9.31105522e-13	-9.99999999e-01	-5.54890472e-05	5.07456683e-11	1.41421356e+00	0.00000000e+00	-5.33137400e-04	0.00000000e+00	4.24257386e-05	0.00000000e+00	-5.33137400e-04
5.00000000e-01	-3.53553390e-01	1.99999660e+00	4.75072973e-12	-9.99999998e-01	-1.04659589e-04	1.80527271e-10	1.41421356e+00	0.00000000e+00	-5.84221065e-04	0.00000000e+00	4.64909142e-05	0.00000000e+00	-5.84221065e-04
5.50000000e-01	-3.88908729e-01	1.99999209e+00	1.43313992e-11	-9.99999995e-01	-1.47469580e-04	3.58418230e-10	1.41421357e+00	0.00000000e+00	-3.65026294e-04	0.00000000e+00	2.90479844e-05	0.00000000e+00	-3.65026294e-04
6.00000000e-01	-4.24264068e-01	1.99998657e+00	2.85771795e-11	-9.99999995e-01	-1.57237324e-04	4.07470921e-10	1.41421357e+00	0.00000000e+00	1.91681359e-04	0.00000000e+00	-1.52536204e-05	0.00000000e+00	1.91681359e-04
6.50000000e-01	-4.59619407e-01	1.99998169e+00	3.97971944e-11	-9.99999998e-01	-1.06929813e-04	1.88442912e-10	1.41421356e+00	0.00000000e+00	1.01729450e-03	0.00000000e+00	-8.09544657e-05	0.00000000e+00	1.01729450e-03
7.00000000e-01	-4.94974746e-01	1.99997989e+00	4.20633972e-11	-1.00000000e+00	1.74967794e-05	5.04270918e-12	1.41421356e+00	0.00000000e+00	1.87590141e-03	0.00000000e+00	-1.49280993e-04	0.00000000e+00	1.87590141e-03
7.50000000e-01	-5.30330085e-01	1.99998367e+00	5.04230119e-11	-9.99999991e-01	2.03860364e-04	6.84939509e-10	1.41421357e+00	0.00000000e+00	2.40173186e-03	0.00000000e+00	-1.91125310e-04	0.00000000e+00	2.40173186e-03
8.00000000e-01	-5.65685423e-01	1.99999451e+00	1.07282159e-10	-9.99999966e-01	4.07013678e-04	2.73026496e-09	1.41421360e+00	0.00000000e+00	2.21249859e-03	0.00000000e+00	-1.76065527e-04	0.00000000e+00	2.21249859e-03
8.50000000e-01	-6.01040759e-01	2.00001179e+00	2.47541615e-10	-9.99999936e-01	5.54211199e-04	5.06216258e-09	1.41421363e+00	0.00000000e+00	1.07253569e-03	0.00000000e+00	-8.53491750e-05	0.00000000e+00	1.07253569e-03
9.00000000e-01	-6.36396094e-01	2.00003208e+00	4.39455139e-10	-9.99999934e-01	5.64596930e-04	5.25366692e-09	1.41421363e+00	0.00000000e+00	-9.50712379e-04	0.00000000e+00	7.56540738e-05	0.00000000e+00	-9.50712379e-04
9.50000000e-01	-6.71751430e-01	2.00004939e+00	5.80775878e-10	-9.99999970e-01	3.79267912e-04	2.37077422e-09	1.41421359e+00	0.00000000e+00	-3.40684299e-03	0.00000000e+00	2.71101257e-04	0.00000000e+00	-3.40684299e-03
1.00000000e+00	-7.07106768e-01	2.00005650e+00	6.11674101e-10	-1.00000000e+00	-7.25353061e-06	1.00406092e-12	1.41421356e+00	0.00000000e+00	-5.51619866e-03	0.00000000e+00	4.38952742e-04	0.00000000e+00	-5.51619866e-03
