0.00000000000000e+00    	0.00000000000000e+00 	 -4.75528258150000e+00  	1.54508497190000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	1.04317763859594e-12 	 -4.75528258150000e+00   1.54508497190000e+00 	1.71749223945673e-10	 1.75616407920727e-20	4.69509895459641e-31		1.00000000000000e+00
6.00000000000000e-02    	3.10787305819487e-11 	 -4.75528258150000e+00   1.54508497190000e+00 	2.50431015220987e-09	 3.61181284351790e-19	1.36490071087899e-28		1.00000000000000e+00
9.00000000000000e-02    	2.14630688634503e-10 	 -4.75528258150000e+00   1.54508497190000e+00 	1.11513172967339e-08	 2.18934582103913e-18	3.56626342252423e-27		1.00000000000000e+00
1.20000000000000e-01    	7.99824655614315e-10 	 -4.75528258150000e+00   1.54508497190000e+00 	2.96182781972638e-08	 7.88915508551291e-18	3.26658546119447e-26		1.00000000000000e+00
1.50000000000000e-01    	2.08351894156474e-09 	 -4.75528258150000e+00   1.54508497190000e+00 	5.69819351506587e-08	 2.11538650131711e-17	1.56673576402331e-25		1.00000000000000e+00
1.80000000000000e-01    	4.21827510656447e-09 	 -4.75528258150000e+00   1.54508497190000e+00 	8.38946212513750e-08	 4.67147485714072e-17	4.36473068864403e-25		1.00000000000000e+00
2.10000000000000e-01    	6.90406324248574e-09 	 -4.75528258150000e+00   1.54508497190000e+00 	8.90029008621600e-08	 8.97153152689331e-17	5.03694917145630e-25		1.00000000000000e+00
2.40000000000000e-01    	8.98673547550312e-09 	 -4.75528258150000e+00   1.54508497190000e+00 	3.64168717715118e-08	 1.54757945010500e-16	-1.69313125820132e-24		1.00000000000000e+00
2.70000000000000e-01    	8.00372692555864e-09 	 -4.75528258150000e+00   1.54508497190000e+00 	-1.25188124203626e-07	 2.44694535498907e-16	-1.24093517467337e-23		1.00000000000001e+00
3.00000000000000e-01    	-2.66676037262534e-10 	 -4.75528258150000e+00   1.54508497190000e+00 	-4.61369957338796e-07	 3.59270316571209e-16	-4.58406128994357e-23		1.00000000000011e+00
3.30000000000000e-01    	-2.21845279221042e-08 	 -4.75528258150000e+00   1.54508497190000e+00 	-1.04831832893998e-06	 4.93760222479802e-16	-1.27991501874927e-22		1.00000000000055e+00
3.60000000000000e-01    	-6.64819606091033e-08 	 -4.75528258150000e+00   1.54508497190000e+00 	-1.96676325432376e-06	 6.37757233234247e-16	-2.98220435222571e-22		1.00000000000193e+00
3.90000000000000e-01    	-1.44278353599775e-07 	 -4.75528258150000e+00   1.54508497190000e+00 	-3.29354068859859e-06	 7.74279636847908e-16	-6.04877889588390e-22		1.00000000000542e+00
4.20000000000000e-01    	-2.68811966646363e-07 	 -4.75528258150000e+00   1.54508497190000e+00 	-5.09121088767521e-06	 8.79357778659852e-16	-1.09145725543108e-21		1.00000000001296e+00
4.50000000000000e-01    	-4.54838579308579e-07 	 -4.75528258150000e+00   1.54508497190000e+00 	-7.39636535603545e-06	 9.22240046740907e-16	-1.77171830545319e-21		1.00000000002735e+00
4.80000000000000e-01    	-7.17670043931245e-07 	 -4.75528258150000e+00   1.54508497190000e+00 	-1.02074711974286e-05	 8.66323100460953e-16	-2.59683785555570e-21		1.00000000005210e+00
5.10000000000000e-01    	-1.07185376772553e-06 	 -4.75528258150000e+00   1.54508497190000e+00 	-1.34732689353448e-05	 6.70864208684684e-16	-3.42446099958910e-21		1.00000000009076e+00
5.40000000000000e-01    	-1.52952637282533e-06 	 -4.75528258150000e+00   1.54508497190000e+00 	-1.70828450664618e-05	 2.93476514256515e-16	-4.00708333644209e-21		1.00000000014591e+00
5.70000000000000e-01    	-2.09850907293585e-06 	 -4.75528258150000e+00   1.54508497190000e+00 	-2.08585306639108e-05	 -3.06655581804086e-16	-4.02285307671848e-21		1.00000000021754e+00
6.00000000000000e-01    	-2.78024625313211e-06 	 -4.75528258150000e+00   1.54508497190000e+00 	-2.45527234381983e-05	 -1.16496991007096e-15	-3.17229898856152e-21		1.00000000030142e+00
6.30000000000000e-01    	-3.56771975684842e-06 	 -4.75528258150000e+00   1.54508497190000e+00 	-2.78495890375954e-05	 -2.30732217697884e-15	-1.35651015114244e-21		1.00000000038780e+00
6.60000000000000e-01    	-4.44349685277864e-06 	 -4.75528258150000e+00   1.54508497190000e+00 	-3.03723698642382e-05	 -3.74563476757476e-15	1.06585149159798e-21		1.00000000046124e+00
6.90000000000000e-01    	-5.37808729804684e-06 	 -4.75528258150000e+00   1.54508497190000e+00 	-3.16967239425734e-05	 -5.47369628772572e-15	2.97279641397410e-21		1.00000000050234e+00
