0.00000000000000e+00    	0.00000000000000e+00 	 -7.00000000000000e+00  	8.57252759400000e-16    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-3.97447595492221e-13 	 -6.99999999999977e+00   8.57252759334731e-16 	-6.60091097702580e-11	 4.58653384040209e-11	-2.39142068821232e-23		1.00000000000000e+00
6.00000000000000e-02    	-1.23884043222139e-11 	 -6.99999999998546e+00   8.57252628671752e-16 	-1.01786265557221e-09	 1.44802552651434e-09	-2.38366034128969e-20		1.00000000000000e+00
9.00000000000000e-02    	-8.99957843878377e-11 	 -6.99999999983705e+00   8.57241866626566e-16 	-4.83847958857933e-09	 1.07555824644985e-08	-1.31510352997548e-18		1.00000000000000e+00
1.20000000000000e-01    	-3.55792408480861e-10 	 -6.99999999910536e+00   8.57007960425931e-16 	-1.39437988004236e-08	 4.39443116148572e-08	-2.19531790061838e-17		1.00000000000000e+00
1.50000000000000e-01    	-9.96618446446674e-10 	 -6.99999999668730e+00   8.54588337015153e-16 	-2.99742347940038e-08	 1.28847848418779e-07	-1.88732384478347e-16		1.00000000000001e+00
1.80000000000000e-01    	-2.21878659071185e-09 	 -6.99999999046379e+00   8.39029977621458e-16 	-5.23329717713437e-08	 3.05131697905104e-07	-1.05844118424784e-15		1.00000000000005e+00
2.10000000000000e-01    	-4.15811969553530e-09 	 -6.99999997698058e+00   7.67299529821258e-16 	-7.66727475231184e-08	 6.21412415360255e-07	-4.38987265646943e-15		1.00000000000020e+00
2.40000000000000e-01    	-6.74663122715071e-09 	 -6.99999995125994e+00   5.09276657386029e-16 	-9.35572577893585e-08	 1.12943229923748e-06	-1.45014847465047e-14		1.00000000000064e+00
2.70000000000000e-01    	-9.54455429558205e-09 	 -6.99999990682852e+00   -2.54638509173100e-16 	-8.75271606142060e-08	 1.87553474741395e-06	-3.99891608163572e-14		1.00000000000176e+00
3.00000000000000e-01    	-1.15531097032620e-08 	 -6.99999983603472e+00   -2.18307952823264e-15 	-3.67826946075736e-08	 2.89001999420823e-06	-9.49497366824966e-14		1.00000000000418e+00
3.30000000000000e-01    	-1.10292250726188e-08 	 -6.99999973070635e+00   -6.43409144408855e-15 	8.63444409050984e-08	 4.17526737272852e-06	-1.98180390259760e-13		1.00000000000872e+00
3.60000000000000e-01    	-5.32776008086104e-09 	 -6.99999958316922e+00   -1.47482414010455e-14 	3.14016039314521e-07	 5.69376171271405e-06	-3.68545167550934e-13		1.00000000001626e+00
3.90000000000000e-01    	9.20087465679562e-09 	 -6.99999938761011e+00   -2.93190864992445e-14 	6.80569847019534e-07	 7.35733411632085e-06	-6.15365554142875e-13		1.00000000002730e+00
4.20000000000000e-01    	3.72299003248283e-08 	 -6.99999914172701e+00   -5.23080693918104e-14 	1.21930573592547e-06	 9.01900196454539e-06	-9.24717968101733e-13		1.00000000004141e+00
4.50000000000000e-01    	8.43670893739217e-08 	 -6.99999884856818e+00   -8.49351829602905e-14 	1.95851233425955e-06	 1.04687565688225e-05	-1.24589850849243e-12		1.00000000005672e+00
4.80000000000000e-01    	1.56937805323827e-07 	 -6.99999851842316e+00   -1.26265107042909e-13 	2.91695974941321e-06	 1.14344936632042e-05	-1.48636838751944e-12		1.00000000006963e+00
5.10000000000000e-01    	2.61628549795191e-07 	 -6.99999817059664e+00   -1.72111808114455e-13 	4.09916428534776e-06	 1.15890141996821e-05	-1.52681211059541e-12		1.00000000007555e+00
5.40000000000000e-01    	4.04989600007019e-07 	 -6.99999783487385e+00   -2.14852525900913e-13 	5.49079589466326e-06	 1.05636511554102e-05	-1.26858727565685e-12		1.00000000007087e+00
5.70000000000000e-01    	5.92807151529314e-07 	 -6.99999755247587e+00   -2.45264372397289e-13 	7.05464232884918e-06	 7.96862072011238e-06	-7.21865841681451e-13		1.00000000005663e+00
6.00000000000000e-01    	8.29368119812623e-07 	 -6.99999737630808e+00   -2.57613407050395e-13 	8.72756047203591e-06	 3.41967888626670e-06	-1.32934148218393e-13		1.00000000004393e+00
6.30000000000000e-01    	1.11665354104620e-06 	 -6.99999737032571e+00   -2.58961148296556e-13 	1.04188315921100e-05	 -3.42988143364815e-06	-1.33728750013772e-13		1.00000000006016e+00
6.60000000000000e-01    	1.45350840929630e-06 	 -6.99999760787755e+00   -2.82870809628770e-13 	1.20102915012915e-05	 -1.28533964652063e-05	-1.87815242886682e-12		1.00000000015473e+00
6.90000000000000e-01    	1.83484583298481e-06 	 -6.99999816894148e+00   -4.06365413540754e-13 	1.33585292471546e-05	 -2.50131585042576e-05	-7.11269409085147e-12		1.00000000040205e+00
7.20000000000000e-01    	2.25095067314046e-06 	 -6.99999913623188e+00   -7.67249754958367e-13 	1.42993414756200e-05	 -3.99233129623069e-05	-1.81196962715228e-11		1.00000000089917e+00
