0.00000000000000e+00    	0.00000000000000e+00 	 6.12323399570000e-16  	1.00000000000000e+01    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
6.90000000000000e-01    	7.65526593098634e-07 	 4.77629761031888e-05   9.99999999998936e+00 	5.59478411300888e-06	 3.47730783791150e-04	-2.42652776498040e-10		1.00000006047400e+00
7.20000000000000e-01    	9.39868628934012e-07 	 5.85942688733725e-05   9.99999999998016e+00 	5.99316153691870e-06	 3.72207699733653e-04	-3.75809388910267e-10		1.00000006928724e+00
7.50000000000000e-01    	1.12263554185447e-06 	 6.99429282903712e-05   9.99999999996650e+00 	6.14340502567353e-06	 3.81429213999784e-04	-5.39371316458666e-10		1.00000007276299e+00
7.80000000000000e-01    	1.30520857235809e-06 	 8.12796800813234e-05   9.99999999994760e+00 	5.96733723860862e-06	 3.70621725827103e-04	-7.23263471692388e-10		1.00000006869803e+00
8.10000000000000e-01    	1.47666510998906e-06 	 9.19335935370184e-05   9.99999999992308e+00 	5.39053909229002e-06	 3.35166496849685e-04	-9.10064731900905e-10		1.00000005618282e+00
8.40000000000000e-01    	1.62398444740383e-06 	 1.01101539982482e-04   9.99999999989320e+00 	4.34865452628021e-06	 2.70926144629558e-04	-1.07657507739215e-09		1.00000003670994e+00
8.70000000000000e-01    	1.73244958912660e-06 	 1.07867874465805e-04   9.99999999985894e+00 	2.79406875457861e-06	 1.74596909237466e-04	-1.19793013407008e-09		1.00000001524594e+00
9.00000000000000e-01    	1.78624780592652e-06 	 1.11234846127791e-04   9.99999999982197e+00 	7.02372274995683e-07	 4.40683048772033e-05	-1.25443067141298e-09		1.00000000097125e+00
9.30000000000000e-01    	1.76925350605722e-06 	 1.10163646965589e-04   9.99999999978438e+00 	-1.92206455468607e-06	 -1.21231028711245e-04	-1.24062772439915e-09		1.00000000735033e+00
9.60000000000000e-01    	1.66595645786232e-06 	 1.03625343204813e-04   9.99999999974806e+00 	-5.04208384758870e-06	 -3.20024274431527e-04	-1.17544282404765e-09		1.00000005122048e+00
9.90000000000000e-01    	1.46247936558891e-06 	 9.06602308265959e-05   9.99999999971386e+00 	-8.58587174898527e-06	 -5.48937816506116e-04	-1.11135127362203e-09		1.00000015070321e+00
1.02000000000000e+00    	1.14761462923616e-06 	 7.04434547794586e-05   9.99999999968046e+00 	-1.24475833526190e-05	 -8.02335982544370e-04	-1.14010555129452e-09		1.00000032194893e+00
1.05000000000000e+00    	7.13804007483171e-07 	 4.23540713602803e-05   9.99999999964323e+00 	-1.64905009181327e-05	 -1.07225997154405e-03	-1.39233122632559e-09		1.00000057500653e+00
1.08000000000000e+00    	1.57989160256281e-07 	 6.04415792629533e-06   9.99999999959309e+00 	-2.05523973069269e-05	 -1.34848825832538e-03	-2.02876317966529e-09		1.00000090942108e+00
1.11000000000000e+00    	-5.17723627045958e-07 	 -3.84958746216573e-05   9.99999999951593e+00 	-2.44524190271840e-05	 -1.61873088113560e-03	-3.22199619889667e-09		1.00000131044293e+00
1.14000000000000e+00    	-1.30561630560966e-06 	 -9.08798947077033e-05   9.99999999939261e+00 	-2.79985340750341e-05	 -1.86896393494573e-03	-5.12936239935972e-09		1.00000174690353e+00
1.17000000000000e+00    	-2.19213057445066e-06 	 -1.50280802045671e-04   9.99999999919991e+00 	-3.09944860286634e-05	 -2.08390353851409e-03	-7.85972133197411e-09		1.00000217180495e+00
1.20000000000000e+00    	-3.15782854091479e-06 	 -2.15401495430552e-04   9.99999999891250e+00 	-3.32453164697323e-05	 -2.24761082085059e-03	-1.14392019242739e-08		1.00000252642664e+00
1.23000000000000e+00    	-4.17748979374260e-06 	 -2.84465758853849e-04   9.99999999850587e+00 	-3.45608854705306e-05	 -2.34421144500069e-03	-1.57827919401929e-08		1.00000274825710e+00
