0.00000000000000e+00    	0.00000000000000e+00 	 -8.09016994370000e-01  	-5.87785252290000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157063028e-02 	 -8.09016994367552e-01   -5.87785252290000e-01 	-1.00000000005678e+01	 4.10854395331795e-09	-1.60314852702305e-19		1.00498756216859e+01
6.00000000000000e-02    	-5.97022314127326e-02 	 -8.09016994293493e-01   -5.87785252290000e-01 	-1.00000000122480e+01	 6.25933881385877e-08	-2.80294588954589e-17		1.00498756333081e+01
9.00000000000000e-02    	-8.95533471200916e-02 	 -8.09016993841222e-01   -5.87785252290000e-01 	-1.00000000719912e+01	 2.71762553065499e-07	-3.07100590973245e-16		1.00498756927548e+01
1.20000000000000e-01    	-1.19404462830631e-01 	 -8.09016992503660e-01   -5.87785252290000e-01 	-1.00000002371922e+01	 6.39659385028492e-07	4.09379435029820e-16		1.00498758571360e+01
1.50000000000000e-01    	-1.49255578548171e-01 	 -8.09016990118370e-01   -5.87785252290000e-01 	-1.00000005479675e+01	 8.96456689917958e-07	1.27953956516029e-14		1.00498761663690e+01
1.80000000000000e-01    	-1.79106694276739e-01 	 -8.09016987931999e-01   -5.87785252290000e-01 	-1.00000009676171e+01	 3.54646157606888e-07	4.48501840007072e-14		1.00498765839359e+01
2.10000000000000e-01    	-2.08957810017403e-01 	 -8.09016989873242e-01   -5.87785252290000e-01 	-1.00000013243760e+01	 -2.07497075912425e-06	-3.04465358396445e-14		1.00498769389245e+01
2.40000000000000e-01    	-2.38808925763757e-01 	 -8.09017003450894e-01   -5.87785252290001e-01 	-1.00000012842644e+01	 -7.64138672183517e-06	-7.92629892131104e-13		1.00498768990146e+01
2.70000000000000e-01    	-2.68660041497408e-01 	 -8.09017039581560e-01   -5.87785252290007e-01 	-1.00000003819482e+01	 -1.72850775534675e-05	-3.47587676214095e-12		1.00498760011884e+01
3.00000000000000e-01    	-2.98511157185419e-01 	 -8.09017110777200e-01   -5.87785252290025e-01 	-9.99999812345345e+00	 -3.10288552286628e-05	-9.22363620669399e-12		1.00498737539352e+01
3.30000000000000e-01    	-3.28362272781795e-01 	 -8.09017227500433e-01   -5.87785252290064e-01 	-9.99999415364192e+00	 -4.73919192046612e-05	-1.67096886071441e-11		1.00498698038889e+01
3.60000000000000e-01    	-3.58213388234563e-01 	 -8.09017393064213e-01   -5.87785252290120e-01 	-9.99998845744723e+00	 -6.30367273243818e-05	-1.91470784722705e-11		1.00498641360494e+01
3.90000000000000e-01    	-3.88064503498735e-01 	 -8.09017598082488e-01   -5.87785252290161e-01 	-9.99998154341723e+00	 -7.28512564853094e-05	-4.39992246901599e-12		1.00498572563988e+01
4.20000000000000e-01    	-4.17915618553677e-01 	 -8.09017815996527e-01   -5.87785252290119e-01 	-9.99997454760473e+00	 -7.06010414418962e-05	3.72826580334191e-11		1.00498502952893e+01
4.50000000000000e-01    	-4.47766733421551e-01 	 -8.09018001430893e-01   -5.87785252289918e-01 	-9.99996920019609e+00	 -5.01624556682555e-05	9.79558140382319e-11		1.00498449742962e+01
4.80000000000000e-01    	-4.77617848182010e-01 	 -8.09018092938940e-01   -5.87785252289552e-01 	-9.99996761832151e+00	 -7.19267052875152e-06	1.38999407081506e-10		1.00498434001496e+01
5.10000000000000e-01    	-5.07468962977893e-01 	 -8.09018021029157e-01   -5.87785252289169e-01 	-9.99997192418077e+00	 5.90637517992198e-05	9.86530632318008e-11		1.00498476848106e+01
5.40000000000000e-01    	-5.37320078007550e-01 	 -8.09017721280491e-01   -5.87785252289090e-01 	-9.99998373188837e+00	 1.44247399810921e-04	-6.63962312509879e-11		1.00498594347801e+01
5.70000000000000e-01    	-5.67171193501610e-01 	 -8.09017151031540e-01   -5.87785252289654e-01 	-1.00000035901284e+01	 2.38091170223406e-04	-3.15747730086230e-10		1.00498791962525e+01
6.00000000000000e-01    	-5.97022309685035e-01 	 -8.09016306832630e-01   -5.87785252290894e-01 	-1.00000305002530e+01	 3.24756819671643e-04	-4.80332488858760e-10		1.00499059752545e+01
6.30000000000000e-01    	-6.26873426728511e-01 	 -8.09015238894516e-01   -5.87785252292175e-01 	-1.00000616411321e+01	 3.84529333219669e-04	-2.98038354847955e-10		1.00499369636980e+01
6.60000000000000e-01    	-6.56724544696056e-01 	 -8.09014058447382e-01   -5.87785252292112e-01 	-1.00000924162967e+01	 3.96843445400045e-04	4.39959372998895e-10		1.00499675866124e+01
6.90000000000000e-01    	-6.86575663497904e-01 	 -8.09012934445591e-01   -5.87785252289033e-01 	-1.00001168941447e+01	 3.44315307815114e-04	1.68228518327825e-09		1.00499919410471e+01
7.20000000000000e-01    	-7.16426782859303e-01 	 -8.09012077475253e-01   -5.87785252281994e-01 	-1.00001286426971e+01	 2.17161170045241e-04	2.98903078016423e-09		1.00500036277431e+01
7.50000000000000e-01    	-7.46277902316436e-01 	 -8.09011710916129e-01   -5.87785252271840e-01 	-1.00001218769939e+01	 1.71685871020206e-05	3.64394361177836e-09		1.00499968932844e+01
7.80000000000000e-01    	-7.76129021249510e-01 	 -8.09012032062144e-01   -5.87785252261489e-01 	-1.00000927547265e+01	 -2.39696907299960e-04	3.06541524238068e-09		1.00499679183860e+01
8.10000000000000e-01    	-8.05980138958512e-01 	 -8.09013168550320e-01   -5.87785252254696e-01 	-1.00000405913701e+01	 -5.22875138058776e-04	1.36067912075479e-09		1.00499160246465e+01
8.40000000000000e-01    	-8.35831254778446e-01 	 -8.09015137542857e-01   -5.87785252253387e-01 	-9.99996873628248e+00	 -7.89533509028218e-04	-3.37179139451874e-10		1.00498445435733e+01
8.70000000000000e-01    	-8.65682368218732e-01 	 -8.09017816128120e-01   -5.87785252254810e-01 	-9.99988486803900e+00	 -9.89740303325884e-04	-1.31624991596984e-10		1.00497611092812e+01
9.00000000000000e-01    	-8.95533479099391e-01 	 -8.09020930958281e-01   -5.87785252250548e-01 	-9.99980053527595e+00	 -1.07406522551593e-03	3.66530201906543e-09		1.00496772037176e+01
9.30000000000000e-01    	-9.25384587650166e-01 	 -8.09024073054449e-01   -5.87785252229091e-01 	-9.99972988351425e+00	 -1.00263735361292e-03	1.12343331986652e-08		1.00496068952238e+01
9.60000000000000e-01    	-9.55235694542571e-01 	 -8.09026740106760e-01   -5.87785252181780e-01 	-9.99968765365703e+00	 -7.54239260834504e-04	2.04389733960638e-08		1.00495648532450e+01
