0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	-8.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.30000000000000e-01    	-3.28362273187352e-01 	 -5.87785240892581e-01   -8.09016994369991e-01 	-1.00000008247462e+01	 -2.42843005750719e-05	-4.60360643599237e-12		1.00498764418034e+01
3.60000000000000e-01    	-3.58213388857397e-01 	 -5.87785348091138e-01   -8.09016994370022e-01 	-9.99999631384054e+00	 -4.86979229874679e-05	-1.78059699677494e-11		1.00498719533731e+01
3.90000000000000e-01    	-3.88064504355819e-01 	 -5.87785537141196e-01   -8.09016994370099e-01 	-9.99998924130973e+00	 -7.85575148408166e-05	-3.25782314250670e-11		1.00498649161310e+01
4.20000000000000e-01    	-4.17915619610140e-01 	 -5.87785817837093e-01   -8.09016994370199e-01 	-9.99997996466993e+00	 -1.09070914176773e-04	-2.84644835702890e-11		1.00498556858144e+01
4.50000000000000e-01    	-4.47766734569744e-01 	 -5.87786181686198e-01   -8.09016994370217e-01 	-9.99996961536050e+00	 -1.32856431889512e-04	2.77990845923448e-11		1.00498453881532e+01
4.80000000000000e-01    	-4.77617849229881e-01 	 -5.87786595268238e-01   -8.09016994369952e-01 	-9.99996012636199e+00	 -1.40803500967494e-04	1.63615226493948e-10		1.00498359463553e+01
5.10000000000000e-01    	-5.07468963653480e-01 	 -5.87786997313806e-01   -8.09016994369169e-01 	-9.99995406167034e+00	 -1.23690577148113e-04	3.68126483387724e-10		1.00498299115366e+01
5.40000000000000e-01    	-5.37320077984259e-01 	 -5.87787301545454e-01   -8.09016994367757e-01 	-9.99995423031694e+00	 -7.43818058860110e-05	5.67909677452230e-10		1.00498300788604e+01
5.70000000000000e-01    	-5.67171192444939e-01 	 -5.87787406503735e-01   -8.09016994365902e-01 	-9.99996311628464e+00	 9.76537892269415e-06	6.44605160114900e-10		1.00498389204578e+01
6.00000000000000e-01    	-5.97022307316638e-01 	 -5.87787212251073e-01   -8.09016994364119e-01 	-9.99998220770142e+00	 1.24793084519757e-04	5.14999225936628e-10		1.00498579178971e+01
6.30000000000000e-01    	-6.26873422899161e-01 	 -5.87786642210606e-01   -8.09016994362971e-01 	-1.00000113525571e+01	 2.58902891336740e-04	2.49200335157903e-10		1.00498869206724e+01
6.60000000000000e-01    	-6.56724539456232e-01 	 -5.87785666766885e-01   -8.09016994362475e-01 	-1.00000482922897e+01	 3.92587233263086e-04	1.47281567647589e-10		1.00499236814142e+01
6.90000000000000e-01    	-6.86575657153353e-01 	 -5.87784324000255e-01   -8.09016994361463e-01 	-1.00000885198785e+01	 5.00448551331723e-04	6.74911710521429e-10		1.00499637141561e+01
7.20000000000000e-01    	-7.16426775998293e-01 	 -5.87782732401763e-01   -8.09016994357422e-01 	-1.00001255714028e+01	 5.54727036462961e-04	2.21619470887164e-09		1.00500005846540e+01
7.50000000000000e-01    	-7.46277895795040e-01 	 -5.87781090881228e-01   -8.09016994347238e-01 	-1.00001517916395e+01	 5.30199110151991e-04	4.73413868840309e-09		1.00500266734443e+01
7.80000000000000e-01    	-7.76129016121962e-01 	 -5.87779662932693e-01   -8.09016994328831e-01 	-1.00001595242470e+01	 4.09751770859498e-04	7.56428942765586e-09		1.00500343620449e+01
8.10000000000000e-01    	-8.05980136344396e-01 	 -5.87778744342748e-01   -8.09016994302884e-01 	-1.00001425802615e+01	 1.89657199354803e-04	9.59035563177056e-09		1.00500174955832e+01
8.40000000000000e-01    	-8.35831255670331e-01 	 -5.87778616981921e-01   -8.09016994273338e-01 	-1.00000977534940e+01	 -1.16561926743207e-04	9.88064319541104e-09		1.00499728901636e+01
8.70000000000000e-01    	-8.65682373253426e-01 	 -5.87779494486530e-01   -8.09016994245574e-01 	-1.00000260969173e+01	 -4.76721598408021e-04	8.53867757796244e-09		1.00499015998312e+01
9.00000000000000e-01    	-8.95533488338551e-01 	 -5.87781468389178e-01   -8.09016994222377e-01 	-9.99993366622358e+00	 -8.41783012948930e-04	7.22506392514097e-09		1.00498096518029e+01
9.30000000000000e-01    	-9.25384600431116e-01 	 -5.87784464861388e-01   -8.09016994199569e-01 	-9.99983148479941e+00	 -1.15115958425345e-03	8.79059466436350e-09		1.00497080081739e+01
9.60000000000000e-01    	-9.55235709456414e-01 	 -5.87788222185287e-01   -8.09016994164337e-01 	-9.99973458841434e+00	 -1.34119217745515e-03	1.58679424286584e-08		1.00496116162530e+01
9.90000000000000e-01    	-9.85086815865807e-01 	 -5.87792297104118e-01   -8.09016994098709e-01 	-9.99966015696863e+00	 -1.35580648842466e-03	2.89797234842034e-08		1.00495375561802e+01
1.02000000000000e+00    	-1.01493792065046e+00 	 -5.87796104369081e-01   -8.09016993987997e-01 	-9.99962491302341e+00	 -1.15779252924539e-03	4.53269415798253e-08		1.00495024623929e+01
1.05000000000000e+00    	-1.04478902524338e+00 	 -5.87798988519314e-01   -8.09016993830324e-01 	-9.99964213283362e+00	 -7.38772093745332e-04	5.94245058334229e-08		1.00495195571990e+01
1.08000000000000e+00    	-1.07464013132182e+00 	 -5.87800320954653e-01   -8.09016993640929e-01 	-9.99971874235884e+00	 -1.25845050156651e-04	6.59000110845160e-08		1.00495957601348e+01
1.11000000000000e+00    	-1.10449124055205e+00 	 -5.87799609680972e-01   -8.09016993446088e-01 	-9.99985302863779e+00	 6.16813673334158e-04	6.33527286279319e-08		1.00497293980891e+01
1.14000000000000e+00    	-1.13434235433200e+00 	 -5.87796604808707e-01   -8.09016993266697e-01 	-1.00000334661532e+01	 1.39249881373194e-03	5.69917266326740e-08		1.00499090176597e+01
1.17000000000000e+00    	-1.16419347357720e+00 	 -5.87791380948055e-01   -8.09016993098765e-01 	-1.00002390332704e+01	 2.08282991690105e-03	5.77701882827566e-08		1.00501136839702e+01
1.20000000000000e+00    	-1.19404459856675e+00 	 -5.87784378753307e-01   -8.09016992902887e-01 	-1.00004411871290e+01	 2.56400173404276e-03	7.73340006921927e-08		1.00503149458776e+01
1.23000000000000e+00    	-1.22389572883866e+00 	 -5.87776392246211e-01   -8.09016992612937e-01 	-1.00006074035241e+01	 2.72644321415848e-03	1.20742813653227e-07		1.00504803802064e+01
1.26000000000000e+00    	-1.25374686311851e+00 	 -5.87768495861062e-01   -8.09016992164789e-01 	-1.00007059096423e+01	 2.49503041604824e-03	1.81114561755040e-07		1.00505783374058e+01
1.29000000000000e+00    	-1.28359799929173e+00 	 -5.87761914511288e-01   -8.09016991532662e-01 	-1.00007109860291e+01	 1.84651156659610e-03	2.40425763604023e-07		1.00505832485328e+01
