0.00000000000000e+00    	0.00000000000000e+00 	 9.51056516300000e-01  	3.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
4.50000000000000e-01    	-4.47766733114844e-01 	 9.51056770774318e-01   3.09016994370029e-01 	-9.99998019296897e+00	 -7.38869080284167e-05	5.03980921213365e-11		1.00498559126602e+01
4.80000000000000e-01    	-4.77617848318112e-01 	 9.51056464767181e-01   3.09016994370352e-01 	-9.99998684024329e+00	 -1.32347940677505e-04	1.78398272373631e-10		1.00498625275451e+01
5.10000000000000e-01    	-5.07468963804345e-01 	 9.51055978188441e-01   3.09016994371147e-01 	-9.99999957881198e+00	 -1.93124130365224e-04	3.57888100931331e-10		1.00498752038787e+01
5.40000000000000e-01    	-5.37320079753777e-01 	 9.51055321583750e-01   3.09016994372456e-01 	-1.00000182708485e+01	 -2.43954953067363e-04	5.02353858466771e-10		1.00498938042558e+01
5.70000000000000e-01    	-5.67171196323927e-01 	 9.51054546259599e-01   3.09016994373976e-01 	-1.00000413913086e+01	 -2.70128266364219e-04	4.76426326932772e-10		1.00499168106435e+01
6.00000000000000e-01    	-5.97022313606691e-01 	 9.51053748095687e-01   3.09016994375023e-01 	-1.00000659065396e+01	 -2.56983021293512e-04	1.77724001846175e-10		1.00499412038666e+01
6.30000000000000e-01    	-6.26873431584960e-01 	 9.51053062692659e-01   3.09016994374808e-01 	-1.00000874575866e+01	 -1.93141083435253e-04	-3.42977895392174e-10		1.00499626465318e+01
6.60000000000000e-01    	-6.56724550098083e-01 	 9.51052650424429e-01   3.09016994373028e-01 	-1.00001008867155e+01	 -7.39337362505683e-05	-8.05004827786741e-10		1.00499760074318e+01
6.90000000000000e-01    	-6.86575668826872e-01 	 9.51052671831781e-01   3.09016994370503e-01 	-1.00001010784979e+01	 9.56778025124689e-05	-7.65912739994472e-10		1.00499761984459e+01
7.20000000000000e-01    	-7.16426787308174e-01 	 9.51053255989558e-01   3.09016994369317e-01 	-1.00000840120922e+01	 2.99435343099900e-04	1.23770220482446e-10		1.00499592207413e+01
