0.00000000000000e+00    	0.00000000000000e+00 	 3.09016994370000e-01  	-9.51056516300000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
6.30000000000000e-01    	-6.26873428146453e-01 	 3.09017333685270e-01   -9.51056516288694e-01 	-9.99991004307142e+00	 -3.34978652578354e-04	1.36229468953016e-09		1.00497861162182e+01
6.60000000000000e-01    	-6.56724540927204e-01 	 3.09016174084005e-01   -9.51056516282856e-01 	-9.99989532431478e+00	 -4.36809216589584e-04	2.66820084133735e-09		1.00497714744195e+01
6.90000000000000e-01    	-6.86575653449470e-01 	 3.09014769160652e-01   -9.51056516272120e-01 	-9.99989409172379e+00	 -4.95109649579298e-04	4.60801163863705e-09		1.00497702506488e+01
7.20000000000000e-01    	-7.16426766185911e-01 	 3.09013285449133e-01   -9.51056516255108e-01 	-9.99991063363892e+00	 -4.85973529762644e-04	6.77609531811922e-09		1.00497867100220e+01
7.50000000000000e-01    	-7.46277879710015e-01 	 3.09011952802857e-01   -9.51056516232095e-01 	-9.99994702661902e+00	 -3.91757558936895e-04	8.51700098699030e-09		1.00498229182738e+01
7.80000000000000e-01    	-7.76128994609226e-01 	 3.09011038032816e-01   -9.51056516205203e-01 	-1.00000021644198e+01	 -2.06127616606700e-04	9.33420516269439e-09		1.00498777769130e+01
8.10000000000000e-01    	-8.05980111372511e-01 	 3.09010804793977e-01   -9.51056516177124e-01 	-1.00000711892231e+01	 6.19500062025991e-05	9.42659945832813e-09		1.00499464572389e+01
8.40000000000000e-01    	-8.35831230272846e-01 	 3.09011464415056e-01   -9.51056516148474e-01 	-1.00001455237569e+01	 3.86288181236762e-04	9.99819878509073e-09		1.00500204301053e+01
8.70000000000000e-01    	-8.65682351270388e-01 	 3.09013125131455e-01   -9.51056516115033e-01 	-1.00002136217136e+01	 7.24431290693230e-04	1.29755765688898e-08		1.00500882088023e+01
9.00000000000000e-01    	-8.95533473959883e-01 	 3.09015749004623e-01   -9.51056516066888e-01 	-1.00002624350409e+01	 1.02187196051542e-03	2.00426336884753e-08		1.00501368057311e+01
9.30000000000000e-01    	-9.25384597576182e-01 	 3.09019126172179e-01   -9.51056515991044e-01 	-1.00002794580442e+01	 1.21936648498892e-03	3.13844452280673e-08		1.00501537662781e+01
9.60000000000000e-01    	-9.55235721058571e-01 	 3.09022874654702e-01   -9.51056515877254e-01 	-1.00002550739555e+01	 1.26256421488109e-03	4.49410447945950e-08		1.00501295085308e+01
9.90000000000000e-01    	-9.85086843163992e-01 	 3.09026470724402e-01   -9.51056515724281e-01 	-1.00001848260866e+01	 1.11259465773407e-03	5.69593959633454e-08		1.00500595915527e+01
1.02000000000000e+00    	-1.01493796261602e+00 	 3.09029310133767e-01   -9.51056515542235e-01 	-1.00000711865778e+01	 7.55847486790263e-04	6.40221411972268e-08		1.00499464828391e+01
1.05000000000000e+00    	-1.04478907828002e+00 	 3.09030794949609e-01   -9.51056515347553e-01 	-9.99992441750825e+00	 2.11035785776032e-04	6.57293826564605e-08		1.00498004159493e+01
1.08000000000000e+00    	-1.07464018935869e+00 	 3.09030435230919e-01   -9.51056515150988e-01 	-9.99976221741962e+00	 -4.68182993517753e-04	6.63963997011039e-08		1.00496390295437e+01
1.11000000000000e+00    	-1.10449129559749e+00 	 3.09027950339515e-01   -9.51056514944071e-01 	-9.99960801422102e+00	 -1.19622727646941e-03	7.41765780303568e-08		1.00494856519641e+01
1.14000000000000e+00    	-1.13434239747111e+00 	 3.09023352246560e-01   -9.51056514692748e-01 	-9.99948798335378e+00	 -1.86463016747863e-03	9.72223207480978e-08		1.00493663186333e+01
1.17000000000000e+00    	-1.16419349629687e+00 	 3.09016993533803e-01   -9.51056514345220e-01 	-9.99942710714225e+00	 -2.35646520699717e-03	1.38426492823189e-07		1.00493058478673e+01
1.20000000000000e+00    	-1.19404459420500e+00 	 3.09009566231516e-01   -9.51056513853839e-01 	-9.99944480853139e+00	 -2.56448688029176e-03	1.91835665288731e-07		1.00493235123295e+01
1.23000000000000e+00    	-1.22389569390934e+00 	 3.09002044020075e-01   -9.51056513201277e-01 	-9.99955084803211e+00	 -2.41042321268947e-03	2.43769723596818e-07		1.00494289873863e+01
1.26000000000000e+00    	-1.25374679827375e+00 	 3.08995568932204e-01   -9.51056512414827e-01 	-9.99974222878560e+00	 -1.86229556007684e-03	2.79510470025081e-07		1.00496193017598e+01
1.29000000000000e+00    	-1.28359790974766e+00 	 3.08991293315515e-01   -9.51056511555259e-01 	-1.00000017856007e+01	 -9.46548347902492e-04	2.92934458668904e-07		1.00498774424354e+01
1.32000000000000e+00    	-1.31344902981436e+00 	 3.08990196899990e-01   -9.51056510679142e-01 	-1.00002989340862e+01	 2.47775767947552e-04	2.93631917499763e-07		1.00501730747524e+01
1.35000000000000e+00    	-1.34330015861737e+00 	 3.08992905715000e-01   -9.51056509790800e-01 	-1.00005927450700e+01	 1.57459435789557e-03	3.06011075415499e-07		1.00504655480278e+01
1.38000000000000e+00    	-1.37315129488011e+00 	 3.08999542857744e-01   -9.51056508811940e-01 	-1.00008371314497e+01	 2.84644511577170e-03	3.58519025318331e-07		1.00507090014602e+01
1.41000000000000e+00    	-1.40300243612504e+00 	 3.09009639740524e-01   -9.51056507593866e-01 	-1.00009875513298e+01	 3.85897056122955e-03	4.67072752930872e-07		1.00508590127167e+01
1.44000000000000e+00    	-1.43285357908250e+00 	 3.09022130134896e-01   -9.51056505976811e-01 	-1.00010083105316e+01	 4.42132588922051e-03	6.21786620835506e-07		1.00508799005582e+01
1.47000000000000e+00    	-1.46270472012094e+00 	 3.09035438581109e-01   -9.51056503871671e-01 	-1.00008793491729e+01	 4.38827795016138e-03	7.86520335498309e-07		1.00507515646193e+01
1.50000000000000e+00    	-1.49255585557109e+00 	 3.09047660818522e-01   -9.51056501318046e-01 	-1.00006013616515e+01	 3.68898136637443e-03	9.15102588619334e-07		1.00504746755191e+01
1.53000000000000e+00    	-1.52240698194052e+00 	 3.09056818736015e-01   -9.51056498475026e-01 	-1.00001982424746e+01	 2.34737282929998e-03	9.78367722960740e-07		1.00500731539105e+01
1.56000000000000e+00    	-1.55225809614912e+00 	 3.09061158256679e-01   -9.51056495532401e-01 	-9.99971616216467e+00	 4.89903852769875e-04	9.87634395970822e-07		1.00495932038996e+01
1.59000000000000e+00    	-1.58210919596124e+00 	 3.09059447951234e-01   -9.51056492577387e-01 	-9.99921902641378e+00	 -1.66210227695713e-03	9.98790936835423e-07		1.00490986611129e+01
1.62000000000000e+00    	-1.61196028068726e+00 	 3.09051231129888e-01   -9.51056489489117e-01 	-9.99878060826010e+00	 -3.81600184698817e-03	1.08947658211456e-06		1.00486630062904e+01
1.65000000000000e+00    	-1.64181135200188e+00 	 3.09036986157360e-01   -9.51056485933855e-01 	-9.99847420191753e+00	 -5.64531403345275e-03	1.31705634671462e-06		1.00483589822410e+01
1.68000000000000e+00    	-1.67166241449832e+00 	 3.09018159268992e-01   -9.51056481488438e-01 	-9.99836114804158e+00	 -6.83669942422545e-03	1.67911977464406e-06		1.00482472295983e+01
1.71000000000000e+00    	-1.70151347552540e+00 	 3.08997050552027e-01   -9.51056475845666e-01 	-9.99847993395064e+00	 -7.13999456655305e-03	2.10184076773802e-06		1.00483656367163e+01
1.74000000000000e+00    	-1.73136454404115e+00 	 3.08976555074531e-01   -9.51056468993187e-01 	-9.99883769163762e+00	 -6.41369737208207e-03	2.46996235272847e-06		1.00487211285433e+01
1.77000000000000e+00    	-1.76121562862867e+00 	 3.08959784409411e-01   -9.51056461248888e-01 	-9.99940573809440e+00	 -4.65824678476336e-03	2.68926006790196e-06		1.00492853882406e+01
1.80000000000000e+00    	-1.79106673527236e+00 	 3.08949615364498e-01   -9.51056453098491e-01 	-1.00001203116598e+01	 -2.03062150045120e-03	2.75002149391075e-06		1.00499955408498e+01
1.83000000000000e+00    	-1.82091786573071e+00 	 3.08948228870018e-01   -9.51056444891482e-01 	-1.00008889059988e+01	 1.16388138904545e-03	2.75254566008597e-06		1.00507601834268e+01
1.86000000000000e+00    	-1.85076901718299e+00 	 3.08956709562185e-01   -9.51056436550993e-01 	-1.00016017072902e+01	 4.50361393447227e-03	2.87082275491535e-06		1.00514703896404e+01
1.89000000000000e+00    	-1.88062018328788e+00 	 3.08974773696521e-01   -9.51056427477581e-01 	-1.00021467612657e+01	 7.50357149254910e-03	3.26370668924731e-06		1.00520145313014e+01
1.92000000000000e+00    	-1.91047135612105e+00 	 3.09000679275509e-01   -9.51056416745420e-01 	-1.00024267998394e+01	 9.68316195296479e-03	3.97712358777397e-06		1.00522950439085e+01
1.95000000000000e+00    	-1.94032252802106e+00 	 3.09031349032697e-01   -9.51056403530877e-01 	-1.00023752685463e+01	 1.06396445579364e-02	4.89518309473103e-06		1.00522447351269e+01
1.98000000000000e+00    	-1.97017369245761e+00 	 3.09062707058863e-01   -9.51056387559988e-01 	-1.00019690756549e+01	 1.01164518295683e-02	5.77969132614098e-06		1.00518400172798e+01
2.01000000000000e+00    	-2.00002484365949e+00 	 3.09090197395243e-01   -9.51056369307717e-01 	-1.00012359219557e+01	 8.05544808778336e-03	6.39140800851300e-06		1.00511086382002e+01
2.04000000000000e+00    	-2.02987597559261e+00 	 3.09109422472095e-01   -9.51056349780358e-01 	-1.00002547079843e+01	 4.62368396483651e-03	6.63537063081856e-06		1.00501301286630e+01
2.07000000000000e+00    	-2.05972708145882e+00 	 3.09116815496506e-01   -9.51056329932135e-01 	-9.99914837398425e+00	 2.08288821852626e-04	6.64698842436231e-06		1.00490282240812e+01
2.10000000000000e+00    	-2.08957815477048e+00 	 3.09110247917702e-01   -9.51056309997654e-01 	-9.99806952800343e+00	 -4.62252681430609e-03	6.75582780730332e-06		1.00479557948167e+01
2.13000000000000e+00    	-2.11942919217740e+00 	 3.09089473936200e-01   -9.51056289125189e-01 	-9.99718027740591e+00	 -9.18935498593606e-03	7.32633027196596e-06		1.00470740986246e+01
2.16000000000000e+00    	-2.14928019698205e+00 	 3.09056330003066e-01   -9.51056265585503e-01 	-9.99662869387163e+00	 -1.27943341064644e-02	8.54896356997300e-06		1.00465291985937e+01
2.19000000000000e+00    	-2.17913118138764e+00 	 3.09014637522514e-01   -9.51056237534302e-01 	-9.99652516300633e+00	 -1.48245024794707e-02	1.02984744383712e-05		1.00464289725553e+01
2.22000000000000e+00    	-2.20898216562523e+00 	 3.08969798226939e-01   -9.51056203969698e-01 	-9.99692230862916e+00	 -1.48508331225731e-02	1.21561069493680e-05		1.00468241843958e+01
2.25000000000000e+00    	-2.23883317336200e+00 	 3.08928118360062e-01   -9.51056165346307e-01 	-9.99780205417797e+00	 -1.27074622013578e-02	1.36107737880347e-05		1.00476966213310e+01
2.28000000000000e+00    	-2.26868422469100e+00 	 3.08895942723964e-01   -9.51056123421110e-01 	-9.99907258383905e+00	 -8.53745567792906e-03	1.43491939353274e-05		1.00489564346372e+01
2.31000000000000e+00    	-2.29853532954181e+00 	 3.08878715271845e-01   -9.51056080294264e-01 	-1.00005765406715e+01	 -2.79557490126241e-03	1.44766570603291e-05		1.00504496895054e+01
2.34000000000000e+00    	-2.32838648457122e+00 	 3.08880102753775e-01   -9.51056037082054e-01 	-1.00021099764155e+01	 3.79559790322244e-03	1.45256826632668e-05		1.00519758449314e+01
2.37000000000000e+00    	-2.35823767515897e+00 	 3.08901317794257e-01   -9.51055992948136e-01 	-1.00034497146502e+01	 1.03329541219779e-02	1.52134732714808e-05		1.00533135315530e+01
2.40000000000000e+00    	-2.38808888163422e+00 	 3.08940756734824e-01   -9.51055945121175e-01 	-1.00043853028002e+01	 1.58535537835260e-02	1.70523105151601e-05		1.00542516689381e+01
2.43000000000000e+00    	-2.41794008659102e+00 	 3.08994027996137e-01   -9.51055890041184e-01 	-1.00047509079108e+01	 1.94730070969671e-02	2.00203926944448e-05		1.00546218192306e+01
