0.00000000000000e+00    	0.00000000000000e+00 	 -5.87785252290000e-01  	8.09016994370000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157062967e-02 	 -5.87785252290156e-01   8.09016994370000e-01 	-9.99999999945589e+00	 -5.46098665818802e-11	-7.32067196765515e-21		1.00498756205795e+01
6.00000000000000e-02    	-5.97022314124693e-02 	 -5.87785252275496e-01   8.09016994370000e-01 	-9.99999998796214e+00	 1.85276027074404e-08	5.67352558641579e-18		1.00498756091428e+01
9.00000000000000e-02    	-8.95533471177170e-02 	 -5.87785252042098e-01   8.09016994370000e-01 	-9.99999992813173e+00	 1.81688496362297e-07	1.25407393735190e-16		1.00498755496093e+01
1.20000000000000e-01    	-1.19404462819752e-01 	 -5.87785250750184e-01   8.09016994370000e-01 	-9.99999976025435e+00	 7.92210165525902e-07	-1.01108433598992e-15		1.00498753825651e+01
1.50000000000000e-01    	-1.49255578514613e-01 	 -5.87785246446472e-01   8.09016994370000e-01 	-9.99999943940879e+00	 2.27024644332900e-06	-2.67075975618506e-14		1.00498750633120e+01
1.80000000000000e-01    	-1.79106694197957e-01 	 -5.87785235997752e-01   8.09016994370000e-01 	-9.99999899588175e+00	 4.93875962595285e-06	-2.01721353586579e-13		1.00498746219871e+01
2.10000000000000e-01    	-2.08957809868222e-01 	 -5.87785215850204e-01   8.09016994369999e-01 	-9.99999859604514e+00	 8.69795267435338e-06	-8.78368756738016e-13		1.00498742241374e+01
2.40000000000000e-01    	-2.38808925531211e-01 	 -5.87785183798986e-01   8.09016994369994e-01 	-9.99999857344381e+00	 1.26960401582438e-05	-2.60514368991649e-12		1.00498742016524e+01
2.70000000000000e-01    	-2.68660041204819e-01 	 -5.87785141567952e-01   8.09016994369982e-01 	-9.99999940205629e+00	 1.51408101036765e-05	-5.62059589334808e-12		1.00498750261561e+01
3.00000000000000e-01    	-2.98511156921898e-01 	 -5.87785097564033e-01   8.09016994369960e-01 	-1.00000015963167e+01	 1.33912405790938e-05	-9.00785163719231e-12		1.00498772095243e+01
3.30000000000000e-01    	-3.28362272729110e-01 	 -5.87785068822986e-01   8.09016994369929e-01 	-1.00000055433894e+01	 4.41517325525034e-06	-1.07850610682424e-11		1.00498811370005e+01
3.60000000000000e-01    	-3.58213388680130e-01 	 -5.87785081038713e-01   8.09016994369897e-01 	-1.00000112975742e+01	 -1.43951049042162e-05	-1.10030100097025e-11		1.00498868626378e+01
3.90000000000000e-01    	-3.88064504822765e-01 	 -5.87785165762913e-01   8.09016994369858e-01 	-1.00000183881121e+01	 -4.41728975549065e-05	-1.84658005895167e-11		1.00498939180736e+01
4.20000000000000e-01    	-4.17915621181353e-01 	 -5.87785354397666e-01   8.09016994369757e-01 	-1.00000257033940e+01	 -8.35243785675413e-05	-5.71939956779858e-11		1.00499011973012e+01
4.50000000000000e-01    	-4.47766737737733e-01 	 -5.87785669412194e-01   8.09016994369448e-01 	-1.00000315114651e+01	 -1.27774406540810e-04	-1.63937885075029e-10		1.00499069770134e+01
4.80000000000000e-01    	-4.77617854415586e-01 	 -5.87786114140324e-01   8.09016994368679e-01 	-1.00000336565857e+01	 -1.68817063446147e-04	-3.69006181339608e-10		1.00499091120938e+01
5.10000000000000e-01    	-5.07468971073551e-01 	 -5.87786663338480e-01   8.09016994367153e-01 	-1.00000299362200e+01	 -1.95802890333680e-04	-6.64188451979537e-10		1.00499054106810e+01
5.40000000000000e-01    	-5.37320087511684e-01 	 -5.87787257168885e-01   8.09016994364691e-01 	-1.00000186180453e+01	 -1.96744255132250e-04	-9.80132487713851e-10		1.00498941486944e+01
5.70000000000000e-01    	-5.67171203493736e-01 	 -5.87787801218984e-01   8.09016994361392e-01 	-9.99999901151363e+00	 -1.60915142826483e-04	-1.20661465328002e-09		1.00498746388285e+01
6.00000000000000e-01    	-5.97022318784707e-01 	 -5.87788174466726e-01   8.09016994357651e-01 	-9.99997197388885e+00	 -8.17002113727994e-05	-1.27451658039502e-09		1.00498477344305e+01
6.30000000000000e-01    	-6.26873433199895e-01 	 -5.87788245774615e-01   8.09016994353861e-01 	-9.99994021657944e+00	 4.06412559931851e-05	-1.27283470088081e-09		1.00498161344780e+01
6.60000000000000e-01    	-6.56724546658684e-01 	 -5.87787897713985e-01   8.09016994349810e-01 	-9.99990829106148e+00	 1.96938506338115e-04	-1.51997242936381e-09		1.00497843692502e+01
