0.00000000000000e+00    	0.00000000000000e+00 	 -3.09016994370000e-01  	-9.51056516300000e-01    -1.00000000000000e+01	 0.00000000000000e+00	0.00000000000000e+00		1.00498756211209e+01
3.00000000000000e-02    	-2.98511157062960e-02 	 -3.09016994370904e-01   -9.51056516300000e-01 	-9.99999999942306e+00	 -1.32154697327001e-09	5.55960906227294e-20		1.00498756205468e+01
6.00000000000000e-02    	-5.97022314125229e-02 	 -3.09016994379848e-01   -9.51056516300000e-01 	-9.99999999497648e+00	 -1.72162338540043e-09	4.31998830562148e-18		1.00498756161223e+01
9.00000000000000e-02    	-8.95533471186549e-02 	 -3.09016994297632e-01   -9.51056516300000e-01 	-9.99999999788585e+00	 8.88167810243174e-08	-2.15100299885518e-16		1.00498756190172e+01
1.20000000000000e-01    	-1.19404462825617e-01 	 -3.09016993482279e-01   -9.51056516300000e-01 	-1.00000000659455e+01	 5.55771019160052e-07	-4.75733007081440e-15		1.00498756867391e+01
1.50000000000000e-01    	-1.49255578536951e-01 	 -3.09016990126301e-01   -9.51056516300000e-01 	-1.00000003180848e+01	 1.88211232333707e-06	-3.37129270201063e-14		1.00498759376273e+01
1.80000000000000e-01    	-1.79106694260391e-01 	 -3.09016980864605e-01   -9.51056516300000e-01 	-1.00000009118984e+01	 4.58744788540325e-06	-1.14844641332359e-13		1.00498765284948e+01
2.10000000000000e-01    	-2.08957810008140e-01 	 -3.09016961103275e-01   -9.51056516300000e-01 	-1.00000019781062e+01	 8.91344617930718e-06	-1.47544362337183e-13		1.00498775894141e+01
2.40000000000000e-01    	-2.38808925794684e-01 	 -3.09016926425042e-01   -9.51056516300000e-01 	-1.00000035231628e+01	 1.44359718331316e-05	4.39847371670723e-13		1.00498791268092e+01
2.70000000000000e-01    	-2.68660041631592e-01 	 -3.09016875095967e-01   -9.51056516299995e-01 	-1.00000053280480e+01	 1.97411545607798e-05	2.96624451758879e-12		1.00498809227462e+01
3.00000000000000e-01    	-2.98511157519745e-01 	 -3.09016811245101e-01   -9.51056516299979e-01 	-1.00000068821268e+01	 2.23242846579411e-05	8.92020514249182e-12		1.00498824691178e+01
3.30000000000000e-01    	-3.28362273440634e-01 	 -3.09016747841265e-01   -9.51056516299939e-01 	-1.00000073914164e+01	 1.88440169900821e-05	1.78889149656516e-11		1.00498829758728e+01
3.60000000000000e-01    	-3.58213389349330e-01 	 -3.09016708297058e-01   -9.51056516299873e-01 	-1.00000058885660e+01	 5.78891083747095e-06	2.50202276517837e-11		1.00498814804647e+01
3.90000000000000e-01    	-3.88064505172225e-01 	 -3.09016725520462e-01   -9.51056516299800e-01 	-1.00000014484426e+01	 -1.94985735775272e-05	2.16540816660372e-11		1.00498770623940e+01
4.20000000000000e-01    	-4.17915620812359e-01 	 -3.09016837583951e-01   -9.51056516299760e-01 	-9.99999348279750e+00	 -5.76193789663079e-05	3.50025638448398e-12		1.00498691364272e+01
4.50000000000000e-01    	-4.47766736163961e-01 	 -3.09017079879124e-01   -9.51056516299780e-01 	-9.99998205699738e+00	 -1.06019457283359e-04	-1.37669424985333e-11		1.00498577677254e+01
