0.00000000000000e+00    	0.00000000000000e+00 	 -9.27050983120000e-01  	2.85316954890000e+00    0.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.00000000000000e+00
3.00000000000000e-02    	-4.91169676003408e-13 	 -9.27050983131698e-01   2.85316954890000e+00 	-8.44809598610353e-11	 -1.95827459455372e-09	-7.00887733703707e-20		1.00000000000000e+00
6.00000000000000e-02    	-1.80858309329496e-11 	 -9.27050983499450e-01   2.85316954890000e+00 	-1.58101924871749e-09	 -3.16847491154168e-08	-6.78855698596273e-18		1.00000000000000e+00
9.00000000000000e-02    	-1.52908200018838e-10 	 -9.27050985991602e-01   2.85316954890000e+00 	-8.97034233348574e-09	 -1.58394337227035e-07	1.20878573814352e-16		1.00000000000001e+00
1.20000000000000e-01    	-6.98600147130962e-10 	 -9.27050994975752e-01   2.85316954890000e+00 	-3.07159809101654e-08	 -4.82480291400044e-07	3.98814674597620e-15		1.00000000000012e+00
1.50000000000000e-01    	-2.25994650572985e-09 	 -9.27051017949938e-01   2.85316954890000e+00 	-7.89463089909279e-08	 -1.10623144576340e-06	3.79609461625713e-14		1.00000000000061e+00
1.80000000000000e-01    	-5.84328207155387e-09 	 -9.27051065003685e-01   2.85316954890000e+00 	-1.67955466601974e-07	 -2.09245662616363e-06	2.09031565973477e-13		1.00000000000220e+00
2.10000000000000e-01    	-1.28847353060031e-08 	 -9.27051146915805e-01   2.85316954890002e+00 	-3.11579497957826e-07	 -3.41591854062941e-06	8.10834948669505e-13		1.00000000000588e+00
2.40000000000000e-01    	-2.51851783885674e-08 	 -9.27051271763793e-01   2.85316954890006e+00 	-5.19644799314353e-07	 -4.91379006283498e-06	2.43073275499854e-12		1.00000000001221e+00
2.70000000000000e-01    	-4.47286501565921e-08 	 -9.27051440119147e-01   2.85316954890018e+00 	-7.93815338611738e-07	 -6.24212670900381e-06	5.91591250542277e-12		1.00000000001980e+00
3.00000000000000e-01    	-7.33724784121286e-08 	 -9.27051639116902e-01   2.85316954890044e+00 	-1.12327144299493e-06	 -6.84551250179807e-06	1.19712300481279e-11		1.00000000002406e+00
3.30000000000000e-01    	-1.12411504704645e-07 	 -9.27051835896526e-01   2.85316954890092e+00 	-1.48072625153068e-06	 -5.94653830910752e-06	2.01728570851630e-11		1.00000000001878e+00
3.60000000000000e-01    	-1.62034598161483e-07 	 -9.27051971095379e-01   2.85316954890164e+00 	-1.81931876483913e-06	 -2.56061602816923e-06	2.73846493704528e-11		1.00000000000493e+00
3.90000000000000e-01    	-2.20707749045083e-07 	 -9.27051953216062e-01   2.85316954890248e+00 	-2.07091053876250e-06	 4.46012846718608e-06	2.60095311995447e-11		1.00000000001209e+00
4.20000000000000e-01    	-2.84533094366035e-07 	 -9.27051654768360e-01   2.85316954890299e+00 	-2.14625558265386e-06	 1.63524060393983e-05	3.14649391933982e-12		1.00000000013600e+00
4.50000000000000e-01    	-3.46645905230970e-07 	 -9.27050911092092e-01   2.85316954890229e+00 	-1.93741215634806e-06	 3.43379095618239e-05	-5.76313513348023e-11		1.00000000059142e+00
4.80000000000000e-01    	-3.96720622698059e-07 	 -9.27049522690671e-01   2.85316954889901e+00 	-1.32262563008700e-06	 5.94940204844629e-05	-1.69824719352133e-10		1.00000000177064e+00
5.10000000000000e-01    	-4.20661399443317e-07 	 -9.27047261743784e-01   2.85316954889160e+00 	-1.73739852765674e-07	 9.26058470368846e-05	-3.31170559519929e-10		1.00000000428794e+00
5.40000000000000e-01    	-4.00551435021174e-07 	 -9.27043883225013e-01   2.85316954887901e+00 	1.63400179126613e-06	 1.34008944612108e-04	-5.04030291651854e-10		1.00000000898053e+00
5.70000000000000e-01    	-3.14928073190562e-07 	 -9.27039140736110e-01   2.85316954886219e+00 	4.21011665068458e-06	 1.83434216125348e-04	-5.90995955079021e-10		1.00000001683292e+00
6.00000000000000e-01    	-1.39436827419435e-07 	 -9.27032806800151e-01   2.85316954884619e+00 	7.63557362566936e-06	 2.39868010392674e-04	-4.10854016336123e-10		1.00000002879748e+00
6.30000000000000e-01    	1.52102792101330e-07 	 -9.27024696952143e-01   2.85316954884298e+00 	1.19487960256937e-05	 3.01441164728173e-04	3.16764746690711e-10		1.00000004550477e+00
6.60000000000000e-01    	5.86213166219992e-07 	 -9.27014696553696e-01   2.85316954887440e+00 	1.71319493723626e-05	 3.65360550218785e-04	1.96759575457214e-09		1.00000006689092e+00
6.90000000000000e-01    	1.18788127973569e-06 	 -9.27002788866737e-01   2.85316954897465e+00 	2.30986392459653e-05	 4.27895502451608e-04	4.97957232376001e-09		1.00000009181405e+00
7.20000000000000e-01    	1.97834867567555e-06 	 -9.26989082579912e-01   2.85316954919114e+00 	2.96842357668591e-05	 4.84429344339030e-04	9.78369512005535e-09		1.00000011777646e+00
7.50000000000000e-01    	2.97266592084706e-06 	 -9.26973836719795e-01   2.85316954958287e+00 	3.66400492497710e-05	 5.29583082727853e-04	1.66999588936167e-08		1.00000014090036e+00
7.80000000000000e-01    	4.17714442343918e-06 	 -9.26957480724011e-01   2.85316955021520e+00 	4.36324850316109e-05	 5.57414403277202e-04	2.58104190622703e-08		1.00000015630729e+00
8.10000000000000e-01    	5.58686935738510e-06 	 -9.26940627427482e-01   2.85316955115078e+00 	5.02480899897336e-05	 5.61690477100128e-04	3.68342805496610e-08		1.00000015901052e+00
8.40000000000000e-01    	7.18346005921713e-06 	 -9.26924076832366e-01   2.85316955243724e+00 	5.60050659969011e-05	 5.36228061115403e-04	4.90414996095013e-08		1.00000014533854e+00
8.70000000000000e-01    	8.93327507372161e-06 	 -9.26908808805407e-01   2.85316955409338e+00 	6.03713798529494e-05	 4.75289199137105e-04	6.12480578807497e-08		1.00000011477226e+00
9.00000000000000e-01    	1.07862552174425e-05 	 -9.26895963273156e-01   2.85316955609695e+00 	6.27890772657209e-05	 3.74015819562259e-04	7.19339713316151e-08		1.00000007191515e+00
9.30000000000000e-01    	1.26755780313480e-05 	 -9.26886807056097e-01   2.85316955837822e+00 	6.27038606246785e-05	 2.28881998698194e-04	7.95113413875812e-08		1.00000002815937e+00
9.60000000000000e-01    	1.45182609645335e-05 	 -9.26882687177842e-01   2.85316956082388e+00 	5.95984805733714e-05	 3.81389324275669e-05	8.27434643638819e-08		1.00000000250328e+00
9.90000000000000e-01    	1.62168007433352e-05 	 -9.26884971276802e-01   2.85316956329538e+00 	5.30280884366800e-05	 -1.97774973697499e-04	8.12792280237584e-08		1.00000002096346e+00
1.02000000000000e+00    	1.76618767909243e-05 	 -9.26894976598431e-01   2.85316956566408e+00 	4.26554618023263e-05	 -4.75887772126699e-04	7.62251277060947e-08		1.00000011414433e+00
1.05000000000000e+00    	1.87360829928177e-05 	 -9.26913889912768e-01   2.85316956786281e+00 	2.82839898018144e-05	 -7.90440019314219e-04	7.06386830322353e-08		1.00000031279766e+00
1.08000000000000e+00    	1.93185910389194e-05 	 -9.26942681536331e-01   2.85316956994917e+00 	9.88649622738677e-06	 -1.13274989849560e-03	6.98022311370631e-08		1.00000064160983e+00
1.11000000000000e+00    	1.92905961643349e-05 	 -9.26982017388460e-01   2.85316957217209e+00 	-1.23716439363269e-05	 -1.49122048660540e-03	8.11354475368742e-08		1.00000111194518e+00
1.14000000000000e+00    	1.85413569610070e-05 	 -9.27032173629058e-01   2.85316957502878e+00 	-3.81161471832327e-05	 -1.85150693999480e-03	1.13636503224681e-07		1.00000171476393e+00
1.17000000000000e+00    	1.69746170004645e-05 	 -9.27092958859235e-01   2.85316957929731e+00 	-6.67547725329882e-05	 -2.19685456010728e-03	1.76808500834650e-07		1.00000241531018e+00
1.20000000000000e+00    	1.45151859187972e-05 	 -9.27163649076065e-01   2.85316958602967e+00 	-9.74757312891925e-05	 -2.50861059968980e-03	2.79125614423470e-07		1.00000315130940e+00
1.23000000000000e+00    	1.11154566024625e-05 	 -9.27242940523665e-01   2.85316959649403e+00 	-1.29253516708685e-04	 -2.76690360366164e-03	4.26209880560432e-07		1.00000383622374e+00
1.26000000000000e+00    	6.76163576257510e-06 	 -9.27328925251906e-01   2.85316961206134e+00 	-1.60862201721454e-04	 -2.95147444479300e-03	6.19004885960044e-07		1.00000436852967e+00
1.29000000000000e+00    	1.47945897643032e-06 	 -9.27419093571646e-01   2.85316963404169e+00 	-1.90896618582017e-04	 -3.04263347322243e-03	8.52321396069204e-07		1.00000464701955e+00
1.32000000000000e+00    	-4.66085923812846e-06 	 -9.27510366685931e-01   2.85316966348783e+00 	-2.17802401972746e-04	 -3.02230885351730e-03	1.11416581087017e-06		1.00000459088443e+00
1.35000000000000e+00    	-1.15407284828699e-05 	 -9.27599161600467e-01   2.85316970099500e+00 	-2.39916488652762e-04	 -2.87514273631757e-03	1.38622297696431e-06		1.00000416199514e+00
1.38000000000000e+00    	-1.89906819395128e-05 	 -9.27681489009119e-01   2.85316974653588e+00 	-2.55520100030235e-04	 -2.58958492170488e-03	1.64573812475447e-06		1.00000338561592e+00
1.41000000000000e+00    	-2.67896778785330e-05 	 -9.27753083261417e-01   2.85316979937365e+00 	-2.62906238079710e-04	 -2.15892860624596e-03	1.86883145880120e-06		1.00000236504516e+00
1.44000000000000e+00    	-3.46666620766476e-05 	 -9.27809561812480e-01   2.85316985809345e+00 	-2.60463070961570e-04	 -1.58223009772898e-03	2.03500436892686e-06		1.00000128564779e+00
1.47000000000000e+00    	-4.23048717395868e-05 	 -9.27846609806198e-01   2.85316992078040e+00 	-2.46773124384309e-04	 -8.65054383486863e-04	2.13229778045394e-06		1.00000040461022e+00
1.50000000000000e+00    	-4.93493269188810e-05 	 -9.27860183734264e-01   2.85316998535240e+00 	-2.20725916496029e-04	 -1.99913983451379e-05	2.16229477723675e-06		1.00000002456213e+00
1.53000000000000e+00    	-5.54178418074926e-05 	 -9.27846726536945e-01   2.85317005002848e+00 	-1.81638743027454e-04	 9.33106122469939e-04	2.14398218653414e-06		1.00000045184203e+00
1.56000000000000e+00    	-6.01156808942818e-05 	 -9.27803385159599e-01   2.85317011388304e+00 	-1.29377090452854e-04	 1.96720323058184e-03	2.11545636688043e-06		1.00000194331384e+00
1.59000000000000e+00    	-6.30536822927866e-05 	 -9.27728220542975e-01   2.85317017740799e+00 	-6.44631494424009e-05	 3.04850987468111e-03	2.13261785801701e-06		1.00000464877545e+00
1.62000000000000e+00    	-6.38692887100017e-05 	 -9.27620399388833e-01   2.85317024298361e+00 	1.18412564101841e-05	 4.13726819907040e-03	2.26436070755551e-06		1.00000855853012e+00
